DEPTH d	VALUE d
1374.48000000	41.91773486
1376.28000000	39.52061356
1376.85500000	38.51529222
1376.92000000	37.55430870
1377.25000000	38.79022997
1380.08500000	39.71219291
1383.03000000	40.05636555
1385.00000000	35.25614010
1385.57000000	33.20755537
1385.98500000	36.39663671
1386.44000000	35.46709569
1387.02000000	29.07544775
1388.72000000	29.14097985
1390.33000000	30.74211027
1390.92000000	31.56603761
1391.51000000	30.86205457
1391.51000000	30.86205457
1392.20000000	28.77519645
1395.65000000	28.19847027
1396.11000000	27.42867461
1396.87500000	25.80349905
1398.34000000	23.84067479
1399.81000000	23.31052554
1402.23000000	24.83369489
1402.70000000	24.44121085
1403.17000000	23.82469587
1403.27000000	24.22975414
1403.70000000	25.76538313
1403.94000000	24.57994740
1404.26000000	23.78239224
1405.27000000	24.58997548
1405.80000000	25.84617740
1408.18500000	27.07675301
1412.00000000	25.71200092
1412.32500000	24.91374381
1412.65000000	25.29424277
1412.65000000	25.29424277
1412.70000000	26.21476240
1413.48500000	25.97358814
1413.76000000	24.39557048
1414.61000000	25.47244793
1414.69000000	27.97043746
1414.69000000	27.97043746
1414.91000000	25.93763943
1415.03000000	26.47523085
1416.28000000	26.97109874
1421.61000000	26.02662241
1426.15000000	27.15856772
1430.29000000	28.53947902
1430.56000000	31.47655870
1431.05000000	31.69093447
1431.05000000	31.69093447
1431.07000000	30.11140610
1431.48000000	30.91031830
1431.48000000	30.91031830
1431.48500000	31.78629966
1431.49000000	31.22372955
1431.49000000	31.22372955
1431.49000000	31.22372955
1431.69000000	32.93758707
1432.20000000	34.04215149
1432.70000000	32.35334840
1434.13000000	32.24789438
1438.20000000	35.84805617
1439.19000000	36.07924011
1445.24000000	35.22388147
1447.40000000	34.54816789
1447.55500000	33.95022138
1447.71000000	35.76612709
1448.14000000	34.58408473
1448.25500000	34.64985095
1448.46500000	32.90883683
1448.64000000	32.31537450
1448.73500000	31.78564326
1448.73500000	31.78564326
1448.77000000	31.00984077
1449.12000000	31.45759414
1449.85500000	30.59931161
1449.90500000	29.60034277
1450.61000000	28.94305112
1451.38000000	29.13836487
1451.72500000	28.71557417
1455.98000000	28.22955038
1457.47000000	24.57888123
1462.70000000	23.99079956
1464.10000000	24.00406063
1465.05000000	25.75822427
1465.36000000	25.70348128
1465.44500000	24.63613396
1465.68000000	24.46060495
1465.88000000	23.38455896
1468.64000000	24.98340343
1469.02000000	25.21716596
1469.20000000	24.42258450
1469.27000000	25.14254851
1469.27000000	25.14254851
1469.44000000	26.25083583
1469.92000000	25.61778653
1470.50000000	26.55591544
1470.89000000	25.44946700
1471.34000000	22.95135243
1471.92500000	23.16344054
1471.92500000	23.16344054
1473.59500000	24.21043867
1475.15000000	24.82985532
1475.76000000	29.05190081
1478.50500000	26.75560639
1478.78000000	31.07892948
1479.70000000	29.08291564
1482.34000000	27.62670118
1490.37000000	27.57322841
1491.75500000	25.18923719
1491.75500000	25.18923719
1493.20500000	27.68885954
1493.56000000	27.46671969
1493.85000000	27.77416854
1493.96000000	24.17121872
1494.36500000	25.45392421
1494.36500000	25.45392421
1497.91500000	32.94827068
1497.91500000	32.94827068
1497.91500000	32.94827068
1503.40500000	29.69323038
1504.11000000	28.65188748
1504.15000000	28.19450030
1504.16000000	26.49533445
1504.16000000	26.49533445
1504.19500000	26.39681273
1504.26000000	25.72754454
1507.40000000	25.03930622
1507.67500000	28.02758023
1507.99000000	27.65337711
1508.17000000	28.10580113
1508.17000000	28.10580113
1508.17000000	28.10580113
1511.28500000	26.40185610
1513.84000000	26.48030280
1515.01000000	26.94055920
1515.01000000	26.94055920
1516.61000000	23.41292628
1516.72000000	23.71961129
1516.97000000	23.90572588
1518.81500000	23.59423584
1520.16000000	26.84323913
1521.00000000	26.39754037
1521.00000000	26.39754037
1521.00000000	26.39754037
1521.15500000	26.12732927
1521.64000000	26.85229465
1522.18000000	26.40674020
1524.19500000	24.86235675
1524.39000000	25.02025152
1525.64000000	24.29352989
1525.92500000	25.63097100
1526.21000000	25.38293264
1529.50000000	26.91196283
1531.76500000	26.84199242
1533.87000000	27.28326610
1533.89000000	26.06100307
1536.09500000	25.91994372
1538.20000000	25.06985144
1539.15000000	25.06004289
1539.55500000	23.22445128
1540.01000000	19.14868367
1540.67000000	17.54901959
1540.82000000	17.56611224
1540.82000000	17.56611224
1540.82000000	17.56611224
1541.11000000	18.01508729
1545.45500000	19.22282473
1548.25000000	17.67515556
1549.33000000	18.55851409
1549.79000000	19.28871702
1549.93500000	18.06595968
1550.08000000	17.96531389
1553.50500000	17.91642910
1555.14000000	15.69333727
1555.14000000	15.69333727
1555.83500000	14.56471273
1556.65000000	15.26887450
1560.64000000	15.64997236
1562.22500000	15.96872513
1563.63000000	17.32638658
1564.33000000	17.63566846
1564.54000000	17.33846429
1564.91000000	16.13276344
1565.17000000	15.75389445
1565.32000000	15.35020284
1565.82000000	16.46855761
1566.25000000	16.70169436
1566.51000000	16.81625511
1567.84000000	16.54594767
1568.31000000	15.72516514
1568.31000000	15.72516514
1568.31000000	15.72516514
1568.45500000	15.07405349
1570.05000000	15.46585119
1570.05000000	15.46585119
1570.17000000	16.22130466
1571.32000000	16.19531754
1572.73000000	16.81273622
1573.24000000	15.13883743
