DEPTH d	VALUE d
1374.48000000	235.92270170
1376.28000000	233.91339687
1376.85500000	232.46840537
1376.92000000	232.10778045
1377.25000000	231.35905384
1380.08500000	229.66404451
1383.03000000	229.73245777
1385.00000000	228.92241551
1385.57000000	228.62558816
1385.98500000	224.38364824
1386.44000000	225.12537100
1387.02000000	227.03702577
1388.72000000	225.38707932
1390.33000000	224.95560529
1390.92000000	224.64221430
1391.51000000	225.07024520
1391.51000000	225.07024520
1392.20000000	226.49978771
1395.65000000	227.34361408
1396.11000000	228.93087630
1396.87500000	229.85386130
1398.34000000	232.06826879
1399.81000000	233.10594946
1402.23000000	233.53657727
1402.70000000	233.71459221
1403.17000000	234.58019033
1403.27000000	235.09100575
1403.70000000	235.18240709
1403.94000000	235.01795977
1404.26000000	236.59564782
1405.27000000	235.50671630
1405.80000000	234.77356327
1408.18500000	235.58041885
1412.00000000	237.14478215
1412.32500000	237.79067076
1412.65000000	237.97426688
1412.65000000	237.97426688
1412.70000000	237.88086045
1413.48500000	238.14277701
1413.76000000	238.09802470
1414.61000000	239.02186778
1414.69000000	238.76432209
1414.69000000	238.76432209
1414.91000000	239.36488279
1415.03000000	239.44199614
1416.28000000	240.90016371
1421.61000000	239.12149676
1426.15000000	240.25433551
1430.29000000	241.09279867
1430.56000000	239.91964441
1431.05000000	239.71654666
1431.05000000	239.71654666
1431.07000000	239.40606824
1431.48000000	238.92399896
1431.48000000	238.92399896
1431.48500000	238.21816637
1431.49000000	237.98471435
1431.49000000	237.98471435
1431.49000000	237.98471435
1431.69000000	238.04153493
1432.20000000	238.24419363
1432.70000000	239.19332707
1434.13000000	240.73147962
1438.20000000	240.65744764
1439.19000000	241.04911461
1445.24000000	240.25040916
1447.40000000	242.01502625
1447.55500000	242.25596794
1447.71000000	242.09636159
1448.14000000	242.84842073
1448.25500000	242.17715253
1448.46500000	241.31010008
1448.64000000	241.09654598
1448.73500000	241.06263045
1448.73500000	241.06263045
1448.77000000	241.81049116
1449.12000000	242.13345740
1449.85500000	240.91434559
1449.90500000	242.02404497
1450.61000000	240.71952639
1451.38000000	238.65918263
1451.72500000	238.67031115
1455.98000000	237.38601280
1457.47000000	237.06370794
1462.70000000	236.31027386
1464.10000000	235.45381452
1465.05000000	234.61403046
1465.36000000	234.18528103
1465.44500000	234.04726615
1465.68000000	234.27385427
1465.88000000	236.69289384
1468.64000000	236.10982589
1469.02000000	235.97828440
1469.20000000	236.76562051
1469.27000000	235.59294353
1469.27000000	235.59294353
1469.44000000	235.70361330
1469.92000000	236.94222564
1470.50000000	235.51693705
1470.89000000	236.78969098
1471.34000000	240.32081092
1471.92500000	238.96595711
1471.92500000	238.96595711
1473.59500000	238.40949806
