DEPTH d	VALUE d
1374.48000000	194.49054754
1376.28000000	189.07007844
1376.85500000	187.27019536
1376.92000000	186.78878724
1377.25000000	185.28642868
1380.08500000	182.88636793
1383.03000000	182.61097714
1385.00000000	185.15954473
1385.57000000	185.95594767
1385.98500000	178.78472955
1386.44000000	176.42334535
1387.02000000	184.36759193
1388.72000000	183.47859429
1390.33000000	179.93984105
1390.92000000	177.77071447
1391.51000000	178.73311767
1391.51000000	178.73311767
1392.20000000	182.24281126
1395.65000000	183.95426467
1396.11000000	185.27584387
1396.87500000	185.52134111
1398.34000000	188.10307952
1399.81000000	188.64813648
1402.23000000	185.25043742
1402.70000000	185.51933875
1403.17000000	185.65571379
1403.27000000	185.49044047
1403.70000000	185.40716435
1403.94000000	186.28305004
1404.26000000	187.70350490
1405.27000000	187.17158841
1405.80000000	186.63882543
1408.18500000	190.00687943
1412.00000000	186.48606663
1412.32500000	187.66605907
1412.65000000	187.32161640
1412.65000000	187.32161640
1412.70000000	186.65644875
1413.48500000	190.97415997
1413.76000000	193.48436946
1414.61000000	194.27908954
1414.69000000	192.18157190
1414.69000000	192.18157190
1414.91000000	191.95527878
1415.03000000	191.37326350
1416.28000000	193.28965434
1421.61000000	192.22640643
1426.15000000	191.50376118
1430.29000000	191.91817392
1430.56000000	185.27334773
1431.05000000	187.76697803
1431.05000000	187.76697803
1431.07000000	188.83864225
1431.48000000	187.66921457
1431.48000000	187.66921457
1431.48500000	187.25702697
1431.49000000	186.96160588
1431.49000000	186.96160588
1431.49000000	186.96160588
1431.69000000	185.80864666
1432.20000000	192.77606563
1432.70000000	195.47604726
1434.13000000	197.46487361
1438.20000000	196.52901234
1439.19000000	197.20108186
1445.24000000	196.94506735
1447.40000000	200.14401539
1447.55500000	200.67694589
1447.71000000	200.37791000
1448.14000000	200.87349623
1448.25500000	200.29844906
1448.46500000	198.60548858
1448.64000000	197.00149324
1448.73500000	197.97228653
1448.73500000	197.97228653
1448.77000000	197.96819850
1449.12000000	198.98596783
1449.85500000	195.46391089
1449.90500000	196.79436845
1450.61000000	195.77708218
1451.38000000	194.06851465
1451.72500000	192.88325266
1455.98000000	190.21758750
1457.47000000	196.46006261
1462.70000000	194.66596085
1464.10000000	194.66016092
1465.05000000	190.36784298
1465.36000000	189.84489434
1465.44500000	191.49869794
1465.68000000	190.77776072
1465.88000000	193.38828117
1468.64000000	192.76921206
1469.02000000	191.81229601
1469.20000000	193.68551519
1469.27000000	192.64989535
1469.27000000	192.64989535
1469.44000000	191.11782142
1469.92000000	193.81017071
1470.50000000	191.04153283
1470.89000000	192.64195547
1471.34000000	195.28496797
1471.92500000	192.72007775
1471.92500000	192.72007775
1473.59500000	190.40194104
1475.15000000	196.85174207
1475.76000000	196.68575737
1478.50500000	201.44671992
1478.78000000	200.44990048
1479.70000000	198.30956329
1482.34000000	204.97133050
1490.37000000	205.20217009
1491.75500000	208.73857757
1491.75500000	208.73857757
1493.20500000	205.57019389
1493.56000000	214.78872247
1493.85000000	212.58752913
1493.96000000	219.42617609
1494.36500000	218.00572858
1494.36500000	218.00572858
1497.91500000	191.82410785
1497.91500000	191.82410785
1497.91500000	191.82410785
1503.40500000	201.59062655
1504.11000000	197.13702731
1504.15000000	193.32100095
1504.16000000	195.76394347
1504.16000000	195.76394347
1504.19500000	194.54900317
1504.26000000	194.78797988
1507.40000000	192.90688681
1507.67500000	186.67363571
1507.99000000	185.75479708
1508.17000000	185.40467464
1508.17000000	185.40467464
1508.17000000	185.40467464
1511.28500000	184.56224082
1513.84000000	183.60723621
1515.01000000	183.76750335
1515.01000000	183.76750335
1516.61000000	189.32656878
1516.72000000	188.11928392
1516.97000000	187.18353209
1518.81500000	189.00236557
1520.16000000	195.22462216
1521.00000000	195.34434705
1521.00000000	195.34434705
1521.00000000	195.34434705
1521.15500000	192.68236670
1521.64000000	194.78708737
1522.18000000	194.80358181
1524.19500000	192.09288919
1524.39000000	194.62802639
1525.64000000	189.61978344
1525.92500000	195.83569784
1526.21000000	193.37149302
1529.50000000	198.98918233
1531.76500000	195.90099555
1533.87000000	197.47865927
1533.89000000	196.43157066
1536.09500000	202.11934285
1538.20000000	201.51554277
1539.15000000	204.24672761
1539.55500000	204.10692633
1540.01000000	206.34801846
1540.67000000	208.44347553
1540.82000000	205.11162726
1540.82000000	205.11162726
1540.82000000	205.11162726
1541.11000000	205.16185903
1545.45500000	204.26957240
1548.25000000	205.75314015
1549.33000000	207.64375166
1549.79000000	207.49616731
1549.93500000	207.30469425
1550.08000000	206.40746169
1553.50500000	211.35872475
1555.14000000	212.92614401
1555.14000000	212.92614401
1555.83500000	214.87475401
1556.65000000	211.41007696
1560.64000000	206.40960585
1562.22500000	205.94181686
1563.63000000	204.27226574
1564.33000000	204.48934983
1564.54000000	205.68808325
1564.91000000	208.72241574
1565.17000000	210.41844430
1565.32000000	212.45298635
1565.82000000	209.16223934
1566.25000000	207.99300037
1566.51000000	208.44677219
1567.84000000	207.29165370
1568.31000000	207.85060197
1568.31000000	207.85060197
1568.31000000	207.85060197
1568.45500000	208.39451850
