DEPTH d	VALUE d
1374.48000000	0.00380244
1376.28000000	0.00699259
1376.85500000	0.00000000
1376.92000000	0.00685070
1377.25000000	0.00065055
1380.08500000	0.00017981
1383.03000000	0.00354130
1385.00000000	0.00591036
1385.57000000	0.00920256
1385.98500000	0.00462557
1386.44000000	0.01943969
1387.02000000	0.00025999
1388.72000000	0.00249436
1390.33000000	0.00380013
1390.92000000	0.00068809
1391.51000000	0.00000000
1391.51000000	0.00562549
1392.20000000	0.00050166
1395.65000000	0.00296408
1396.11000000	0.00293999
1396.87500000	0.00104682
1398.34000000	0.00158958
1399.81000000	0.00127269
1402.23000000	0.00009263
1402.70000000	0.00189847
1403.17000000	0.00000000
1403.27000000	0.00552612
1403.70000000	0.00619973
1403.94000000	0.00213053
1404.26000000	0.00096708
1405.27000000	0.00606422
1405.80000000	0.00072261
1408.18500000	0.00046953
1412.00000000	0.00369267
1412.32500000	0.00141295
1412.65000000	0.00000000
1412.65000000	0.00000000
1412.70000000	0.00010839
1413.48500000	0.00990344
1413.76000000	0.00394194
1414.61000000	0.00000000
1414.69000000	0.00000000
1414.69000000	0.00938661
1414.91000000	0.00420044
1415.03000000	0.00086922
1416.28000000	0.00036261
1421.61000000	0.00041241
1426.15000000	0.00051113
1430.29000000	0.01834669
1430.56000000	0.00210347
1431.05000000	0.00000000
1431.05000000	0.00000000
1431.07000000	0.00443179
1431.48000000	0.00000000
1431.48000000	0.00000000
1431.48500000	0.00000000
1431.49000000	0.00000000
1431.49000000	0.00000000
1431.49000000	0.00780008
1431.69000000	0.00213519
1432.20000000	0.00564780
1432.70000000	0.00022271
1434.13000000	0.00135062
1438.20000000	0.00017216
1439.19000000	0.00025070
1445.24000000	0.00000883
1447.40000000	0.00552018
1447.55500000	0.01690775
1447.71000000	0.00469385
1448.14000000	0.00673864
1448.25500000	0.01164108
1448.46500000	0.00235083
1448.64000000	0.00000000
1448.73500000	0.00000000
1448.73500000	0.00000000
1448.77000000	0.00137248
1449.12000000	0.00106924
1449.85500000	0.00000000
1449.90500000	0.00003952
1450.61000000	0.00025621
1451.38000000	0.00082143
1451.72500000	0.00000801
1455.98000000	0.00314547
1457.47000000	0.00003105
1462.70000000	0.00003077
1464.10000000	0.00194452
1465.05000000	0.00144447
1465.36000000	0.00000000
1465.44500000	0.00091233
1465.68000000	0.00658230
1465.88000000	0.00061585
1468.64000000	0.00083825
1469.02000000	0.00520576
1469.20000000	0.00000000
1469.27000000	0.00000000
1469.27000000	0.00745210
1469.44000000	0.00199973
1469.92000000	0.00160832
1470.50000000	0.00479140
1470.89000000	0.00741101
1471.34000000	0.00177398
1471.92500000	0.00000000
1471.92500000	0.00053967
1473.59500000	0.00107522
1475.15000000	0.00922562
1475.76000000	0.00209583
1478.50500000	0.02401249
1478.78000000	0.00186382
1479.70000000	0.00087093
1482.34000000	0.00011713
1490.37000000	0.00146528
1491.75500000	0.00000000
1491.75500000	0.00182445
1493.20500000	0.00448352
1493.56000000	0.00949295
1493.85000000	0.05086000
1493.96000000	0.00728016
1494.36500000	0.00000000
1494.36500000	0.00390498
1497.91500000	0.00000000
1497.91500000	0.00000000
1497.91500000	0.00108204
1503.40500000	0.00041569
1504.11000000	0.00000000
1504.15000000	0.00000000
1504.16000000	0.00000000
1504.16000000	0.00000000
1504.19500000	0.00000000
1504.26000000	0.00028459
1507.40000000	0.01847460
1507.67500000	0.00175938
1507.99000000	0.00137016
1508.17000000	0.00000000
1508.17000000	0.00000000
1508.17000000	0.00079504
1511.28500000	0.00017603
1513.84000000	0.00037609
1515.01000000	0.00000000
1515.01000000	0.00259987
1516.61000000	0.00723246
1516.72000000	0.00008451
1516.97000000	0.00079896
1518.81500000	0.00267729
1520.16000000	0.00054978
1521.00000000	0.00000000
1521.00000000	0.00000000
1521.00000000	0.00352129
