DEPTH d	FREQ d	DERIV_DEPTH d	DERIV d
1364.41000000	0.17854251	1364.79250000	0.04201299
1365.17500000	0.27070322	1366.62750000	0.02997104
1368.08000000	0.02104337	1369.82000000	0.01031068
1371.56000000	0.12393200	1372.03750000	0.16110656
1372.51500000	0.56511360	1372.71000000	0.19503874
1372.90500000	0.34699822	1373.11250000	0.10218981
1373.32000000	0.46860464	1373.55250000	0.12098185
1373.78500000	0.30728994	1374.22250000	0.06404439
1374.66000000	0.14659953	1375.13250000	0.06721049
1375.60500000	0.32872456	1375.95250000	0.02693190
1376.30000000	0.27505197	1378.02000000	0.02619537
1379.74000000	0.01665715	1382.32000000	0.00227484
1384.90000000	0.05031613	1385.98750000	0.00974104
1387.07500000	0.11106878	1387.18250000	1.00000000
1387.29000000	0.72757753	1387.79000000	0.23062427
1388.29000000	0.06626645	1390.97250000	0.00333729
1393.65500000	0.01492551	1396.15000000	0.01183332
1398.64500000	0.18424545	1400.25250000	0.01606108
1401.86000000	0.03617903	1405.38250000	0.00077647
1408.90500000	0.02049318	1411.40000000	0.00325167
1413.89500000	0.06702055	1414.51500000	0.00947337
1415.13500000	0.10070481	1415.71500000	0.01270769
1416.29500000	0.14297414	1416.73750000	0.02460478
1417.18000000	0.20541423	1417.43000000	0.22930440
1417.68000000	0.53417742	1418.82250000	0.07700505
1419.96500000	0.02962509	1421.03500000	0.15813391
1422.10500000	1.00000000	1423.14250000	0.16349041
1424.18000000	0.02722772	1425.27250000	0.07543505
1426.36500000	0.49986224	1428.07250000	0.04824211
1429.78000000	0.02745366	1431.56500000	0.01570116
1433.35000000	0.18818505	1433.57250000	0.24205174
1433.79500000	0.49705028	1434.07000000	0.20974196
1434.34500000	0.16626299	1435.62250000	0.01728308
1436.90000000	0.03963995	1438.01750000	0.08361059
1439.13500000	0.57548545	1439.45750000	0.25187263
1439.78000000	0.10964040	1443.90750000	0.00436211
1448.03500000	0.00638459	1452.12500000	0.00653177
1456.21500000	0.15959379	1457.37750000	0.01947958
1458.54000000	0.02972544	1459.51750000	0.01242468
1460.49500000	0.09937733	1460.72250000	0.05606844
