DEPTH d	FREQ d	DERIV_DEPTH d	DERIV d
1364.41000000	0.06898048	1364.79250000	0.15146271
1365.17500000	0.24297950	1366.62750000	0.05243791
1368.08000000	0.01422420	1369.82000000	0.01042221
1371.56000000	0.06868934	1372.03750000	0.14951635
1372.51500000	0.28311251	1372.71000000	0.00551851
1372.90500000	0.27988055	1373.11250000	0.04259212
1373.32000000	0.25333712	1373.55250000	0.03792231
1373.78500000	0.27981769	1374.22250000	0.12690683
1374.66000000	0.11306506	1375.13250000	0.06550319
1375.60500000	0.20602031	1375.95250000	0.02431759
1376.30000000	0.18064070	1378.02000000	0.02979238
1379.74000000	0.02673905	1382.32000000	0.00078474
1384.90000000	0.02065836	1385.98750000	0.29984396
1387.07500000	1.00000000	1387.18250000	1.00000000
1387.29000000	0.67713713	1387.79000000	0.37476020
1388.29000000	0.11436431	1390.97250000	0.01294965
1393.65500000	0.01003474	1396.15000000	0.00965223
1398.64500000	0.08236300	1400.25250000	0.01404557
1401.86000000	0.01455203	1405.38250000	0.00046717
1408.90500000	0.00960963	1411.40000000	0.00847439
1413.89500000	0.07311184	1414.51500000	0.00135408
1415.13500000	0.07563326	1415.71500000	0.00661885
1416.29500000	0.06410350	1416.73750000	0.05992051
1417.18000000	0.14373748	1417.43000000	0.05401946
1417.68000000	0.18429767	1418.82250000	0.04745692
1419.96500000	0.02145606	1421.03500000	0.25715718
1422.10500000	0.84785944	1423.14250000	0.26470729
1424.18000000	0.02303094	1425.27250000	0.06639183
1426.36500000	0.24087501	1428.07250000	0.04462475
1429.78000000	0.01202753	1431.56500000	0.02484199
1433.35000000	0.14520608	1433.57250000	0.32973521
1433.79500000	0.36555199	1434.07000000	0.31738229
1434.34500000	0.10341698	1435.62250000	0.02196104
1436.90000000	0.01915661	1438.01750000	0.12013842
1439.13500000	0.42237386	1439.45750000	0.35151424
1439.78000000	0.08190117	1443.90750000	0.00610447
1448.03500000	0.00622757	1452.12500000	0.00508410
1456.21500000	0.06867964	1457.37750000	0.01345214
1458.54000000	0.02171253	1459.51750000	0.09326996
1460.49500000	0.29553443	1460.72250000	0.31241380
1460.95000000	0.08207209	1461.25750000	0.07530090
1461.56500000	0.15161534	1462.34500000	0.05414949
1463.12500000	0.02476296	1465.56500000	0.00152305
1468.00500000	0.01360169	1470.51500000	0.00233978
1473.02500000	0.03124008	1474.00250000	0.01406773
1474.98000000	0.07254012	1475.38500000	0.08286253
1475.79000000	0.17333138	1476.09500000	0.00641209
1476.40000000	0.16745772	1476.64750000	0.10197512
1476.89500000	0.24325944	1477.19000000	0.14813237
1477.48500000	0.11201479	1477.80750000	0.08372373
1478.13000000	0.19310864	1478.38000000	0.01928473
1478.63000000	0.17862882	1479.03250000	0.07541446
1479.43500000	0.08746339	1479.78750000	0.19570776
1480.14000000	0.29465721	1480.38250000	0.21549313
1480.62500000	0.13770956	1480.96500000	0.02754005
1481.30500000	0.10958710	1481.73500000	0.01826563
1482.16500000	0.08599792	1482.62250000	0.02731757
1483.08000000	0.12353348	1483.34500000	0.29884585
1483.61000000	0.36138326	1484.36500000	0.14528991
1485.12000000	0.03193132	1488.30750000	0.00248038
1491.49500000	0.00818603	1494.74500000	0.00242979
1497.99500000	0.03190315	1499.98250000	0.00272512
