ID s	INT d	DIP d	FREQ d	FREQ_NRM d	FREQ_MAX d
W_TST_1084	0.16000000	43.64000000	6.55397844	0.06548360	6.55397844
W_TST_1083	0.53000000	31.06000000	3.13271433	0.03130029	6.55397844
W_TST_1082	0.19000000	35.73000000	7.31637229	0.07310100	7.31637229
W_TST_1081	0.27000000	40.41000000	4.35029857	0.04346569	7.31637229
W_TST_1080	2.84000000	5.65000000	3.55913882	0.03556088	7.31637229
W_TST_1079	0.44000000	42.29000000	2.49857057	0.02496429	7.31637229
W_TST_1078	0.93000000	2.19000000	1.07526882	0.01074347	7.31637229
W_TST_1077	0.59000000	34.69000000	2.44868151	0.02446582	7.31637229
W_TST_1076	0.11000000	30.90000000	15.18980222	0.15176780	15.18980222
W_TST_1075	0.34000000	19.96000000	8.09840283	0.08091460	15.18980222
W_TST_1074	0.41000000	51.93000000	1.91037803	0.01908740	15.18980222
W_TST_1073	0.19000000	55.32000000	3.64166591	0.03638544	15.18980222
W_TST_1072	0.20000000	52.80000000	3.79520657	0.03791953	15.18980222
W_TST_1071	0.50000000	61.73000000	1.07553862	0.01074617	15.18980222
W_TST_1070	0.61000000	37.51000000	2.13566315	0.02133832	15.18980222
W_TST_1069	0.24000000	13.57000000	17.26247855	0.17247679	17.26247855
W_TST_1068	0.16000000	17.88000000	19.37349158	0.19356882	19.37349158
W_TST_1067	0.11000000	7.29000000	71.06405472	0.71003131	71.06405472
W_TST_1066	0.38000000	0.62000000	2.63157895	0.02629323	71.06405472
W_TST_1065	0.49000000	15.00000000	7.61643022	0.07609901	71.06405472
W_TST_1064	0.68000000	7.53000000	11.12521025	0.11115672	71.06405472
W_TST_1063	0.12000000	39.43000000	10.13434268	0.10125654	71.06405472
W_TST_1062	0.45000000	55.14000000	1.54793841	0.01546611	71.06405472
W_TST_1061	0.13000000	63.12000000	3.89915480	0.03895812	71.06405472
W_TST_1060	0.66000000	18.04000000	4.65210346	0.04648115	71.06405472
W_TST_1059	5.01000000	45.49000000	0.19621565	0.00196047	71.06405472
W_TST_1058	0.44000000	38.65000000	2.84190627	0.02839470	71.06405472
W_TST_1057	0.25000000	60.14000000	2.29638762	0.02294419	71.06405472
W_TST_1056	1.02000000	46.87000000	0.91839808	0.00917611	71.06405472
W_TST_1055	0.70000000	60.33000000	0.81385170	0.00813154	71.06405472
W_TST_1054	0.51000000	59.57000000	1.15176580	0.01150778	71.06405472
W_TST_1053	0.12000000	25.35000000	17.58955803	0.17574478	71.06405472
W_TST_1052	0.26000000	33.03000000	5.91577399	0.05910702	71.06405472
W_TST_1051	0.19000000	37.11000000	6.95661818	0.06950654	71.06405472
W_TST_1050	0.40000000	37.11000000	3.30439364	0.03301561	71.06405472
W_TST_1047	0.13000000	51.32000000	6.15829323	0.06153014	71.06405472
W_TST_1046	0.25000000	33.61000000	6.01820492	0.06013045	71.06405472
W_TST_1045	0.21000000	19.19000000	13.68201622	0.13670286	71.06405472
W_TST_1043	1.65000000	53.15000000	0.45421668	0.00453827	71.06405472
W_TST_1042	1.61000000	47.45000000	0.57014774	0.00569659	71.06405472
W_TST_1041	1.18000000	28.38000000	1.56864861	0.01567304	71.06405472
W_TST_1040	0.69000000	38.05000000	1.85165492	0.01850067	71.06405472
W_TST_1039	0.26000000	24.14000000	8.58210546	0.08574748	71.06405472
W_TST_1038	0.32000000	24.14000000	6.97296068	0.06966983	71.06405472
W_TST_1037	2.92000000	21.00000000	0.89215379	0.00891389	71.06405472
W_TST_1034	0.23000000	21.07000000	11.28524457	0.11275570	71.06405472
W_TST_1033	0.18000000	51.13000000	4.47796744	0.04474128	71.06405472
W_TST_1032	0.13000000	45.31000000	7.60951605	0.07602992	71.06405472
W_TST_1031	0.26000000	43.90000000	3.99674520	0.03993319	71.06405472
W_TST_1030	0.47000000	51.72000000	1.67911870	0.01677679	71.06405472
W_TST_1027	1.37000000	18.25000000	2.21357330	0.02211676	71.06405472
W_TST_1025	0.93000000	58.72000000	0.65325970	0.00652700	71.06405472
W_TST_1024	1.08000000	30.71000000	1.55881718	0.01557481	71.06405472
W_TST_1023	1.88000000	8.49000000	3.56337991	0.03560325	71.06405472
W_TST_1022	0.94000000	37.79000000	1.37197547	0.01370799	71.06405472
W_TST_1021	0.20000000	40.34000000	5.88746036	0.05882413	71.06405472
W_TST_1020	0.15000000	26.18000000	13.56040244	0.13548777	71.06405472
W_TST_1019	0.18000000	31.68000000	9.00223821	0.08994520	71.06405472
W_TST_1018	0.11000000	36.94000000	12.09036554	0.12080000	71.06405472
W_TST_1016	0.17000000	23.20000000	13.72455769	0.13712791	71.06405472
W_TST_1014	0.28000000	23.20000000	8.33276717	0.08325623	71.06405472
W_TST_1012	0.53000000	36.75000000	2.52672152	0.02524555	71.06405472
W_TST_1011	0.53000000	30.30000000	3.22885831	0.03226090	71.06405472
W_TST_1008	0.20000000	3.64000000	5.00000000	0.04995713	71.06405472
W_TST_1007	0.56000000	25.10000000	3.81209180	0.03808824	71.06405472
W_TST_1006	2.12000000	57.77000000	0.29738919	0.00297134	71.06405472
W_TST_1004	1.57000000	59.58000000	0.37399097	0.00373670	71.06405472
W_TST_1003	2.23000000	4.42000000	0.44843049	0.00448046	71.06405472
W_TST_1002	0.75000000	55.36000000	0.92117955	0.00920390	71.06405472
W_TST_1000	0.20000000	0.61000000	5.00000000	0.04995713	71.06405472
W_TST_0999	0.43000000	43.60000000	2.44210104	0.02440007	71.06405472
W_TST_0998	0.38000000	13.57000000	10.90261803	0.10893271	71.06405472
W_TST_0995	0.24000000	28.61000000	7.63903467	0.07632486	71.06405472
W_TST_0994	0.27000000	16.29000000	12.67388981	0.12663024	71.06405472
W_TST_0993	0.15000000	47.02000000	6.21241794	0.06207092	71.06405472
W_TST_0992	0.37000000	55.01000000	1.89174991	0.01890128	71.06405472
W_TST_0989	0.24000000	26.89000000	8.21650255	0.08209458	71.06405472
W_TST_0988	0.30000000	29.07000000	5.99620408	0.05991063	71.06405472
W_TST_0985	1.90000000	30.09000000	0.90830772	0.00907529	71.06405472
W_TST_0984	0.87000000	58.66000000	0.69996109	0.00699361	71.06405472
W_TST_0982	0.15000000	8.53000000	44.44849312	0.44410387	71.06405472
W_TST_0981	6.72000000	11.87000000	0.70798882	0.00707382	71.06405472
W_TST_0980	0.59000000	4.26000000	1.69491525	0.01693462	71.06405472
W_TST_0978	0.24000000	16.51000000	14.05742089	0.14045369	71.06405472
W_TST_0977	0.70000000	33.57000000	2.15261729	0.02150772	71.06405472
W_TST_0976	2.13000000	61.09000000	0.25927577	0.00259053	71.06405472
W_TST_0975	1.26000000	15.35000000	2.89118344	0.02888705	71.06405472
W_TST_0974	0.42000000	15.00000000	8.88583526	0.08878217	71.06405472
W_TST_0972	0.14000000	18.99000000	20.75613095	0.20738337	71.06405472
W_TST_0970	0.18000000	36.18000000	7.59626627	0.07589754	71.06405472
W_TST_0968	0.46000000	52.47000000	1.66991133	0.01668480	71.06405472
W_TST_0965	0.40000000	30.43000000	4.25603953	0.04252391	71.06405472
W_TST_0962	0.22000000	8.28000000	31.23428112	0.31207504	71.06405472
W_TST_0960	0.29000000	47.72000000	3.13549003	0.03132802	71.06405472
W_TST_0959	0.20000000	45.69000000	4.88099962	0.04876815	71.06405472
W_TST_0957	0.38000000	30.44000000	4.47825170	0.04474412	71.06405472
W_TST_0956	0.12000000	9.62000000	49.16524899	0.49123099	71.06405472
W_TST_0955	0.63000000	9.62000000	9.36480933	0.09356781	71.06405472
W_TST_0954	0.23000000	30.88000000	7.27044616	0.07264213	71.06405472
W_TST_0953	0.44000000	29.82000000	3.96519539	0.03961796	71.06405472
W_TST_0952	0.26000000	26.17000000	7.82675896	0.07820049	71.06405472
W_TST_0951	0.70000000	29.00000000	2.57721108	0.02575002	71.06405472
W_TST_0950	0.85000000	48.48000000	1.04158559	0.01040693	71.06405472
W_TST_0949	2.39000000	54.71000000	0.29614120	0.00295887	71.06405472
W_TST_0948	1.98000000	49.35000000	0.43364573	0.00433274	71.06405472
W_TST_0946	1.41000000	32.95000000	1.09419208	0.01093254	71.06405472
W_TST_0945	2.53000000	0.04000000	0.39525692	0.00394918	71.06405472
W_TST_0943	0.54000000	51.91000000	1.45151548	0.01450271	71.06405472
W_TST_0942	0.41000000	36.84000000	3.25557030	0.03252779	71.06405472
W_TST_0941	0.34000000	30.76000000	4.94171013	0.04937474	71.06405472
W_TST_0940	0.25000000	35.60000000	5.58714088	0.05582351	71.06405472
W_TST_0939	0.27000000	37.98000000	4.74393692	0.04739870	71.06405472
W_TST_0938	0.48000000	53.84000000	1.52253711	0.01521232	71.06405472
W_TST_0937	0.18000000	53.69000000	4.08245430	0.04078954	71.06405472
W_TST_0936	0.54000000	52.39000000	1.42663287	0.01425410	71.06405472
W_TST_0935	0.22000000	0.95000000	4.54545455	0.04541558	71.06405472
W_TST_0934	0.23000000	41.97000000	4.83383753	0.04829693	71.06405472
W_TST_0930	0.13000000	45.00000000	7.69230769	0.07685713	71.06405472
W_TST_0929	0.64000000	46.89000000	1.46267324	0.01461419	71.06405472
W_TST_0925	0.23000000	36.90000000	5.79076066	0.05785796	71.06405472
W_TST_0924	0.19000000	31.76000000	8.50185191	0.08494563	71.06405472
W_TST_0922	0.70000000	40.11000000	1.69588228	0.01694428	71.06405472
W_TST_0921	0.48000000	61.95000000	1.11006111	0.01109109	71.06405472
W_TST_0917	0.49000000	10.84000000	10.65790397	0.10648767	71.06405472
W_TST_0916	0.34000000	18.90000000	8.59047350	0.08583109	71.06405472
W_TST_0915	0.23000000	17.07000000	14.15920484	0.14147066	71.06405472
W_TST_0914	0.19000000	36.56000000	7.09719411	0.07091110	71.06405472
W_TST_0912	0.12000000	6.58000000	72.24375572	0.72181820	72.24375572
W_TST_0911	0.12000000	17.41000000	26.57544376	0.26552660	72.24375572
W_TST_0910	0.15000000	1.44000000	6.66666667	0.06660951	72.24375572
W_TST_0909	0.27000000	19.25000000	10.60577863	0.10596686	72.24375572
W_TST_0908	1.34000000	27.50000000	1.43356875	0.01432340	72.24375572
W_TST_0907	2.64000000	48.56000000	0.33441671	0.00334130	72.24375572
W_TST_0906	0.22000000	37.25000000	5.97757617	0.05972452	72.24375572
W_TST_0904	0.46000000	16.58000000	7.30155468	0.07295295	72.24375572
W_TST_0903	0.11000000	23.67000000	20.73916645	0.20721387	72.24375572
W_TST_0902	0.69000000	47.36000000	1.33454553	0.01333401	72.24375572
W_TST_0901	0.30000000	5.36000000	35.52769893	0.35497241	72.24375572
W_TST_0900	4.62000000	5.97000000	2.06981078	0.02068036	72.24375572
