DEPTH d	SIZE i	MIN d	MAX d	INT_AV_D.X d	INT_AV_D.Y d	INT_AV_D.Z d	INT_AV_DD.DIPDIR d	INT_AV_DD.DIP d	INT_AV_DD_STDEV d	INT_AV_D_STDEV d	DD_DERIV d	D_DERIV d
1373.32000000	13	1363.84000000	1383.84000000	0.17125737	0.97756520	-0.12262626	9.93667830	7.04369567	55.00260009	4.58717067	0.16661391	0.02315230
1373.53000000	12	1364.84000000	1384.84000000	0.23043095	0.96422304	-0.13105535	13.44051373	7.53058095	53.78295856	4.62280085	0.19557085	0.01173068
1374.04000000	10	1365.84000000	1385.84000000	0.39361209	0.90833448	-0.14141425	23.42871857	8.12969096	56.03613848	4.91820626	0.00000000	0.00000000
1374.04000000	10	1366.84000000	1386.84000000	0.39361209	0.90833448	-0.14141425	23.42871857	8.12969096	56.03613848	4.91820626	0.12594384	0.00884608
1375.60500000	13	1367.84000000	1387.84000000	0.67471027	0.71932887	-0.16532403	43.16677681	9.51605837	51.93146084	6.13854823	0.00000000	0.00000000
1375.60500000	13	1368.84000000	1388.84000000	0.67471027	0.71932887	-0.16532403	43.16677681	9.51605837	51.93146084	6.13854823	0.03659901	0.02312209
1375.93000000	14	1369.84000000	1389.84000000	0.69097643	0.70663922	-0.15235675	44.35792512	8.76352863	57.88005483	6.31551718	0.03685161	0.01047041
1376.30000000	13	1370.84000000	1390.84000000	0.70686398	0.68923722	-0.15904521	45.72336115	9.15148108	58.90500583	6.35913372	0.00000000	0.00000000
1376.30000000	13	1371.84000000	1391.84000000	0.70686398	0.68923722	-0.15904521	45.72336115	9.15148108	58.90500583	6.35913372	0.00717880	0.00251616
1379.74000000	11	1372.84000000	1392.84000000	0.73406749	0.65641611	-0.17396209	48.19635574	10.01826369	62.12903025	6.40808126	0.00299206	0.00122132
1384.90000000	9	1373.84000000	1393.84000000	0.75000318	0.63509443	-0.18479797	49.74244130	10.64935358	67.99213015	6.50545406	0.01509519	0.00014727
1386.99000000	8	1374.84000000	1394.84000000	0.78394450	0.59285400	-0.18426925	52.90179335	10.61853118	70.40917589	6.89546787	0.00000000	0.00000000
1387.07500000	7	1375.84000000	1395.84000000	0.84020526	0.50896529	-0.18710816	58.79406808	10.78406742	71.21638852	7.29729189	0.88965014	0.00724484
1387.29000000	5	1376.84000000	1396.84000000	0.96018741	0.20499514	-0.18978182	77.94856969	10.94005161	67.99671082	8.11219648	0.00000000	0.00000000
1387.29000000	5	1377.84000000	1397.84000000	0.96018741	0.20499514	-0.18978182	77.94856969	10.94005161	67.99671082	8.11219648	0.20333686	0.16501239
1387.42000000	6	1378.84000000	1398.84000000	0.97496788	0.16148035	-0.15284543	80.59568350	8.79185979	78.79649910	8.22227782	0.04887507	0.01747470
1388.29000000	7	1379.84000000	1399.84000000	0.98796363	0.08897606	-0.12653507	84.85382224	7.26941298	81.87087948	8.08261967	0.00000000	0.00000000
1388.29000000	7	1380.84000000	1400.84000000	0.98796363	0.08897606	-0.12653507	84.85382224	7.26941298	81.87087948	8.08261967	0.00000000	0.00000000
1388.29000000	7	1381.84000000	1401.84000000	0.98796363	0.08897606	-0.12653507	84.85382224	7.26941298	81.87087948	8.08261967	0.01648276	0.01621987
1389.16000000	6	1382.84000000	1402.84000000	0.98202390	0.11331495	-0.15095951	83.41779599	8.68253561	73.20698992	7.92915687	0.00000000	0.00000000
1389.16000000	6	1383.84000000	1403.84000000	0.98202390	0.11331495	-0.15095951	83.41779599	8.68253561	73.20698992	7.92915687	0.00910212	0.00406596
