DEPTH d	VALUE d	COUNT d
1364.79250000	0.04201299	0.00000000
1366.62750000	0.02997104	0.00000000
1369.82000000	0.01031068	0.00000000
1372.03750000	0.16110656	0.00000000
1372.71000000	0.19503874	1.00000000
1373.11250000	0.10218981	0.00000000
1373.55250000	0.12098185	1.00000000
1374.22250000	0.06404439	0.00000000
1375.13250000	0.06721049	1.00000000
1375.95250000	0.02693190	0.00000000
1378.02000000	0.02619537	0.00000000
1382.32000000	0.00227484	0.00000000
1385.98750000	0.00974104	0.00000000
1387.18250000	1.00000000	1.00000000
1387.79000000	0.23062427	0.00000000
1390.97250000	0.00333729	0.00000000
1396.15000000	0.01183332	0.00000000
1400.25250000	0.01606108	0.10000000
1405.38250000	0.00077647	0.00000000
1411.40000000	0.00325167	0.00000000
1414.51500000	0.00947337	0.00000000
1415.71500000	0.01270769	0.00000000
1416.73750000	0.02460478	0.00000000
1417.43000000	0.22930440	1.00000000
1418.82250000	0.07700505	0.00000000
1421.03500000	0.15813391	0.00000000
1423.14250000	0.16349041	1.00000000
1425.27250000	0.07543505	0.00000000
1428.07250000	0.04824211	0.00000000
1431.56500000	0.01570116	0.00000000
1433.57250000	0.24205174	1.00000000
1434.07000000	0.20974196	0.00000000
1435.62250000	0.01728308	0.00000000
1438.01750000	0.08361059	0.00000000
1439.45750000	0.25187263	1.00000000
1443.90750000	0.00436211	0.00000000
1452.12500000	0.00653177	0.00000000
1457.37750000	0.01947958	0.10000000
1459.51750000	0.01242468	0.00000000
1460.72250000	0.05606844	0.00000000
1461.25750000	0.11208114	1.00000000
1462.34500000	0.03384566	0.00000000
1465.56500000	0.00418931	0.00000000
1470.51500000	0.00231250	0.00000000
1474.00250000	0.00510764	0.00000000
1475.38500000	0.06205930	0.90000000
1476.09500000	0.00299967	0.00000000
1476.64750000	0.10010119	1.00000000
1477.19000000	0.09880189	0.00000000
1477.80750000	0.04421804	0.00000000
1478.38000000	0.01440544	0.00000000
1479.03250000	0.04618779	0.00000000
1479.78750000	0.11255199	1.00000000
1480.38250000	0.10334289	0.00000000
1480.96500000	0.02822925	0.00000000
1481.73500000	0.04255524	0.10000000
1482.62250000	0.00246185	0.00000000
1483.34500000	0.28852400	1.00000000
1484.36500000	0.11720976	0.00000000
1488.30750000	0.00167071	0.00000000
1494.74500000	0.00084940	0.00000000
1499.98250000	0.00000212	0.00000000
1509.55750000	0.00058143	0.10000000
1525.25750000	0.00040501	0.00000000
1535.39000000	0.01340740	0.00000000
1537.75250000	0.07728299	0.00000000
1538.48000000	0.10924923	1.00000000
1541.16250000	0.00598546	0.00000000
1547.39750000	0.00038559	0.00000000
1553.81000000	0.00541464	0.00000000
1556.95750000	0.02851599	0.20000000
1558.86250000	0.02322035	0.00000000
1561.65000000	0.00295853	0.00000000
1564.72250000	0.00317476	0.00000000
1567.69250000	0.00472169	0.10000000
1570.99250000	0.00394206	0.00000000
1574.94000000	0.00138601	0.00000000
1578.32750000	0.00497882	0.10000000
1582.31500000	0.00315873	0.00000000
1587.32750000	0.00778422	0.00000000
1590.39500000	0.01648472	0.10000000
1592.54000000	0.00339350	0.00000000
1596.90250000	0.00113588	0.00000000
1602.03500000	0.03086624	0.30000000
1606.42000000	0.02991623	0.00000000
1610.98250000	0.00979135	0.00000000
1613.64750000	0.00655998	0.00000000
1614.23500000	0.08994385	1.00000000
1614.86500000	0.05251751	0.00000000
1615.58250000	0.08747234	0.00000000
1616.12250000	0.09190362	1.00000000
1616.68000000	0.05932458	0.00000000
1617.48500000	0.02651249	0.00000000
1618.35000000	0.01333632	0.00000000
1619.25250000	0.00852107	0.00000000
1620.19750000	0.01687372	0.10000000
1621.13000000	0.00007178	0.00000000
1621.96250000	0.03405776	0.00000000
1622.72750000	0.04449431	0.80000000
1623.95000000	0.01347238	0.00000000
1625.56750000	0.01544743	0.10000000
1626.77500000	0.01487309	0.00000000
1627.58250000	0.01003338	0.00000000
1628.30750000	0.08104760	1.00000000
1628.99000000	0.07437368	0.00000000
1629.84750000	0.01494209	0.00000000
1630.82500000	0.01476550	0.00000000
1631.56250000	0.15749229	1.00000000
1632.10000000	0.14101295	0.00000000
1632.74500000	0.00021461	0.00000000
1633.53000000	0.00618508	0.00000000
1634.35250000	0.00975915	0.10000000
1635.15000000	0.00024275	0.00000000
1636.26750000	0.03177612	0.30000000
1637.85750000	0.00673858	0.00000000
1639.22250000	0.02377472	0.00000000
1640.03250000	0.05390138	0.00000000
1640.75000000	0.06784076	1.00000000
1641.67250000	0.01109943	0.00000000
1642.64750000	0.00765828	0.00000000
1643.57500000	0.01074610	0.00000000
1644.42000000	0.01893224	0.00000000
1645.61750000	0.02765002	0.00000000
1647.16500000	0.05218897	1.00000000
1648.11000000	0.02038810	0.00000000
1648.64250000	0.06347412	1.00000000
1649.39750000	0.00478478	0.00000000
1650.13500000	0.09114957	1.00000000
1650.93250000	0.06838890	0.00000000
1652.03250000	0.01490069	0.00000000
1652.95000000	0.06260597	1.00000000
1653.89000000	0.05338816	0.00000000
1655.16250000	0.04671712	0.00000000
1656.08000000	0.04852410	1.00000000
1656.67750000	0.00896964	0.00000000
1657.42250000	0.02224267	0.10000000
1658.77250000	0.01354628	0.00000000
1660.90000000	0.00409216	0.00000000
1663.49750000	0.00265866	0.00000000
1666.13250000	0.00422956	0.00000000
1668.10500000	0.02245859	0.00000000
1669.30250000	0.06700076	1.00000000
1670.13250000	0.06091505	0.00000000
1670.98000000	0.00892916	0.00000000
1672.74250000	0.01862910	0.10000000
1675.36750000	0.00768968	0.00000000
1677.20250000	0.01713025	0.10000000
1678.26750000	0.01303906	0.00000000
1679.47500000	0.00478513	0.00000000
1680.66250000	0.01012375	0.00000000
1682.48250000	0.01868426	0.10000000
1685.07250000	0.00956981	0.00000000
1686.94750000	0.00965153	0.00000000
1688.26000000	0.01766196	0.10000000
1689.94750000	0.00357155	0.00000000
1691.45250000	0.03139082	0.20000000
1692.47000000	0.03081143	0.00000000
1693.57250000	0.00889494	0.00000000
1694.86500000	0.01670449	0.00000000
1696.23000000	0.01761715	0.10000000
1697.84500000	0.00682191	0.00000000
1699.22500000	0.06896483	1.00000000
1700.55500000	0.04818027	0.00000000
1702.43750000	0.01155891	0.00000000
1704.05500000	0.00071038	0.00000000
1706.36750000	0.01014131	0.10000000
1710.38000000	0.00395935	0.00000000
1713.53250000	0.01985835	0.10000000
1714.76250000	0.00387663	0.00000000
1715.45000000	0.00072993	0.00000000
1716.33000000	0.03156865	0.10000000
1717.35750000	0.00787191	0.00000000
1718.11000000	0.16297184	1.00000000
1718.75250000	0.04512465	0.00000000
1719.51500000	0.05542586	1.00000000
1720.71750000	0.05200465	0.00000000
1722.30250000	0.12132937	0.00000000
1723.32000000	0.22116415	1.00000000
1723.99750000	0.06949724	0.00000000
1725.03750000	0.02397438	0.00000000
1726.16000000	0.00792552	0.00000000
1727.04750000	0.06222764	1.00000000
1727.94500000	0.03021892	0.00000000
1728.81000000	0.15070654	1.00000000
1729.52500000	0.12730398	0.00000000
1730.33000000	0.05844441	0.00000000
1731.92750000	0.03487621	0.00000000
1734.43000000	0.00541700	0.00000000
1736.38000000	0.01255808	0.00000000
1737.44750000	0.03664311	0.10000000
1738.54000000	0.01457118	0.00000000
1739.85000000	0.01415838	0.00000000
1741.13750000	0.00474977	0.00000000
1742.23000000	0.02090505	0.10000000
1743.04750000	0.01495296	0.00000000
1744.34000000	0.01898697	0.00000000
1746.19250000	0.04778052	0.00000000
1747.42250000	0.13483190	0.00000000
1748.07000000	0.19151972	1.00000000
1748.73500000	0.11387361	0.00000000
1749.59750000	0.00726544	0.00000000
1750.57750000	0.00218456	0.00000000
1751.49250000	0.00812932	0.00000000
1752.29000000	0.02201139	0.00000000
1752.99000000	0.02228718	0.00000000
1753.64750000	0.18145785	1.00000000
1754.59500000	0.11751202	0.00000000
1755.94000000	0.01757878	0.00000000
1757.07000000	0.00627897	0.00000000
1757.90500000	0.01047748	0.00000000
1758.79750000	0.02089355	0.10000000
1759.87250000	0.00186769	0.00000000
1760.97000000	0.01923269	0.10000000
1761.99500000	0.01789804	0.00000000
1762.98750000	0.04050460	0.30000000
1763.77500000	0.01990993	0.00000000
1764.37750000	0.03673719	0.00000000
1765.02750000	0.05069955	1.00000000
1765.81750000	0.02161315	0.00000000
1766.50000000	0.07623502	1.00000000
1766.95250000	0.03189741	0.00000000
1767.51500000	0.05016398	1.00000000
1768.38000000	0.00683987	0.00000000
1769.34500000	0.00522708	0.00000000
1770.32750000	0.00061685	0.00000000
1771.34500000	0.00054328	0.00000000
1772.24500000	0.01919068	0.00000000
