DEPTH d	VALUE d	COUNT d
1364.79250000	0.15191692	0.00000000
1366.62750000	0.05357252	0.00000000
1369.82000000	0.01047207	0.00000000
1372.03750000	0.15298009	1.00000000
1372.71000000	0.01385609	0.00000000
1373.11250000	0.03509862	0.10000000
1373.55250000	0.02197628	0.00000000
1374.22250000	0.12499674	1.00000000
1375.13250000	0.06336764	0.00000000
1375.95250000	0.02404332	0.00000000
1378.02000000	0.02895630	0.10000000
1382.32000000	0.00046021	0.00000000
1385.98750000	0.29860282	0.00000000
1387.18250000	1.00000000	1.00000000
1387.79000000	0.37315151	0.00000000
1390.97250000	0.01284444	0.00000000
1396.15000000	0.01050377	0.00000000
1400.25250000	0.01521078	0.10000000
1405.38250000	0.00054083	0.00000000
1411.40000000	0.00888990	0.10000000
1414.51500000	0.00216452	0.00000000
1415.71500000	0.00565885	0.00000000
1416.73750000	0.06093335	0.00000000
1417.43000000	0.07044114	0.70000000
1418.82250000	0.05309033	0.00000000
1421.03500000	0.26861283	0.00000000
1423.14250000	0.27659165	1.00000000
1425.27250000	0.07197241	0.00000000
1428.07250000	0.04819219	0.00000000
1431.56500000	0.02582441	0.00000000
1433.57250000	0.34569534	1.00000000
1434.07000000	0.33076268	0.00000000
1435.62250000	0.02307501	0.00000000
1438.01750000	0.12842183	0.00000000
1439.45750000	0.37613118	1.00000000
1443.90750000	0.00653201	0.00000000
1452.12500000	0.00587005	0.00000000
1457.37750000	0.01584114	0.00000000
1459.51750000	0.11316941	0.00000000
1460.72250000	0.37835210	1.00000000
1461.25750000	0.07362716	0.00000000
1462.34500000	0.05826691	0.00000000
1465.56500000	0.00197240	0.00000000
1470.51500000	0.00248746	0.00000000
1474.00250000	0.01606301	0.00000000
1475.38500000	0.08036668	0.70000000
1476.09500000	0.00678041	0.00000000
1476.64750000	0.09820007	0.00000000
1477.19000000	0.14935382	1.00000000
1477.80750000	0.08906946	0.00000000
1478.38000000	0.02044900	0.00000000
1479.03250000	0.07778815	0.00000000
1479.78750000	0.20157116	0.00000000
1480.38250000	0.21952903	1.00000000
1480.96500000	0.02454018	0.00000000
1481.73500000	0.02133551	0.00000000
1482.62250000	0.02736381	0.00000000
1483.34500000	0.32438083	1.00000000
1484.36500000	0.15521542	0.00000000
1488.30750000	0.00261566	0.00000000
1494.74500000	0.00252834	0.00000000
1499.98250000	0.00272518	0.10000000
1509.55750000	0.00060913	0.00000000
1525.25750000	0.00037957	0.00000000
1535.39000000	0.01000111	0.00000000
1537.75250000	0.22277428	1.00000000
1538.48000000	0.19748046	0.00000000
1541.16250000	0.00905570	0.00000000
1547.39750000	0.00009957	0.00000000
1553.81000000	0.00585747	0.00000000
1556.95750000	0.07575277	1.00000000
1558.86250000	0.04854280	0.00000000
1561.65000000	0.00441085	0.00000000
1564.72250000	0.00589835	0.00000000
1567.69250000	0.00858468	0.10000000
1570.99250000	0.00790329	0.00000000
1574.94000000	0.00238192	0.00000000
1578.32750000	0.00014774	0.00000000
1582.31500000	0.00250110	0.00000000
1587.32750000	0.01202293	0.00000000
1590.39500000	0.02129646	0.10000000
1592.54000000	0.00412147	0.00000000
1596.90250000	0.00153714	0.00000000
1602.03500000	0.04875522	0.40000000
1606.42000000	0.04773985	0.00000000
1610.98250000	0.02835710	0.00000000
1613.64750000	0.06183747	1.00000000
1614.23500000	0.01679317	0.00000000
1614.86500000	0.06032592	0.00000000
1615.58250000	0.19699053	1.00000000
1616.12250000	0.03392693	0.00000000
1616.68000000	0.16544529	1.00000000
1617.48500000	0.03547549	0.00000000
1618.35000000	0.03467851	0.00000000
1619.25250000	0.00418706	0.00000000
1620.19750000	0.01376023	0.10000000
1621.13000000	0.00510475	0.00000000
1621.96250000	0.05905227	0.00000000
1622.72750000	0.06280304	1.00000000
1623.95000000	0.01888964	0.00000000
1625.56750000	0.02703941	0.10000000
1626.77500000	0.01933236	0.00000000
1627.58250000	0.00335817	0.00000000
1628.30750000	0.04837941	0.00000000
1628.99000000	0.05100718	0.70000000
1629.84750000	0.01548362	0.00000000
1630.82500000	0.04028794	0.00000000
1631.56250000	0.18662560	0.00000000
1632.10000000	0.19723052	1.00000000
1632.74500000	0.02143725	0.00000000
1633.53000000	0.01889692	0.00000000
1634.35250000	0.00398887	0.00000000
1635.15000000	0.00053020	0.00000000
1636.26750000	0.02803157	0.10000000
1637.85750000	0.01072293	0.00000000
1639.22250000	0.02769333	0.00000000
1640.03250000	0.08604812	0.00000000
1640.75000000	0.09306479	1.00000000
1641.67250000	0.02378521	0.00000000
1642.64750000	0.01795220	0.00000000
1643.57500000	0.02080858	0.10000000
1644.42000000	0.00251560	0.00000000
1645.61750000	0.02978019	0.00000000
1647.16500000	0.06939872	1.00000000
1648.11000000	0.05354222	0.00000000
1648.64250000	0.12984833	1.00000000
1649.39750000	0.00946950	0.00000000
1650.13500000	0.13170940	1.00000000
1650.93250000	0.11934034	0.00000000
1652.03250000	0.02731794	0.00000000
1652.95000000	0.12891766	1.00000000
1653.89000000	0.09535937	0.00000000
1655.16250000	0.08036724	0.00000000
1656.08000000	0.06881774	0.00000000
1656.67750000	0.00322692	0.00000000
1657.42250000	0.04376867	0.50000000
1658.77250000	0.01652540	0.00000000
1660.90000000	0.00080139	0.00000000
1663.49750000	0.00343926	0.00000000
1666.13250000	0.00605575	0.10000000
1668.10500000	0.00303009	0.00000000
1669.30250000	0.10641660	0.00000000
1670.13250000	0.11754983	1.00000000
1670.98000000	0.01239715	0.00000000
1672.74250000	0.01830161	0.10000000
1675.36750000	0.01453585	0.00000000
1677.20250000	0.01047530	0.00000000
1678.26750000	0.02211969	0.10000000
1679.47500000	0.00836592	0.00000000
1680.66250000	0.00098758	0.00000000
1682.48250000	0.01157456	0.10000000
1685.07250000	0.00963308	0.00000000
1686.94750000	0.01710746	0.00000000
1688.26000000	0.02257340	0.10000000
1689.94750000	0.00527456	0.00000000
1691.45250000	0.03198314	0.20000000
1692.47000000	0.01590660	0.00000000
1693.57250000	0.01684478	0.00000000
1694.86500000	0.02103410	0.00000000
1696.23000000	0.02308537	0.20000000
1697.84500000	0.00495103	0.00000000
1699.22500000	0.05882781	1.00000000
1700.55500000	0.04652820	0.00000000
1702.43750000	0.00750365	0.00000000
1704.05500000	0.03133113	0.10000000
1706.36750000	0.01720421	0.00000000
1710.38000000	0.00134548	0.00000000
1713.53250000	0.04046275	0.30000000
1714.76250000	0.01919461	0.00000000
1715.45000000	0.01987036	0.00000000
1716.33000000	0.04477089	0.00000000
1717.35750000	0.05575342	0.90000000
1718.11000000	0.01214387	0.00000000
1718.75250000	0.05119837	0.00000000
1719.51500000	0.05132953	0.80000000
1720.71750000	0.04309093	0.00000000
1722.30250000	0.08967902	0.00000000
1723.32000000	0.17215946	1.00000000
1723.99750000	0.00765986	0.00000000
1725.03750000	0.02496236	0.00000000
1726.16000000	0.05399693	0.90000000
1727.04750000	0.04621180	0.00000000
1727.94500000	0.00511571	0.00000000
1728.81000000	0.14034006	0.00000000
1729.52500000	0.14539699	1.00000000
1730.33000000	0.03345039	0.00000000
1731.92750000	0.02718456	0.00000000
1734.43000000	0.01011938	0.00000000
1736.38000000	0.01034527	0.10000000
1737.44750000	0.00042854	0.00000000
1738.54000000	0.01702006	0.10000000
1739.85000000	0.01483391	0.00000000
1741.13750000	0.01389300	0.00000000
1742.23000000	0.08132881	1.00000000
1743.04750000	0.06757071	0.00000000
1744.34000000	0.02636841	0.00000000
1746.19250000	0.04348577	0.00000000
1747.42250000	0.06316404	0.00000000
1748.07000000	0.10470741	1.00000000
1748.73500000	0.09177139	0.00000000
1749.59750000	0.00421350	0.00000000
1750.57750000	0.01421955	0.10000000
1751.49250000	0.00724012	0.00000000
1752.29000000	0.07703949	1.00000000
1752.99000000	0.07454131	0.00000000
1753.64750000	0.10694174	1.00000000
1754.59500000	0.08002966	0.00000000
1755.94000000	0.04447771	0.00000000
1757.07000000	0.03971677	0.00000000
1757.90500000	0.04254298	0.00000000
1758.79750000	0.04661324	0.10000000
1759.87250000	0.00394432	0.00000000
1760.97000000	0.01150026	0.00000000
1761.99500000	0.01642127	0.00000000
1762.98750000	0.04342791	0.10000000
1763.77500000	0.00366171	0.00000000
1764.37750000	0.05351224	0.00000000
1765.02750000	0.08398437	1.00000000
1765.81750000	0.02656225	0.00000000
1766.50000000	0.18282405	1.00000000
1766.95250000	0.10872517	0.00000000
1767.51500000	0.11198222	1.00000000
1768.38000000	0.01085493	0.00000000
1769.34500000	0.00083730	0.00000000
1770.32750000	0.00978884	0.00000000
1771.34500000	0.01304802	0.00000000
1772.24500000	0.02983760	0.00000000
1772.87250000	0.26844212	1.00000000
1773.30250000	0.24508797	0.00000000
1773.80000000	0.06158206	0.00000000
1774.44500000	0.00470379	0.00000000
1775.08250000	0.07094008	0.90000000
1775.65250000	0.04616178	0.00000000
1776.22500000	0.02758634	0.00000000
1776.92750000	0.06866077	0.90000000
1777.78000000	0.04133427	0.00000000
1778.51000000	0.04902151	0.10000000
1779.07000000	0.04351239	0.00000000
1779.77500000	0.05396545	0.50000000
1780.79750000	0.00294840	0.00000000
1781.83500000	0.06165478	0.90000000
1783.29000000	0.03921381	0.00000000
1785.32000000	0.04213552	0.00000000
1786.74000000	0.05913755	0.00000000
1787.47750000	0.23397803	1.00000000
1788.21500000	0.21495024	0.00000000
1789.29000000	0.00228469	0.00000000
1790.42000000	0.10200678	0.00000000
1791.30250000	0.10372077	1.00000000
1792.54000000	0.00729780	0.00000000
1794.23000000	0.00290715	0.00000000
1795.76500000	0.01325603	0.10000000
1796.92500000	0.00143882	0.00000000
1798.24500000	0.01636943	0.00000000
1799.91250000	0.01692238	0.00000000
1801.19250000	0.03576879	0.10000000
1801.95750000	0.02206568	0.00000000
1802.76250000	0.01866970	0.00000000
1803.94000000	0.01466715	0.00000000
1805.92500000	0.00571334	0.00000000
1808.99750000	0.00090203	0.00000000
1811.89500000	0.03785770	0.00000000
1813.26750000	0.03799256	0.00000000
1814.36750000	0.05814302	0.20000000
1816.13750000	0.02302637	0.00000000
1817.73500000	0.02581786	0.00000000
