DEPTH d	VALUE d	COUNT d
1373.79500000	0.01133573	0.00000000
1380.71000000	0.00174086	0.00000000
1384.45750000	0.00980960	0.00000000
1384.92000000	0.05188134	1.00000000
1385.28500000	0.05186437	0.00000000
1385.63500000	0.01263334	0.00000000
1386.35500000	0.01588416	0.10000000
1387.47500000	0.00690294	0.00000000
1389.64750000	0.00340236	0.00000000
1392.74750000	0.00685074	0.00000000
1394.49500000	0.02349395	0.50000000
1396.80000000	0.00247750	0.00000000
1400.92250000	0.00311073	0.00000000
1403.60000000	0.01203960	0.30000000
1407.57250000	0.00421750	0.00000000
1414.55750000	0.00159711	0.00000000
1421.16250000	0.00193178	0.10000000
1426.60000000	0.00092415	0.00000000
1429.66750000	0.04288629	1.00000000
1434.37250000	0.00677694	0.00000000
1442.40500000	0.00257641	0.00000000
1446.45750000	0.05063347	0.00000000
1446.73250000	0.05491064	1.00000000
1447.06500000	0.00248464	0.00000000
1447.84500000	0.01187212	0.10000000
1449.64250000	0.00924044	0.00000000
1452.36750000	0.00779289	0.00000000
1456.23250000	0.00021723	0.00000000
1460.24250000	0.00402756	0.10000000
1464.10750000	0.00310491	0.00000000
1472.17750000	0.00003124	0.00000000
1481.89500000	0.00321817	0.00000000
1486.16000000	0.02449320	0.10000000
1487.03000000	0.01202350	0.00000000
1487.75000000	0.00948919	0.00000000
1488.63500000	0.00575056	0.00000000
1489.78750000	0.22663112	1.00000000
1496.87000000	0.01848044	0.00000000
1509.92750000	0.00453154	0.00000000
1516.51750000	1.00000000	1.00000000
1537.64750000	0.00538241	0.00000000
1595.00750000	0.00000337	0.00000000
1646.86500000	0.00023988	0.00000000
1663.31500000	0.00279812	0.00000000
1665.01250000	0.00797075	0.20000000
1670.57500000	0.00154848	0.00000000
1695.32500000	0.00000637	0.00000000
1731.04500000	0.00012605	0.00000000
