DEPTH d	VALUE d	COUNT d
1373.79500000	0.00524625	0.00000000
1380.71000000	0.01486629	0.00000000
1384.45750000	0.04021282	0.00000000
1384.92000000	0.39015289	1.00000000
1385.28500000	0.38344504	0.00000000
1385.63500000	0.08174041	0.00000000
1386.35500000	0.11647910	0.90000000
1387.47500000	0.10477999	0.00000000
1389.64750000	0.04657340	0.00000000
1392.74750000	0.03027640	0.00000000
1394.49500000	0.10108729	1.00000000
1396.80000000	0.01168158	0.00000000
1400.92250000	0.01884856	0.00000000
1403.60000000	0.05056889	0.30000000
1407.57250000	0.00216707	0.00000000
1414.55750000	0.00045674	0.00000000
1421.16250000	0.00025522	0.00000000
1426.60000000	0.00531825	0.10000000
1429.66750000	0.00184807	0.00000000
1434.37250000	0.00322081	0.00000000
1442.40500000	0.01097054	0.00000000
1446.45750000	0.25465309	1.00000000
1446.73250000	0.25358314	0.00000000
1447.06500000	0.02167902	0.00000000
1447.84500000	0.06363620	0.50000000
1449.64250000	0.00306850	0.00000000
1452.36750000	0.00070542	0.00000000
1456.23250000	0.00119521	0.00000000
1460.24250000	0.02158953	0.20000000
1464.10750000	0.01673410	0.00000000
1472.17750000	0.00012634	0.00000000
1481.89500000	0.01974700	0.00000000
1486.16000000	0.14950254	1.00000000
1487.03000000	0.06285492	0.00000000
1487.75000000	0.04551163	0.00000000
1488.63500000	0.03307124	0.00000000
1489.78750000	0.11642958	0.90000000
1496.87000000	0.01106135	0.00000000
1509.92750000	0.02119562	0.00000000
1516.51750000	1.00000000	1.00000000
1537.64750000	0.00266815	0.00000000
1595.00750000	0.00000543	0.00000000
1646.86500000	0.00108738	0.00000000
1663.31500000	0.01180601	0.00000000
1665.01250000	0.03742695	0.20000000
1670.57500000	0.00739085	0.00000000
1695.32500000	0.00003293	0.00000000
1731.04500000	0.00057179	0.00000000
