DEPTH d	VALUE d	COUNT d
1373.79500000	0.01063293	0.00000000
1380.71000000	0.00194112	0.00000000
1384.45750000	0.01000733	0.00000000
1384.92000000	0.05292709	0.70000000
1385.28500000	0.05290978	0.00000000
1385.63500000	0.01288798	0.00000000
1386.35500000	0.01620433	0.00000000
1387.47500000	0.03194795	0.30000000
1389.64750000	0.01022779	0.00000000
1392.74750000	0.02703805	0.00000000
1394.49500000	0.09212543	1.00000000
1396.80000000	0.01088855	0.00000000
1400.92250000	0.02245357	0.00000000
1403.60000000	0.06491216	1.00000000
1407.57250000	0.00161165	0.00000000
1414.55750000	0.00037171	0.00000000
1421.16250000	0.00018548	0.00000000
1426.60000000	0.00636247	0.00000000
1429.66750000	0.00931721	0.10000000
1434.37250000	0.00297330	0.00000000
1442.40500000	0.01035258	0.00000000
1446.45750000	0.25944272	1.00000000
1446.73250000	0.24948961	0.00000000
1447.06500000	0.04974608	0.00000000
1447.84500000	0.07138369	0.80000000
1449.64250000	0.00327658	0.00000000
1452.36750000	0.00141478	0.00000000
1456.23250000	0.00132566	0.00000000
1460.24250000	0.02447401	0.20000000
1464.10750000	0.01902264	0.00000000
1472.17750000	0.00008972	0.00000000
1481.89500000	0.02881244	0.00000000
1486.16000000	0.21509839	1.00000000
1487.03000000	0.06311725	0.00000000
1487.75000000	0.03747109	0.00000000
1488.63500000	0.04133138	0.00000000
1489.78750000	0.15583101	1.00000000
1496.87000000	0.01496405	0.00000000
1509.92750000	0.02043596	0.00000000
1516.51750000	1.00000000	1.00000000
1537.64750000	0.00245665	0.00000000
1595.00750000	0.00000404	0.00000000
1646.86500000	0.00094934	0.00000000
1663.31500000	0.00992844	0.00000000
1665.01250000	0.03254235	0.20000000
1670.57500000	0.00649676	0.00000000
1695.32500000	0.00002892	0.00000000
1731.04500000	0.00049961	0.00000000
