DEPTH d	VALUE d	COUNT d
1366.06000000	0.22843415	0.00000000
1369.61500000	0.04946675	0.00000000
1381.16500000	0.00025070	0.00000000
1395.51500000	0.01109358	0.00000000
1401.41250000	1.00000000	1.00000000
1407.34250000	0.03384908	0.00000000
1419.06500000	0.00618624	0.00000000
1427.80250000	0.01248720	0.00000000
1433.35500000	0.02513584	0.00000000
1436.30250000	0.07600040	0.50000000
1436.82000000	0.02679898	0.00000000
1437.45750000	0.11619557	1.00000000
1438.09250000	0.08259324	0.00000000
1439.13750000	0.05377135	0.00000000
1440.55000000	0.06740473	0.00000000
1442.01750000	0.06816880	0.20000000
1446.73500000	0.00248755	0.00000000
1455.45000000	0.00063611	0.00000000
1461.87500000	0.05125589	0.10000000
1471.01000000	0.01172663	0.00000000
1486.83750000	0.00073878	0.00000000
1496.83750000	0.00271995	0.00000000
1499.34250000	0.14257060	1.00000000
1500.32250000	0.11304162	0.00000000
1500.62750000	0.15283744	1.00000000
1501.05750000	0.12915576	0.00000000
1502.06000000	0.05009783	0.00000000
1503.52750000	0.03163263	0.00000000
1504.69000000	0.00841267	0.00000000
1505.44500000	0.14815775	0.00000000
1506.07000000	0.16564641	1.00000000
1506.68250000	0.11333403	0.00000000
1509.61250000	0.02998214	0.00000000
1517.26000000	0.00001722	0.00000000
1525.26000000	0.00498671	0.00000000
1528.96250000	0.00527486	0.10000000
1530.33250000	0.00296305	0.00000000
1533.65500000	0.00760605	0.00000000
1538.88500000	0.01742280	0.00000000
1541.76250000	0.02249208	0.00000000
1542.36000000	0.16931295	1.00000000
1544.14000000	0.06122430	0.00000000
1547.22750000	0.02765970	0.00000000
1549.89250000	0.03561528	0.10000000
1552.19500000	0.01438029	0.00000000
1553.86750000	0.01763936	0.10000000
1554.74500000	0.01729483	0.00000000
1555.40750000	0.38400130	1.00000000
1555.79750000	0.02470643	0.00000000
1556.21500000	0.36588539	1.00000000
1557.88500000	0.01947747	0.00000000
1560.49250000	0.17967536	0.00000000
1561.92000000	0.80079812	1.00000000
1562.53500000	0.01985468	0.00000000
1564.12000000	0.03287676	0.10000000
1566.66750000	0.00457389	0.00000000
1568.97500000	0.00460456	0.00000000
1570.69000000	0.02479969	0.00000000
1572.09500000	0.03398871	0.00000000
1573.28500000	0.04657791	0.10000000
1577.80500000	0.01075503	0.00000000
1585.81000000	0.00562016	0.00000000
1590.17000000	0.42708984	1.00000000
1590.62000000	0.42296181	0.00000000
1590.96500000	0.06402806	0.00000000
1591.68500000	0.11640088	1.00000000
1592.80000000	0.03903569	0.00000000
1593.84000000	0.00463527	0.00000000
1594.96750000	0.04006008	0.10000000
1596.91500000	0.01002023	0.00000000
1599.34250000	0.01574862	0.00000000
1601.08000000	0.06358863	0.40000000
1601.96750000	0.01482357	0.00000000
1603.13500000	0.05321622	0.20000000
1605.69000000	0.00356128	0.00000000
1610.03500000	0.00209213	0.00000000
1616.55000000	0.00025762	0.00000000
1625.68750000	0.00019834	0.00000000
1634.32750000	0.00791985	0.00000000
1640.00500000	0.01064494	0.00000000
1644.38750000	0.02106269	0.10000000
1649.44250000	0.01566868	0.00000000
1655.47000000	0.01002074	0.00000000
1659.04750000	0.01322723	0.00000000
1660.63000000	0.02650373	0.00000000
1662.60250000	0.06794319	0.00000000
1664.24500000	0.07920926	0.00000000
1665.66500000	0.27393160	1.00000000
1668.59500000	0.08922340	0.00000000
1673.98250000	0.00214496	0.00000000
1679.92250000	0.00153197	0.00000000
1685.22000000	0.00453959	0.10000000
1688.88750000	0.00190761	0.00000000
1691.50750000	0.00489599	0.10000000
1694.47250000	0.00411522	0.00000000
1696.85500000	0.02518826	0.10000000
1701.76500000	0.00930525	0.00000000
1710.43500000	0.00226600	0.00000000
1715.97250000	0.31015010	1.00000000
1719.05750000	0.13417409	0.00000000
1724.94000000	0.00117232	0.00000000
1731.53000000	0.00022240	0.00000000
1736.92500000	0.00024558	0.00000000
1742.65250000	0.00096924	0.00000000
1747.97250000	0.05072612	0.50000000
1750.21250000	0.00998137	0.00000000
1751.55750000	0.08543990	1.00000000
1755.78000000	0.00093317	0.00000000
1764.36500000	0.00027503	0.00000000
1775.07750000	0.00090822	0.00000000
1781.78750000	0.03821077	0.00000000
1783.82750000	0.07905583	1.00000000
1785.86250000	0.01508563	0.00000000
1789.55750000	0.00176556	0.00000000
1793.07000000	0.00811352	0.10000000
1795.81000000	0.00654533	0.00000000
1798.28750000	0.03605318	0.20000000
1800.71500000	0.03294682	0.00000000
1803.89250000	0.00149485	0.00000000
1808.26500000	0.00247905	0.00000000
1812.94500000	0.00717543	0.00000000
