DEPTH d	VALUE d	COUNT d
1371.86250000	0.02808632	0.00000000
1382.29250000	0.00005306	0.00000000
1397.67750000	0.00076899	0.00000000
1406.73500000	0.03452007	0.00000000
1409.08750000	0.05680930	0.44444444
1416.31500000	0.00485689	0.00000000
1430.96250000	0.00062357	0.00000000
1440.93250000	0.03549536	0.00000000
1443.14500000	0.04914070	0.00000000
1443.93500000	0.10976971	0.00000000
1444.92750000	0.17365090	1.00000000
1459.76750000	0.00795475	0.00000000
1488.57000000	0.00720067	0.00000000
1504.41250000	0.06425112	0.11111111
1508.86500000	0.00285951	0.00000000
1514.25000000	0.00965203	0.00000000
1517.14250000	0.49871351	0.00000000
1517.93750000	1.00000000	1.00000000
1518.57250000	0.00507541	0.00000000
1519.45250000	0.04193181	0.11111111
1520.97750000	0.03314222	0.00000000
1523.03750000	0.04102021	0.22222222
1525.28750000	0.03666676	0.00000000
1528.12000000	0.01035418	0.00000000
1530.57000000	0.05889811	0.33333333
1536.97000000	0.01381631	0.00000000
1548.30000000	0.00600806	0.00000000
1554.92500000	0.00018190	0.00000000
1560.10000000	0.00773527	0.22222222
1572.79750000	0.00004985	0.00000000
1590.70500000	0.00005581	0.11111111
1612.15750000	0.00000418	0.00000000
1656.30500000	0.00006967	0.11111111
1724.82000000	0.00003373	0.00000000
1772.42250000	0.00207936	0.00000000
