DEPTH d	VALUE d	COUNT d
1374.22500000	26.35697856	0.00000000
1378.74000000	35.05414199	0.00000000
1401.98000000	37.34665319	0.00000000
1404.99500000	38.34915007	0.00000000
1408.01000000	39.00723958	1.00000000
1408.47500000	38.16800839	1.00000000
1409.70000000	39.44802785	1.00000000
1410.46000000	37.56139797	0.00000000
1435.40000000	33.19412396	0.00000000
1442.87000000	32.33109502	1.00000000
1443.15000000	32.61471541	0.00000000
1443.42000000	32.65416761	1.00000000
1443.69000000	32.00623584	0.00000000
1444.45000000	31.78632825	0.00000000
1445.40500000	31.70696372	0.00000000
1445.60000000	28.79788864	1.00000000
1502.66000000	45.03003441	0.00000000
1503.36000000	45.05711848	1.00000000
1505.81500000	41.62613890	0.00000000
1511.86500000	41.04541810	0.00000000
1515.56000000	40.27796451	0.00000000
1516.58500000	40.27272081	0.00000000
1517.70000000	39.62311588	0.00000000
1518.17500000	38.96751594	0.00000000
1518.56000000	38.44178439	1.00000000
1518.97000000	38.78401153	0.00000000
1519.38000000	39.23490391	0.00000000
1519.93500000	39.51530481	1.00000000
1520.49000000	39.32976367	0.00000000
1523.55000000	39.14502229	1.00000000
1524.56000000	39.24459501	1.00000000
1526.52000000	39.07000506	0.00000000
1528.48000000	38.87856216	1.00000000
1529.72000000	39.20953685	0.00000000
1530.96000000	39.46330923	0.00000000
1531.42000000	41.36817212	1.00000000
1531.88000000	37.42600531	1.00000000
1553.16000000	43.42122823	1.00000000
1555.00000000	37.69623600	0.00000000
1555.77000000	36.73427729	1.00000000
1564.43000000	39.75296651	0.00000000
1572.32000000	50.15843240	1.00000000
1590.01000000	47.17744304	0.00000000
1610.48000000	32.87186638	1.00000000
1637.66000000	42.65829429	0.00000000
1739.42000000	47.33702871	0.00000000
