DEPTH d	VALUE d	COUNT d
1371.86250000	0.02426356	0.00000000
1382.29250000	0.00000298	0.00000000
1397.67750000	0.00067123	0.00000000
1406.73500000	0.03771733	0.00000000
1409.08750000	0.06819584	0.44444444
1416.31500000	0.00456419	0.00000000
1430.96250000	0.00059668	0.00000000
1440.93250000	0.03203570	0.00000000
1443.14500000	0.05048807	0.00000000
1443.93500000	0.10337802	0.00000000
1444.92750000	0.16351878	1.00000000
1459.76750000	0.00738206	0.00000000
1488.57000000	0.00845806	0.00000000
1504.41250000	0.07537770	0.22222222
1508.86500000	0.00384994	0.00000000
1514.25000000	0.01018482	0.00000000
1517.14250000	0.49588676	0.00000000
1517.93750000	1.00000000	1.00000000
1518.57250000	0.01188281	0.00000000
1519.45250000	0.04525964	0.11111111
1520.97750000	0.03408348	0.00000000
1523.03750000	0.04362126	0.22222222
1525.28750000	0.03863915	0.00000000
1528.12000000	0.01389413	0.00000000
1530.57000000	0.07057629	0.44444444
1536.97000000	0.01652028	0.00000000
1548.30000000	0.00689430	0.00000000
1554.92500000	0.00529872	0.00000000
1560.10000000	0.00790188	0.22222222
1572.79750000	0.00005055	0.00000000
1590.70500000	0.00009225	0.11111111
1612.15750000	0.00006340	0.00000000
1656.30500000	0.00008831	0.11111111
1724.82000000	0.00004411	0.00000000
1772.42250000	0.00192082	0.00000000
