DEPTH d	VALUE d	COUNT d
1376.22000000	48.24988258	0.00000000
1376.79000000	48.35119759	1.00000000
1379.91000000	47.50098067	0.00000000
1383.66500000	43.64774382	1.00000000
1384.30000000	47.45844871	1.00000000
1386.48000000	46.68831145	0.00000000
1391.02500000	44.27604909	0.00000000
1395.70000000	39.31361311	0.00000000
1399.74000000	38.19862844	1.00000000
1403.61000000	40.62460819	1.00000000
1403.82000000	39.05985630	0.00000000
1408.20000000	37.46350943	1.00000000
1410.98000000	40.69622716	0.00000000
1413.76000000	43.49223130	0.00000000
1415.33000000	47.53830965	0.00000000
1417.23000000	48.70560314	0.00000000
1417.61500000	49.44825627	1.00000000
1418.00000000	48.39478319	0.00000000
1421.90000000	46.52600603	1.00000000
1426.50000000	47.19948029	1.00000000
1428.47500000	46.36998414	0.00000000
1430.56000000	45.06969941	1.00000000
1431.71000000	47.35956655	1.00000000
1431.93000000	45.27210430	1.00000000
1432.20000000	47.01542739	1.00000000
1433.66500000	45.76330151	0.00000000
1434.13000000	44.25940797	1.00000000
1436.23000000	45.29923867	0.00000000
1441.15000000	45.87439636	0.00000000
1444.86500000	48.09068904	1.00000000
1445.24000000	47.66174193	1.00000000
1445.41000000	48.47823972	1.00000000
1447.44000000	48.25880064	1.00000000
1447.87500000	49.44833326	0.00000000
1448.35000000	50.26885381	1.00000000
1448.46500000	50.02948103	0.00000000
1448.64000000	48.79430611	1.00000000
1448.77000000	50.54428321	1.00000000
1449.47000000	50.29830298	1.00000000
1449.90000000	50.46680188	1.00000000
1459.61000000	43.27992533	1.00000000
1465.98500000	43.56936761	1.00000000
1469.52000000	42.73420790	0.00000000
1469.77000000	40.24021829	1.00000000
1471.06000000	41.25565533	0.00000000
1471.20000000	42.39101028	0.00000000
1471.34000000	45.52316744	1.00000000
1473.01000000	44.72201805	1.00000000
1474.91000000	44.72433757	0.00000000
1478.08000000	48.80225575	0.00000000
1485.06000000	52.78624012	0.00000000
1489.73500000	60.27098117	1.00000000
1490.37000000	56.30114499	0.00000000
1504.26000000	43.43780938	0.00000000
1508.53500000	39.27555846	1.00000000
1512.81000000	42.19520207	1.00000000
1514.00000000	39.47764912	0.00000000
1515.19000000	39.41276917	0.00000000
1515.75000000	37.57259529	0.00000000
1517.11000000	35.94575821	1.00000000
1519.00000000	37.26373797	0.00000000
1521.10000000	40.30316247	0.00000000
1521.31000000	41.41743097	1.00000000
1523.76000000	40.31400622	1.00000000
1526.21000000	42.25858281	0.00000000
1527.16500000	42.95703375	0.00000000
1528.12000000	44.91632144	0.00000000
1528.51000000	45.88027005	0.00000000
1538.20000000	51.04273283	0.00000000
1539.13000000	52.59408616	0.00000000
1540.21000000	54.58241276	1.00000000
1540.36000000	51.70148732	0.00000000
1545.07500000	47.44959921	0.00000000
1549.79000000	46.15664123	0.00000000
1565.41000000	44.02575345	1.00000000
1566.62000000	48.29896672	0.00000000
1567.83000000	49.54887930	1.00000000
1570.77500000	46.92470996	0.00000000
1573.72000000	42.30083700	0.00000000
1590.17000000	39.19508757	1.00000000
1591.20500000	39.94659333	0.00000000
1592.24000000	41.33359958	0.00000000
1595.00500000	45.73821998	0.00000000
1597.77000000	47.33809464	0.00000000
1598.42000000	49.48079884	0.00000000
1599.51500000	51.97299962	1.00000000
1600.50500000	51.59103969	1.00000000
1601.05000000	53.65326986	1.00000000
1601.25000000	52.94428532	0.00000000
1604.20000000	51.73089092	0.00000000
1606.95000000	49.64330559	0.00000000
1607.21500000	48.56672077	0.00000000
1607.48000000	47.64201996	1.00000000
1609.44000000	47.67399628	1.00000000
1611.40000000	45.39309810	0.00000000
1612.11000000	40.61727524	0.00000000
1613.44000000	37.39471213	0.00000000
1613.98500000	37.27022971	0.00000000
1614.53000000	34.00174082	1.00000000
1630.29500000	43.49088433	0.00000000
1632.09000000	45.92088934	0.00000000
1632.31000000	48.42334005	1.00000000
1632.53000000	47.82988189	1.00000000
1636.82000000	51.70807108	0.00000000
1652.43000000	59.91890682	0.00000000
1652.74500000	61.92352802	0.00000000
1653.06000000	67.35301357	1.00000000
1660.31500000	65.21516061	0.00000000
1667.57000000	62.76005543	0.00000000
1704.44000000	55.08738465	0.00000000
1713.73000000	30.95915900	1.00000000
1726.78000000	45.38689387	0.00000000
1728.40500000	49.88884238	0.00000000
1730.03000000	59.26327868	0.00000000
1738.64000000	61.76456599	1.00000000
1738.97500000	58.83998059	0.00000000
1739.31000000	58.49014620	1.00000000
1741.28000000	59.15758210	0.00000000
1743.25000000	59.74353270	1.00000000
1758.01000000	56.71217735	1.00000000
1761.08000000	58.54688871	0.00000000
1763.49000000	59.97608143	0.00000000
1764.39000000	60.47247049	1.00000000
1764.55500000	57.79671071	0.00000000
1764.89000000	56.80831783	0.00000000
1766.38500000	56.75130901	1.00000000
1767.71000000	56.79880097	0.00000000
1769.44000000	58.08133488	1.00000000
1771.17000000	57.30424479	1.00000000
1771.39000000	57.40693975	1.00000000
1771.72500000	52.80869276	0.00000000
1777.73000000	50.86770183	1.00000000
1780.50000000	51.92109173	0.00000000
