DEPTH d	VALUE d	COUNT d
1370.62500000	0.03517864	0.00000000
1373.56000000	0.05810883	0.10000000
1377.08000000	0.00031140	0.00000000
1381.63000000	0.00210406	0.00000000
1384.52500000	0.08497963	0.00000000
1385.47750000	0.09582614	0.00000000
1385.84250000	0.20407354	1.00000000
1386.11500000	0.05297866	0.00000000
1386.48000000	0.00504750	0.00000000
1387.69500000	0.07364336	0.20000000
1391.50500000	0.01141397	0.00000000
1396.57000000	0.02113980	0.00000000
1400.28250000	0.03502865	0.00000000
1403.14000000	0.11712529	0.00000000
1404.76250000	0.49181073	1.00000000
1405.18750000	0.38636189	0.00000000
1406.10750000	0.13990171	0.00000000
1409.11750000	0.00290596	0.00000000
1413.04500000	0.00906340	0.00000000
1414.80500000	0.12681683	1.00000000
1418.82250000	0.00121962	0.00000000
1426.75000000	0.00256436	0.10000000
1432.10750000	0.00190690	0.00000000
1435.72250000	0.00384229	0.00000000
1440.52500000	0.00550491	0.00000000
1444.93750000	0.00794868	0.10000000
1449.29750000	0.00171168	0.00000000
1455.47500000	0.00330610	0.00000000
1461.26000000	0.01291133	0.10000000
1463.93750000	0.00373981	0.00000000
1464.74750000	0.05923611	0.00000000
1465.12750000	0.62654525	1.00000000
1465.48500000	0.28023537	0.00000000
1468.30750000	0.07540736	0.00000000
1474.43500000	0.00025231	0.00000000
1482.24250000	0.00190453	0.00000000
1490.25750000	0.00408281	0.00000000
1496.70500000	0.00736747	0.00000000
1502.50500000	0.00866400	0.10000000
1506.48500000	0.00641298	0.00000000
1509.69500000	0.00878849	0.20000000
1515.55250000	0.00047178	0.00000000
1521.15500000	0.00930688	0.10000000
1532.06500000	0.00277461	0.00000000
1550.98250000	0.00118842	0.00000000
1562.78250000	0.00238993	0.00000000
1564.91750000	0.13999052	0.00000000
1565.63000000	0.17996901	1.00000000
1567.65750000	0.00100459	0.00000000
1575.46000000	0.00059423	0.00000000
1586.75750000	0.00478153	0.00000000
1592.87000000	0.04508182	0.00000000
1594.36000000	0.10810111	1.00000000
1595.61500000	0.03801946	0.00000000
1597.75500000	0.02285228	0.00000000
1601.59500000	0.00043474	0.00000000
1606.11250000	0.00347609	0.00000000
1609.49750000	0.01383589	0.10000000
1611.36500000	0.00511791	0.00000000
1613.43250000	0.01338548	0.20000000
1618.73500000	0.00103501	0.00000000
1625.61000000	0.00512088	0.00000000
1630.61500000	0.00630645	0.00000000
1634.35500000	0.02074434	0.10000000
1641.66250000	0.00724326	0.00000000
1653.97500000	0.00220335	0.00000000
1662.47750000	0.00849780	0.00000000
1664.58500000	0.01836548	0.00000000
1665.11000000	0.84739917	1.00000000
1672.66250000	0.02220159	0.00000000
1692.94250000	0.00003756	0.00000000
1711.44750000	0.01654426	0.00000000
1721.48250000	0.02050084	0.10000000
1730.68250000	0.00141371	0.00000000
1736.10500000	0.01398068	0.10000000
1738.32000000	0.01008673	0.00000000
1745.25250000	0.00047327	0.00000000
1755.79500000	0.00148648	0.00000000
1762.32250000	0.32875242	1.00000000
1765.38250000	0.24915412	0.00000000
1770.61750000	0.00397857	0.00000000
1776.04000000	0.15036119	0.00000000
1779.03250000	0.25178252	1.00000000
1781.24750000	0.00268994	0.00000000
1782.60750000	0.45785080	0.00000000
1782.98250000	1.00000000	1.00000000
1786.02000000	0.09195523	0.00000000
1796.72500000	0.00036575	0.00000000
