DEPTH d	VALUE d	COUNT d
1368.71750000	0.02128080	0.00000000
1370.49500000	0.32116430	1.00000000
1371.09000000	0.12478378	0.00000000
1372.14000000	0.04482846	0.00000000
1373.02000000	0.12058368	0.00000000
1373.55250000	0.12515962	1.00000000
1374.22250000	0.06625599	0.00000000
1375.13250000	0.06953142	0.90000000
1377.48750000	0.02866510	0.00000000
1381.38500000	0.01330810	0.00000000
1383.80000000	0.06010699	1.00000000
1384.45750000	0.00980960	0.00000000
1384.92000000	0.05188134	0.60000000
1385.28500000	0.05186437	0.00000000
1385.63500000	0.01263334	0.00000000
1386.15750000	0.02079809	0.00000000
1386.78250000	0.05685353	0.00000000
1387.27250000	0.17723408	1.00000000
1387.76750000	0.16492065	0.00000000
1389.64750000	0.00340236	0.00000000
1392.74750000	0.00685074	0.00000000
1394.49500000	0.02349395	0.10000000
1395.65750000	0.00481720	0.00000000
1397.61750000	0.03128409	0.10000000
1399.78750000	0.02041047	0.00000000
1401.95000000	0.00304410	0.00000000
1403.60000000	0.01203960	0.20000000
1407.57250000	0.00421750	0.00000000
1413.97500000	0.00713501	0.10000000
1417.84000000	0.00694492	0.00000000
1421.38500000	0.00589339	0.00000000
1426.60000000	0.00092415	0.00000000
1429.66750000	0.04288629	0.50000000
1431.52500000	0.02152724	0.00000000
1436.62750000	0.00047279	0.00000000
1443.39500000	0.00260990	0.00000000
1446.45750000	0.05063347	0.00000000
1446.73250000	0.05491064	0.60000000
1447.06500000	0.00248464	0.00000000
1447.84500000	0.01187212	0.10000000
1449.64250000	0.00924044	0.00000000
1452.36750000	0.00779289	0.00000000
1454.75250000	0.01387805	0.10000000
1456.84750000	0.00598163	0.00000000
1459.28500000	0.01005692	0.00000000
1460.81250000	0.04652893	0.00000000
1461.43750000	0.06358827	0.00000000
1461.86250000	0.71431316	1.00000000
1464.14500000	0.04906723	0.00000000
1469.39250000	0.00014444	0.00000000
1476.25750000	0.00014485	0.00000000
1482.89250000	0.00431528	0.00000000
1486.16000000	0.02449320	0.10000000
1487.03000000	0.01202350	0.00000000
1487.75000000	0.00948919	0.00000000
1488.63500000	0.00575056	0.00000000
1489.78750000	0.22663112	1.00000000
1496.87000000	0.01848044	0.00000000
1509.92750000	0.00453154	0.00000000
1516.51750000	1.00000000	1.00000000
1521.69750000	0.02211336	0.00000000
1534.47750000	0.00032635	0.00000000
1552.52750000	0.00030272	0.00000000
1571.25500000	0.00160306	0.00000000
1585.19750000	0.00206958	0.10000000
1599.24000000	0.00020281	0.00000000
1623.02000000	0.00002994	0.00000000
1650.37500000	0.00025619	0.00000000
1663.31500000	0.00279812	0.00000000
1665.01250000	0.00797075	0.30000000
1666.06500000	0.00690787	0.00000000
1667.79000000	0.00349945	0.00000000
1673.76500000	0.00044712	0.00000000
1688.10000000	0.00025796	0.00000000
1706.16250000	0.00064364	0.00000000
1717.40750000	0.00160374	0.00000000
1722.24000000	0.01071192	0.00000000
1724.86000000	0.02247854	0.30000000
1728.80250000	0.00062879	0.00000000
1736.83750000	0.00001969	0.00000000
1744.18750000	0.00082429	0.00000000
1747.06750000	0.02438846	0.20000000
1749.09000000	0.00751480	0.00000000
1758.70750000	0.00009388	0.00000000
1773.78750000	0.00187431	0.10000000
1790.74500000	0.00146220	0.00000000
