DEPTH d	VALUE d	COUNT d
1373.32000000	6.44672558	0.00000000
1373.53000000	6.54631383	1.00000000
1374.04000000	6.05041567	0.00000000
1374.04000000	6.05041567	0.00000000
1375.60500000	6.01213392	0.00000000
1375.60500000	6.01213392	0.90000000
1375.93000000	6.14506462	0.00000000
1376.30000000	6.18881894	0.90000000
1376.30000000	6.18881894	0.00000000
1379.74000000	6.16186207	1.00000000
1384.90000000	6.36583352	0.00000000
1386.99000000	6.49951220	0.00000000
1387.07500000	6.70829881	1.00000000
1387.29000000	6.30434517	0.00000000
1387.29000000	6.30434517	0.00000000
1387.42000000	6.18620544	0.00000000
1388.29000000	6.00021824	0.00000000
1388.29000000	6.00021824	0.00000000
1388.29000000	6.00021824	0.90000000
1389.16000000	6.14667489	0.90000000
1389.16000000	6.14667489	0.00000000
1393.65500000	6.13150299	0.00000000
1393.65500000	6.13150299	0.00000000
1393.65500000	6.13150299	0.90000000
1399.14000000	6.33182190	0.90000000
1399.14000000	6.33182190	0.00000000
1401.86000000	5.77262029	0.00000000
1401.86000000	5.77262029	0.00000000
1401.86000000	5.77262029	0.00000000
1401.86000000	5.77262029	0.90000000
1404.58000000	7.28782154	0.00000000
1408.90500000	7.65712363	1.00000000
1413.23000000	7.42878613	0.00000000
1413.23000000	7.42878613	0.00000000
1414.56000000	7.18753596	1.00000000
1415.71000000	7.53603594	0.00000000
1416.29500000	7.85322148	0.90000000
1416.29500000	7.85322148	0.00000000
1416.29500000	7.85322148	0.90000000
1417.18000000	8.25824891	0.90000000
1417.18000000	8.25824891	0.90000000
1417.48000000	8.53162156	0.90000000
1417.48000000	8.53162156	0.00000000
1417.88000000	8.07191057	0.00000000
1417.88000000	8.07191057	0.00000000
1417.88000000	8.07191057	0.00000000
1417.88000000	8.07191057	0.00000000
1417.88000000	8.07191057	0.00000000
1417.88000000	8.07191057	0.00000000
1417.88000000	8.07191057	0.00000000
1422.10500000	7.88785766	0.00000000
1426.20000000	7.53535504	1.00000000
1426.36500000	7.63535597	0.90000000
1426.36500000	7.63535597	0.90000000
1429.78000000	7.87526573	1.00000000
1433.03000000	7.78818688	1.00000000
1433.67000000	8.01153051	0.00000000
1433.79500000	8.26139792	0.90000000
1433.79500000	8.26139792	0.00000000
1434.34500000	7.93376112	0.00000000
1434.34500000	7.93376112	0.00000000
1434.34500000	7.93376112	0.00000000
1434.34500000	7.93376112	0.90000000
1436.90000000	8.40917017	0.90000000
1436.90000000	8.40917017	0.00000000
1436.90000000	8.40917017	0.00000000
1436.90000000	8.40917017	0.00000000
1436.90000000	8.40917017	0.00000000
1436.90000000	8.40917017	0.00000000
1436.90000000	8.40917017	0.00000000
1439.13500000	8.27683008	1.00000000
1439.78000000	9.58352308	1.00000000
1440.32000000	8.60260559	1.00000000
1448.03500000	8.78997499	0.90000000
1448.03500000	8.78997499	0.00000000
1448.03500000	8.78997499	0.90000000
1456.21500000	8.88824054	1.00000000
1460.40000000	6.19317766	1.00000000
1460.59000000	6.44312572	0.90000000
1460.59000000	6.44312572	0.00000000
1460.59000000	6.44312572	0.90000000
1460.95000000	7.01021158	0.90000000
1460.95000000	7.01021158	0.00000000
1460.95000000	7.01021158	0.00000000
1460.95000000	7.01021158	0.00000000
1460.95000000	7.01021158	0.00000000
1460.95000000	7.01021158	0.00000000
1460.95000000	7.01021158	0.90000000
1461.31000000	7.06681561	0.90000000
1461.31000000	7.06681561	0.00000000
1461.31000000	7.06681561	0.00000000
1461.56500000	6.72095650	1.00000000
1463.12500000	7.28590075	0.00000000
1471.58000000	7.73105208	0.00000000
1473.02500000	7.93649258	0.00000000
1474.98000000	8.33464585	0.00000000
1475.49000000	8.54511029	0.00000000
1476.71000000	9.39603352	0.00000000
1477.89000000	9.43676368	0.00000000
1478.13000000	9.56010051	1.00000000
1478.63000000	9.39765674	0.00000000
1478.89000000	9.31469413	0.00000000
1478.89000000	9.31469413	0.00000000
1479.43500000	9.18479462	0.00000000
1479.43500000	9.18479462	0.00000000
1479.43500000	9.18479462	0.00000000
1479.43500000	9.18479462	0.00000000
1479.43500000	9.18479462	0.90000000
1479.98000000	9.26596858	0.90000000
1479.98000000	9.26596858	0.00000000
1479.98000000	9.26596858	0.90000000
1480.14000000	9.61405685	1.00000000
1480.30000000	9.52233614	1.00000000
1481.30500000	9.55530049	1.00000000
1481.66000000	9.52411365	0.00000000
1482.67000000	9.33223489	0.00000000
1483.49000000	8.90957734	0.00000000
1483.73000000	8.60296021	1.00000000
1486.51000000	8.88701393	1.00000000
1491.49500000	8.39677626	1.00000000
1497.99500000	8.57235760	1.00000000
1499.51000000	8.42465078	0.00000000
1499.51000000	8.42465078	0.90000000
1501.97000000	8.81185562	0.90000000
1501.97000000	8.81185562	0.00000000
1501.97000000	8.81185562	0.00000000
1501.97000000	8.81185562	0.00000000
1501.97000000	8.81185562	0.00000000
1501.97000000	8.81185562	0.00000000
1501.97000000	8.81185562	0.00000000
1501.97000000	8.81185562	0.00000000
1501.97000000	8.81185562	0.00000000
1501.97000000	8.81185562	0.00000000
1504.43000000	7.60413649	0.00000000
1504.43000000	7.60413649	0.00000000
1504.43000000	7.60413649	1.00000000
1504.43000000	8.05000000	0.90000000
1504.43000000	8.05000000	0.00000000
1504.43000000	8.05000000	0.00000000
1504.43000000	8.05000000	0.00000000
1504.43000000	8.05000000	0.00000000
1529.86000000	6.37000000	0.00000000
1529.86000000	6.37000000	0.00000000
1529.86000000	6.37000000	0.00000000
1529.86000000	6.37000000	0.00000000
1529.86000000	6.37000000	0.00000000
1529.86000000	6.37000000	0.00000000
1529.86000000	6.37000000	0.00000000
1536.88000000	5.81443475	1.00000000
1537.94000000	7.81421530	0.00000000
1538.09500000	8.64790149	0.90000000
1538.09500000	8.64790149	0.00000000
