DEPTH d	VALUE d	COUNT d
1368.71750000	0.00944236	0.00000000
1370.49500000	0.31257043	1.00000000
1371.09000000	0.08295322	0.00000000
1372.14000000	0.03208846	0.00000000
1373.02000000	0.11247291	0.90000000
1373.55250000	0.01824408	0.00000000
1374.22250000	0.10376874	0.80000000
1375.13250000	0.05260601	0.00000000
1377.48750000	0.02664647	0.00000000
1381.38500000	0.00814405	0.00000000
1383.80000000	0.07789932	0.10000000
1384.45750000	0.03977268	0.00000000
1384.92000000	0.38588258	1.00000000
1385.28500000	0.37924815	0.00000000
1385.63500000	0.08084574	0.00000000
1386.15750000	0.14736070	0.00000000
1386.78250000	0.84908603	0.00000000
1387.27250000	1.00000000	1.00000000
1387.76750000	0.00596606	0.00000000
1389.64750000	0.04606364	0.10000000
1392.74750000	0.02994502	0.00000000
1394.49500000	0.09998087	0.40000000
1395.65750000	0.02258876	0.00000000
1397.61750000	0.01927770	0.00000000
1399.78750000	0.01576352	0.00000000
1401.95000000	0.03280593	0.00000000
1403.60000000	0.05001541	0.20000000
1407.57250000	0.00214335	0.00000000
1413.97500000	0.00321415	0.10000000
1417.84000000	0.00198284	0.00000000
1421.38500000	0.00267937	0.00000000
1426.60000000	0.00526004	0.10000000
1429.66750000	0.00182784	0.00000000
1431.52500000	0.00759251	0.10000000
1436.62750000	0.00066714	0.00000000
1443.39500000	0.01419724	0.00000000
1446.45750000	0.25186585	1.00000000
1446.73250000	0.25080761	0.00000000
1447.06500000	0.02144174	0.00000000
1447.84500000	0.06293968	0.10000000
1449.64250000	0.00303491	0.00000000
1452.36750000	0.00069770	0.00000000
1454.75250000	0.07396757	0.10000000
1456.84750000	0.05338838	0.00000000
1459.28500000	0.07763563	0.00000000
1460.81250000	0.25322942	0.00000000
1461.43750000	0.33352231	0.00000000
1461.86250000	0.47700915	1.00000000
1464.14500000	0.02882665	0.00000000
1469.39250000	0.00089715	0.00000000
1476.25750000	0.00072084	0.00000000
1482.89250000	0.02609002	0.00000000
1486.16000000	0.14786620	1.00000000
1487.03000000	0.06216696	0.00000000
1487.75000000	0.04501350	0.00000000
1488.63500000	0.03270927	0.00000000
1489.78750000	0.11515523	0.80000000
1496.87000000	0.01094028	0.00000000
1509.92750000	0.02096362	0.00000000
1516.51750000	0.98905478	1.00000000
1521.69750000	0.01083295	0.00000000
1534.47750000	0.00020930	0.00000000
1552.52750000	0.00012620	0.00000000
1571.25500000	0.00087263	0.00000000
1585.19750000	0.00125592	0.10000000
1599.24000000	0.00003405	0.00000000
1623.02000000	0.00004737	0.00000000
1650.37500000	0.00136643	0.00000000
1663.31500000	0.01167679	0.00000000
1665.01250000	0.03701731	0.30000000
1666.06500000	0.02645235	0.00000000
1667.79000000	0.01733908	0.00000000
1673.76500000	0.00043512	0.00000000
1688.10000000	0.00009473	0.00000000
1706.16250000	0.00028757	0.10000000
1717.40750000	0.00013368	0.00000000
1722.24000000	0.00453343	0.10000000
1724.86000000	0.00076129	0.00000000
1728.80250000	0.00336609	0.10000000
1736.83750000	0.00009364	0.00000000
1744.18750000	0.00357764	0.00000000
1747.06750000	0.13351912	1.00000000
1749.09000000	0.03992495	0.00000000
1758.70750000	0.00022892	0.00000000
1773.78750000	0.00106739	0.10000000
1790.74500000	0.00078821	0.00000000
