DEPTH d	VALUE d	COUNT d
1373.32000000	4.29131575	0.00000000
1373.53000000	4.19935168	1.00000000
1374.04000000	4.84705534	0.90000000
1374.04000000	4.84705534	0.00000000
1375.60500000	4.72357432	0.00000000
1375.60500000	4.72357432	0.00000000
1375.93000000	4.60549121	0.00000000
1376.30000000	4.57304296	0.00000000
1376.30000000	4.57304296	0.90000000
1379.74000000	4.61339588	1.00000000
1384.90000000	4.35747411	0.00000000
1386.99000000	4.25453203	0.00000000
1387.07500000	4.05496134	1.00000000
1387.29000000	4.54358721	0.90000000
1387.29000000	4.54358721	0.90000000
1387.42000000	4.57520221	0.00000000
1388.29000000	4.72241208	0.90000000
1388.29000000	4.72241208	0.00000000
1388.29000000	4.72241208	0.00000000
1389.16000000	4.57728105	0.00000000
1389.16000000	4.57728105	0.90000000
1393.65500000	4.59033797	0.90000000
1393.65500000	4.59033797	0.00000000
1393.65500000	4.59033797	0.90000000
1399.14000000	4.83279530	0.90000000
1399.14000000	4.83279530	0.90000000
1401.86000000	5.31756261	0.90000000
1401.86000000	5.31756261	0.00000000
1401.86000000	5.31756261	0.00000000
1401.86000000	5.31756261	0.00000000
1404.58000000	4.43601893	0.00000000
1408.90500000	3.93057506	0.00000000
1413.23000000	3.92115079	0.00000000
1413.23000000	3.92115079	0.90000000
1414.56000000	3.93098966	1.00000000
1415.71000000	3.64655771	0.00000000
1416.29500000	3.28564477	0.00000000
1416.29500000	3.28564477	0.00000000
1416.29500000	3.28564477	0.00000000
1417.18000000	2.78807315	0.00000000
1417.18000000	2.78807315	0.00000000
1417.48000000	2.57559857	0.00000000
1417.48000000	2.57559857	0.90000000
1417.88000000	2.88713408	0.90000000
1417.88000000	2.88713408	0.00000000
1417.88000000	2.88713408	0.00000000
1417.88000000	2.88713408	0.00000000
1417.88000000	2.88713408	0.00000000
1417.88000000	2.88713408	0.00000000
1417.88000000	2.88713408	0.00000000
1422.10500000	2.85916992	1.00000000
1426.20000000	3.24097936	1.00000000
1426.36500000	3.14690765	0.00000000
1426.36500000	3.14690765	0.00000000
1429.78000000	2.92048342	1.00000000
1433.03000000	2.96825131	1.00000000
1433.67000000	2.71824482	0.00000000
1433.79500000	2.46106493	0.00000000
1433.79500000	2.46106493	0.90000000
1434.34500000	2.78818901	0.90000000
1434.34500000	2.78818901	0.00000000
1434.34500000	2.78818901	0.00000000
1434.34500000	2.78818901	0.00000000
1436.90000000	2.31395094	0.00000000
1436.90000000	2.31395094	0.00000000
1436.90000000	2.31395094	0.00000000
1436.90000000	2.31395094	0.00000000
1436.90000000	2.31395094	0.00000000
1436.90000000	2.31395094	0.00000000
1436.90000000	2.31395094	0.90000000
1439.13500000	2.45538132	1.00000000
1439.78000000	1.44953039	1.00000000
1440.32000000	3.08013872	0.00000000
1448.03500000	3.30693743	0.90000000
1448.03500000	3.30693743	0.00000000
1448.03500000	3.30693743	0.90000000
1456.21500000	4.42439145	0.00000000
1460.40000000	5.92893213	1.00000000
1460.59000000	4.93495687	0.00000000
1460.59000000	4.93495687	0.00000000
1460.59000000	4.93495687	0.00000000
1460.95000000	4.21812382	0.00000000
1460.95000000	4.21812382	0.00000000
1460.95000000	4.21812382	0.00000000
1460.95000000	4.21812382	0.00000000
1460.95000000	4.21812382	0.00000000
1460.95000000	4.21812382	0.00000000
1460.95000000	4.21812382	0.00000000
1461.31000000	3.98514684	0.00000000
1461.31000000	3.98514684	0.00000000
1461.31000000	3.98514684	0.90000000
1461.56500000	4.25047210	1.00000000
1463.12500000	3.45294999	0.00000000
1471.58000000	3.02017558	0.00000000
1473.02500000	2.81139601	0.00000000
1474.98000000	2.42078373	0.00000000
1475.49000000	2.20838981	0.00000000
1476.71000000	1.48060311	1.00000000
1477.89000000	1.53519726	1.00000000
1478.13000000	1.50673052	1.00000000
1478.63000000	1.74276346	0.00000000
1478.89000000	1.85341568	0.90000000
1478.89000000	1.85341568	0.90000000
1479.43500000	1.88083784	0.90000000
1479.43500000	1.88083784	0.00000000
1479.43500000	1.88083784	0.00000000
1479.43500000	1.88083784	0.00000000
1479.43500000	1.88083784	0.00000000
1479.98000000	1.81280599	0.00000000
1479.98000000	1.81280599	0.00000000
1479.98000000	1.81280599	0.00000000
1480.14000000	1.57902109	1.00000000
1480.30000000	1.58830012	0.00000000
1481.30500000	1.61902580	0.00000000
1481.66000000	1.70591070	0.00000000
1482.67000000	1.94932269	0.00000000
1483.49000000	2.23816692	0.00000000
1483.73000000	2.52229250	1.00000000
1486.51000000	2.28288383	1.00000000
1491.49500000	2.57097487	1.00000000
1497.99500000	2.15507079	1.00000000
1499.51000000	2.30433898	0.90000000
1499.51000000	2.30433898	0.00000000
1501.97000000	1.91284202	0.00000000
1501.97000000	1.91284202	0.00000000
1501.97000000	1.91284202	0.00000000
1501.97000000	1.91284202	0.00000000
1501.97000000	1.91284202	0.00000000
1501.97000000	1.91284202	0.00000000
1501.97000000	1.91284202	0.00000000
1501.97000000	1.91284202	0.00000000
1501.97000000	1.91284202	0.00000000
1501.97000000	1.91284202	0.90000000
1504.43000000	3.29288499	1.00000000
1504.43000000	3.29288499	0.00000000
1504.43000000	3.29288499	0.00000000
1504.43000000	2.93807604	0.00000000
1504.43000000	2.93807604	0.00000000
1504.43000000	2.93807604	0.00000000
1504.43000000	2.93807604	0.00000000
1504.43000000	2.93807604	0.90000000
1529.86000000	4.70767784	0.90000000
1529.86000000	4.70767784	0.00000000
1529.86000000	4.70767784	0.00000000
1529.86000000	4.70767784	0.00000000
1529.86000000	4.70767784	0.00000000
1529.86000000	4.70767784	0.00000000
1529.86000000	4.70767784	0.90000000
1536.88000000	4.91285677	1.00000000
1537.94000000	3.70470382	0.00000000
1538.09500000	3.41176794	0.00000000
1538.09500000	3.41176794	0.00000000
1538.09500000	3.41176794	0.00000000
1538.09500000	3.41176794	0.00000000
1538.09500000	3.41176794	0.00000000
1538.09500000	3.41176794	0.00000000
1538.09500000	3.41176794	0.00000000
1538.09500000	3.41176794	0.90000000
1538.25000000	3.73298867	0.90000000
1538.25000000	3.73298867	0.00000000
1538.25000000	3.73298867	0.90000000
1538.86500000	3.97660931	0.90000000
1538.86500000	3.97660931	0.00000000
1538.86500000	3.97660931	0.00000000
1538.86500000	3.97660931	0.00000000
1538.86500000	3.97660931	0.00000000
1539.48000000	3.71010290	0.00000000
1539.48000000	3.71010290	0.00000000
1547.44000000	2.85002998	0.00000000
1556.28500000	2.44612245	1.00000000
1557.34000000	3.30463724	0.90000000
1557.34000000	3.30463724	0.00000000
1557.34000000	3.30463724	0.00000000
1557.63000000	2.63392773	0.00000000
1557.63000000	2.63392773	0.00000000
1557.92000000	2.26568695	0.00000000
1557.92000000	2.26568695	0.00000000
1557.92000000	2.26568695	0.00000000
1560.09500000	1.79047736	0.00000000
1562.27000000	1.29565135	0.00000000
1562.27000000	1.29565135	0.90000000
1563.20500000	1.33605610	0.90000000
1563.20500000	1.33605610	0.00000000
1563.20500000	1.33605610	0.00000000
1563.20500000	1.33605610	0.00000000
1563.20500000	1.33605610	0.00000000
1566.24000000	0.69866525	0.00000000
1566.24000000	0.69866525	0.00000000
1568.34000000	0.61504872	1.00000000
1569.95000000	1.31741888	0.90000000
1569.95000000	1.31741888	0.00000000
1569.95000000	1.31741888	0.90000000
1572.84000000	2.15112655	0.00000000
1575.73000000	2.61512425	0.90000000
1575.73000000	2.61512425	0.90000000
1577.04000000	3.19375972	0.90000000
1577.04000000	3.19375972	0.00000000
1577.04000000	3.19375972	0.00000000
1577.04000000	3.19375972	0.90000000
1578.35000000	3.60853695	1.00000000
1579.61500000	3.41876752	0.00000000
1585.01500000	3.19847494	0.00000000
1585.01500000	3.19847494	0.00000000
1589.15000000	2.79862985	0.00000000
1589.15000000	2.79862985	0.00000000
1589.15000000	2.79862985	0.00000000
1590.13000000	2.72211990	0.00000000
1590.13000000	2.72211990	0.00000000
1590.13000000	2.72211990	0.00000000
1591.15000000	2.25359697	0.00000000
1591.15000000	2.25359697	0.00000000
1591.15000000	2.25359697	0.00000000
1592.17000000	1.19801997	0.00000000
1592.17000000	1.19801997	0.00000000
1592.17000000	1.19801997	0.00000000
