DEPTH d	VALUE d	COUNT d
1368.71000000	0.00387518	0.00000000
1371.78000000	0.00628006	0.00000000
1376.31750000	0.02586092	0.10000000
1384.34000000	0.01012956	0.00000000
1395.82500000	0.03770748	0.00000000
1401.67250000	1.00000000	1.00000000
1403.39750000	0.05444242	0.00000000
1406.73500000	0.00943701	0.00000000
1409.08750000	0.01706285	0.10000000
1413.63000000	0.00187106	0.00000000
1421.27500000	0.00917593	0.00000000
1427.67500000	0.01173287	0.10000000
1433.00750000	0.00664727	0.00000000
1435.87500000	0.21922749	1.00000000
1437.36750000	0.05010575	0.00000000
1440.21750000	0.00981089	0.00000000
1442.33250000	0.00670400	0.00000000
1443.14500000	0.01263230	0.00000000
1443.93500000	0.02586555	0.00000000
1444.92750000	0.04091299	0.30000000
1457.43500000	0.00220260	0.00000000
1483.73000000	0.00017781	0.00000000
1500.50250000	0.01116309	0.00000000
1504.41250000	0.01885977	0.10000000
1508.86500000	0.00096327	0.00000000
1514.15000000	0.00345150	0.00000000
1516.89750000	0.10399575	1.00000000
1517.55500000	0.09730222	0.00000000
1517.93750000	0.25020362	1.00000000
1518.57250000	0.00297312	0.00000000
1519.45250000	0.01132413	0.10000000
1520.97750000	0.00852781	0.00000000
1523.03750000	0.01091420	0.00000000
1525.01250000	0.01120558	0.00000000
1526.95000000	0.02467286	0.10000000
1528.35250000	0.01835437	0.00000000
1529.23750000	0.03307706	0.00000000
1530.17250000	0.06294573	1.00000000
1530.96250000	0.05247745	0.00000000
1531.51000000	0.22113642	1.00000000
1535.97000000	0.01984516	0.00000000
1545.45750000	0.00090851	0.00000000
1551.87500000	0.08336748	0.00000000
1553.55750000	0.17550192	1.00000000
1554.81000000	0.00402110	0.00000000
1555.92500000	0.12195092	1.00000000
1559.09000000	0.02126109	0.00000000
1565.72750000	0.00108512	0.00000000
1570.86500000	0.06017712	1.00000000
1576.48250000	0.01884620	0.00000000
1585.24250000	0.00808701	0.00000000
1589.93250000	0.00910771	0.10000000
1595.05500000	0.00667913	0.00000000
1604.93250000	0.00375520	0.00000000
1617.01250000	0.00280946	0.00000000
1637.28250000	0.00002879	0.00000000
1670.31750000	0.00000228	0.00000000
1709.16250000	0.00002515	0.00000000
1736.50250000	0.00013100	0.10000000
1755.66000000	0.00010770	0.00000000
1775.12250000	0.00058735	0.00000000
