DEPTH d	VALUE d	COUNT d
1373.79500000	0.01256646	0.00000000
1380.71000000	0.01642023	0.00000000
1384.45750000	0.03364562	0.00000000
1384.92000000	0.45193551	1.00000000
1385.28500000	0.44137569	0.00000000
1385.63500000	0.08925679	0.00000000
1386.35500000	0.13377761	0.90000000
1387.47500000	0.13091503	0.00000000
1389.64750000	0.05801926	0.00000000
1392.74750000	0.02741475	0.00000000
1394.49500000	0.08906426	0.80000000
1396.80000000	0.01109599	0.00000000
1400.92250000	0.02053459	0.00000000
1403.60000000	0.05524449	0.30000000
1407.57250000	0.00228394	0.00000000
1414.55750000	0.00001238	0.00000000
1421.16250000	0.00036339	0.00000000
1426.60000000	0.00562304	0.10000000
1429.66750000	0.00487855	0.00000000
1434.37250000	0.00300344	0.00000000
1442.40500000	0.00934716	0.00000000
1446.45750000	0.24750285	1.00000000
1446.73250000	0.23223868	0.00000000
1447.06500000	0.04435045	0.00000000
1447.84500000	0.06424332	0.50000000
1449.64250000	0.00355241	0.00000000
1452.36750000	0.00130195	0.00000000
1456.23250000	0.00120660	0.00000000
1460.24250000	0.02170585	0.20000000
1464.10750000	0.01686941	0.00000000
1472.17750000	0.00010203	0.00000000
1481.89500000	0.02129295	0.00000000
1486.16000000	0.16085613	1.00000000
1487.03000000	0.06229697	0.00000000
1487.75000000	0.04274371	0.00000000
1488.63500000	0.03456213	0.00000000
1489.78750000	0.12339959	0.90000000
1496.87000000	0.01174382	0.00000000
1509.92750000	0.01874352	0.00000000
1516.51750000	1.00000000	1.00000000
1537.64750000	0.00191695	0.00000000
1595.00750000	0.00000728	0.00000000
1646.86500000	0.00094938	0.00000000
1663.31500000	0.00966440	0.00000000
1665.01250000	0.03361624	0.20000000
1670.57500000	0.00672336	0.00000000
1695.32500000	0.00003164	0.00000000
1731.04500000	0.00049958	0.00000000
