DEPTH d	VALUE d	COUNT d
1364.93000000	0.15999718	0.00000000
1365.61750000	0.10130965	0.00000000
1367.89250000	0.00917350	0.00000000
1372.20500000	0.00227863	0.00000000
1378.36500000	0.00170511	0.00000000
1385.16750000	0.00433274	0.10000000
1391.70750000	0.00383783	0.00000000
1398.98000000	0.00014520	0.00000000
1405.87000000	0.00054180	0.00000000
1411.40000000	0.00444547	0.00000000
1414.51500000	0.01295136	0.00000000
1415.71500000	0.01737311	0.10000000
1416.83750000	0.00866784	0.00000000
1418.67250000	0.01726769	0.00000000
1421.03500000	0.21619013	0.00000000
1423.14250000	0.22351319	1.00000000
1425.27250000	0.10312977	0.00000000
1428.07250000	0.06595339	0.00000000
1431.56500000	0.02146558	0.00000000
1433.57250000	0.33091700	1.00000000
1434.56250000	0.13881826	0.00000000
1436.23000000	0.01094252	0.00000000
1437.45750000	0.05318795	0.10000000
1438.09250000	0.03780665	0.00000000
1438.64500000	0.19688081	0.00000000
1439.01250000	0.50092450	1.00000000
1439.45750000	0.34434347	0.00000000
1440.33250000	0.00969064	0.00000000
1441.84750000	0.01584339	0.10000000
1446.61750000	0.00116330	0.00000000
1453.67000000	0.01694354	0.00000000
1458.07250000	0.04529858	0.10000000
1460.77500000	0.00635713	0.00000000
1462.91500000	0.04595778	0.00000000
1463.78500000	0.06674278	0.10000000
1466.03250000	0.00971453	0.00000000
1470.77000000	0.00180960	0.00000000
1474.66250000	0.02702230	0.10000000
1476.09500000	0.00410094	0.00000000
1476.64750000	0.13685167	1.00000000
1477.19000000	0.13507535	0.00000000
1477.80750000	0.06045195	0.00000000
1478.38000000	0.01969416	0.00000000
1479.03250000	0.06314486	0.00000000
1479.78750000	0.15387357	1.00000000
1480.38250000	0.14128351	0.00000000
1480.96500000	0.03859315	0.00000000
1481.73500000	0.05817868	0.10000000
1482.62250000	0.00336567	0.00000000
1483.34500000	0.39445078	1.00000000
1484.36500000	0.16024137	0.00000000
1488.30750000	0.00228409	0.00000000
1494.11750000	0.01485424	0.00000000
1497.49750000	0.04739422	0.00000000
1499.01000000	0.08435586	0.60000000
1499.97000000	0.05106421	0.00000000
1500.32250000	0.05174425	0.00000000
1500.62750000	0.06996059	0.10000000
1501.05750000	0.05912042	0.00000000
1502.06000000	0.02293204	0.00000000
1503.47250000	0.02676222	0.00000000
1504.34750000	0.61355491	1.00000000
1504.82750000	0.43151011	0.00000000
1505.44500000	0.06781849	0.00000000
1506.07000000	0.07582383	0.50000000
1506.68250000	0.05187810	0.00000000
1512.77500000	0.00632783	0.00000000
1526.22500000	0.00057943	0.00000000
1535.99750000	0.03526423	0.00000000
1538.48000000	0.14935827	1.00000000
1539.57500000	0.01173896	0.00000000
1540.85500000	0.01468586	0.10000000
1541.76250000	0.01029564	0.00000000
1542.36000000	0.07750218	0.50000000
1544.27750000	0.02583348	0.00000000
1548.70750000	0.00045654	0.00000000
1552.90750000	0.00883766	0.00000000
1554.67000000	0.04834315	0.00000000
1555.19250000	0.53627085	1.00000000
1555.52000000	0.49369147	0.00000000
1556.00500000	0.13822624	0.00000000
1556.73750000	0.04254037	0.00000000
1557.37750000	0.04955821	0.10000000
1558.70500000	0.03545263	0.00000000
1560.74500000	0.09957804	0.00000000
1561.86750000	0.41767389	1.00000000
1562.20000000	0.41163679	0.00000000
1562.65750000	0.30765131	0.00000000
1563.35500000	0.00385313	0.00000000
1565.00500000	0.01485395	0.00000000
1567.42250000	0.03389790	0.00000000
1569.00750000	0.06793611	0.10000000
1569.93250000	0.02072112	0.00000000
1571.33750000	0.02483458	0.10000000
1573.03250000	0.01614450	0.00000000
1574.40750000	0.01930551	0.10000000
1578.70500000	0.00209553	0.00000000
1586.04000000	0.00806413	0.00000000
1589.99750000	0.08870384	0.80000000
1590.55500000	0.07850344	0.00000000
1590.96500000	0.02930853	0.00000000
1591.48500000	0.04124609	0.10000000
1592.18250000	0.01142875	0.00000000
1592.98750000	0.01917547	0.10000000
1593.84000000	0.00212177	0.00000000
1594.73750000	0.00578417	0.00000000
1595.67500000	0.00863033	0.00000000
1597.16000000	0.01968231	0.10000000
1599.34250000	0.00720885	0.00000000
1601.08000000	0.02910738	0.10000000
1601.96750000	0.00678541	0.00000000
1602.80750000	0.02764049	0.00000000
1603.76000000	0.18516687	0.00000000
1604.52250000	0.21384750	1.00000000
1607.00750000	0.00999342	0.00000000
1611.24250000	0.01534753	0.10000000
1613.64750000	0.00896837	0.00000000
1614.49250000	0.03110853	0.00000000
1615.42000000	0.41009184	0.00000000
1615.92000000	1.00000000	1.00000000
1616.16250000	0.25746727	0.00000000
1616.68000000	0.08110460	0.00000000
1617.48500000	0.03624611	0.00000000
1618.35000000	0.01823253	0.00000000
1619.25250000	0.01164944	0.00000000
1620.19750000	0.02306862	0.10000000
1621.13000000	0.00009813	0.00000000
1621.96250000	0.04656151	0.00000000
1622.72750000	0.06082966	0.10000000
1623.71000000	0.01215593	0.00000000
1624.86250000	0.00408249	0.00000000
1625.89500000	0.01362511	0.00000000
1626.77500000	0.02033350	0.10000000
1627.58250000	0.01371697	0.00000000
1628.30750000	0.11080287	1.00000000
1628.99000000	0.10167874	0.00000000
1629.84750000	0.02042783	0.00000000
1630.82500000	0.02018640	0.00000000
1631.56250000	0.21531296	1.00000000
1632.10000000	0.19278351	0.00000000
1632.74500000	0.00029340	0.00000000
1633.53000000	0.00845583	0.00000000
1634.35250000	0.01334206	0.10000000
1635.15000000	0.00033188	0.00000000
1635.98250000	0.03582187	0.10000000
1636.97000000	0.02043846	0.00000000
1637.89500000	0.13261741	0.00000000
1638.59750000	0.14296047	1.00000000
1639.32250000	0.03428965	0.00000000
1640.03250000	0.07369037	0.00000000
1640.75000000	0.09274737	1.00000000
1641.67250000	0.01517440	0.00000000
1642.64750000	0.01046988	0.00000000
1643.57500000	0.01469135	0.00000000
1644.42000000	0.02588289	0.00000000
1645.22750000	0.02893323	0.10000000
1646.06250000	0.01626221	0.00000000
1646.86500000	0.00361920	0.00000000
1647.57750000	0.13045622	1.00000000
1648.11000000	0.02787324	0.00000000
1648.64250000	0.08677759	1.00000000
1649.39750000	0.00654143	0.00000000
1650.13500000	0.12461361	1.00000000
1650.93250000	0.09349675	0.00000000
1652.03250000	0.02037122	0.00000000
1652.95000000	0.08559071	1.00000000
1653.89000000	0.07298874	0.00000000
1655.16250000	0.06386854	0.00000000
1656.08000000	0.06633892	0.50000000
1656.67750000	0.01226270	0.00000000
1657.32750000	0.00527679	0.00000000
1657.91750000	0.01627816	0.00000000
1658.45000000	0.04504647	0.10000000
1659.14250000	0.03213739	0.00000000
1660.05500000	0.00211993	0.00000000
