DEPTH d	VALUE d	COUNT d
1366.06000000	0.25871510	0.00000000
1369.61500000	0.05639768	0.00000000
1381.16500000	0.00003543	0.00000000
1395.51500000	0.01777379	0.00000000
1401.41250000	1.00000000	1.00000000
1407.34250000	0.04065036	0.00000000
1419.06500000	0.01090906	0.00000000
1427.80250000	0.02232576	0.00000000
1433.35500000	0.04032647	0.00000000
1436.30250000	0.10193740	0.00000000
1436.82000000	0.15542274	1.00000000
1437.45750000	0.04860841	0.00000000
1438.09250000	0.04358602	0.00000000
1439.13750000	0.04472925	0.00000000
1440.55000000	0.10926991	1.00000000
1442.01750000	0.09355700	0.00000000
1446.73500000	0.00272349	0.00000000
1455.45000000	0.00036343	0.00000000
1461.87500000	0.05966914	0.10000000
1471.01000000	0.01348947	0.00000000
1486.83750000	0.00106782	0.00000000
1496.83750000	0.00064156	0.00000000
1499.34250000	0.11183044	0.00000000
1500.32250000	0.18119903	1.00000000
1500.62750000	0.15743023	0.00000000
1501.05750000	0.22876155	1.00000000
1502.06000000	0.03946172	0.00000000
1503.52750000	0.04129852	0.10000000
1504.69000000	0.02948402	0.00000000
1505.44500000	0.15279386	1.00000000
1506.07000000	0.13905595	0.00000000
1506.68250000	0.07697201	0.00000000
1509.61250000	0.02412488	0.00000000
1517.26000000	0.00002293	0.00000000
1525.26000000	0.00639212	0.00000000
1528.96250000	0.01232205	0.10000000
1530.33250000	0.00081266	0.00000000
1533.65500000	0.01028061	0.00000000
1538.88500000	0.01802173	0.10000000
1541.76250000	0.01216064	0.00000000
1542.36000000	0.16613125	1.00000000
1544.14000000	0.05507448	0.00000000
1547.22750000	0.04063737	0.00000000
1549.89250000	0.05535887	0.10000000
1552.19500000	0.02593260	0.00000000
1553.86750000	0.02536523	0.00000000
1554.74500000	0.02801893	0.00000000
1555.40750000	0.42656369	1.00000000
1555.79750000	0.16428665	0.00000000
1556.21500000	0.32136582	1.00000000
1557.88500000	0.03558155	0.00000000
1560.49250000	0.19118367	0.00000000
1561.92000000	0.94511852	1.00000000
1562.53500000	0.03376218	0.00000000
1564.12000000	0.01919852	0.00000000
1566.66750000	0.01027147	0.00000000
1568.97500000	0.00771900	0.00000000
1570.69000000	0.01121225	0.10000000
1572.09500000	0.00760630	0.00000000
1573.28500000	0.02919358	0.10000000
1577.80500000	0.00814538	0.00000000
1585.81000000	0.00902204	0.00000000
1590.17000000	0.49619493	0.00000000
1590.62000000	0.79020264	1.00000000
1590.96500000	0.11565089	0.00000000
1591.68500000	0.08662299	0.00000000
1592.80000000	0.02511815	0.00000000
1593.84000000	0.00124830	0.00000000
1594.96750000	0.02476123	0.10000000
1596.91500000	0.00434595	0.00000000
1599.34250000	0.00469421	0.00000000
1601.08000000	0.04105534	0.10000000
1601.96750000	0.03563159	0.00000000
1603.13500000	0.04973028	0.20000000
1605.69000000	0.00185656	0.00000000
1610.03500000	0.00108730	0.00000000
1616.55000000	0.00167363	0.10000000
1625.68750000	0.00031040	0.00000000
1634.32750000	0.00448649	0.00000000
1640.00500000	0.00610864	0.00000000
1644.38750000	0.01916216	0.10000000
1649.44250000	0.01379212	0.00000000
1655.47000000	0.00837634	0.00000000
1659.04750000	0.00200889	0.00000000
1660.63000000	0.01929053	0.00000000
1662.60250000	0.10270221	0.00000000
1664.24500000	0.12368533	0.00000000
1665.66500000	0.27914993	1.00000000
1668.59500000	0.08860787	0.00000000
1673.98250000	0.00143401	0.00000000
1679.92250000	0.00148846	0.00000000
1685.22000000	0.00279355	0.10000000
1688.88750000	0.00235421	0.00000000
1691.50750000	0.00422774	0.10000000
1694.47250000	0.00295025	0.00000000
1696.85500000	0.01427340	0.10000000
1701.76500000	0.00553364	0.00000000
1710.43500000	0.00127226	0.00000000
1715.97250000	0.21513333	1.00000000
1719.05750000	0.09110658	0.00000000
1724.94000000	0.00004355	0.00000000
1731.53000000	0.00036350	0.10000000
1736.92500000	0.00028110	0.00000000
1742.65250000	0.00085838	0.00000000
1747.97250000	0.05220846	0.00000000
1750.21250000	0.16409979	1.00000000
1751.55750000	0.10671617	0.00000000
1755.78000000	0.00092415	0.00000000
1764.36500000	0.00039730	0.00000000
1775.07750000	0.00056923	0.00000000
1781.78750000	0.03882858	0.00000000
1783.82750000	0.09625222	1.00000000
1785.86250000	0.00861911	0.00000000
1789.55750000	0.00062168	0.00000000
1793.07000000	0.00543128	0.00000000
1795.81000000	0.00580166	0.00000000
1798.28750000	0.02135778	0.10000000
1800.71500000	0.01924735	0.00000000
1803.89250000	0.00166540	0.00000000
1808.26500000	0.00214762	0.00000000
1812.94500000	0.00570249	0.00000000
