DEPTH d	VALUE d	COUNT d
1366.75000000	1.37142042	0.00000000
1374.68500000	0.36686107	0.00000000
1374.68500000	0.36686107	0.90000000
1376.67000000	1.89405516	1.00000000
1382.04500000	1.85956912	1.00000000
1387.42000000	2.08656210	0.90000000
1387.42000000	2.08656210	0.00000000
1387.42000000	2.08656210	0.00000000
1387.42000000	2.08656210	0.00000000
1388.29000000	1.73802306	0.00000000
1388.29000000	1.73802306	0.00000000
1388.29000000	1.73802306	0.00000000
1388.29000000	1.73802306	0.90000000
1389.16000000	2.43181341	0.90000000
1389.16000000	2.43181341	0.00000000
1389.16000000	2.43181341	0.00000000
1389.16000000	2.43181341	0.90000000
1395.12500000	4.28276248	0.90000000
1395.12500000	4.28276248	0.00000000
1395.12500000	4.28276248	0.00000000
1395.12500000	4.28276248	0.00000000
1401.09000000	3.45101804	0.00000000
1401.09000000	3.45101804	0.00000000
1401.09000000	3.45101804	0.90000000
1402.83500000	5.44420341	0.00000000
1404.58000000	7.26553072	0.90000000
1404.58000000	7.26553072	0.00000000
1404.58000000	7.26553072	0.00000000
1404.58000000	7.26553072	0.00000000
1408.90500000	6.45712233	0.00000000
1408.90500000	6.45712233	0.00000000
1413.23000000	5.09368384	0.00000000
1413.89500000	4.20411728	0.00000000
1414.56000000	3.33578499	0.00000000
1415.13500000	3.23365086	0.00000000
1415.13500000	3.23365086	0.00000000
1415.13500000	3.23365086	0.00000000
1415.71000000	2.74030931	0.00000000
1416.88000000	2.31665371	0.00000000
1416.88000000	2.31665371	0.00000000
1416.88000000	2.31665371	0.00000000
1417.38000000	2.01671993	1.00000000
1417.88000000	2.21782488	0.00000000
1419.96500000	2.47624606	0.90000000
1419.96500000	2.47624606	0.00000000
1419.96500000	2.47624606	0.00000000
1419.96500000	2.47624606	0.00000000
1419.96500000	2.47624606	0.00000000
1419.96500000	2.47624606	0.90000000
1422.10500000	2.55999025	0.00000000
1424.18000000	2.56331685	0.00000000
1426.20000000	2.66432137	1.00000000
1426.36500000	2.48420723	0.00000000
1429.78000000	1.80987535	0.00000000
1433.67000000	1.07717672	0.00000000
1435.33000000	0.99598614	0.00000000
1436.74000000	0.90620897	0.00000000
1436.74000000	0.90620897	0.00000000
1437.78500000	0.60734407	0.00000000
1437.78500000	0.60734407	0.90000000
1438.05000000	0.93212889	0.90000000
1438.05000000	0.93212889	0.90000000
1438.40000000	1.07511724	0.00000000
1438.75000000	1.30904010	0.90000000
1438.75000000	1.30904010	0.00000000
1438.75000000	1.30904010	0.00000000
1438.75000000	1.30904010	0.00000000
1438.75000000	1.30904010	0.00000000
1438.75000000	1.30904010	0.90000000
1438.89000000	1.57377159	0.00000000
1439.13500000	2.42434674	0.90000000
1439.13500000	2.42434674	0.00000000
1439.13500000	2.42434674	0.00000000
1440.32000000	1.36000762	0.00000000
1441.45000000	1.27057018	1.00000000
1450.42500000	2.50141787	0.00000000
1456.68000000	3.10019764	1.00000000
1456.91500000	2.20638228	0.00000000
1457.15000000	2.16471945	1.00000000
1459.23000000	2.79980919	0.00000000
1462.32000000	3.80678100	1.00000000
1463.33000000	3.16864074	0.00000000
1463.33000000	3.16864074	0.00000000
1463.33000000	3.16864074	0.00000000
1463.33000000	3.16864074	0.00000000
1463.33000000	3.16864074	0.00000000
1463.33000000	3.16864074	0.00000000
1463.33000000	3.16864074	0.00000000
1463.51000000	2.37747436	0.00000000
1463.51000000	2.37747436	0.00000000
1463.51000000	2.37747436	0.00000000
1463.51000000	2.37747436	0.00000000
1464.06000000	1.47961817	0.00000000
1473.53500000	0.58662208	0.00000000
1475.79000000	0.49454770	0.00000000
1476.09000000	0.49313596	0.00000000
1476.71000000	0.47229251	1.00000000
1477.08000000	0.53132759	0.00000000
1477.48500000	0.60902488	0.00000000
1478.13000000	0.94012372	0.00000000
1478.89000000	1.53813770	0.00000000
1479.43500000	1.64156255	0.90000000
1479.43500000	1.64156255	0.90000000
1479.98000000	1.65743234	0.90000000
1479.98000000	1.65743234	0.00000000
1479.98000000	1.65743234	0.00000000
1479.98000000	1.65743234	0.00000000
1479.98000000	1.65743234	0.00000000
1480.14000000	1.57902109	0.00000000
1480.14000000	1.57902109	0.00000000
1480.14000000	1.57902109	0.00000000
1480.14000000	1.57902109	0.90000000
1480.62500000	1.63939728	1.00000000
1482.16500000	1.26682243	1.00000000
1483.08000000	1.40385546	0.00000000
1483.49000000	1.57887804	1.00000000
1491.49500000	1.02506211	1.00000000
1497.00000000	1.38302567	0.00000000
1499.51000000	1.62095034	1.00000000
1499.76500000	1.59930660	1.00000000
1500.33000000	2.66867086	1.00000000
1500.61000000	2.18297632	1.00000000
1500.96000000	2.50901874	0.00000000
1502.79000000	3.39181011	0.90000000
1502.79000000	3.39181011	0.00000000
1502.79000000	3.39181011	0.00000000
1502.79000000	3.39181011	0.00000000
1502.79000000	3.39181011	0.00000000
1502.79000000	3.39181011	0.00000000
1502.79000000	3.39181011	0.00000000
1502.79000000	3.39181011	0.00000000
1502.79000000	3.39181011	0.00000000
1502.79000000	3.39181011	0.90000000
1504.15500000	3.51947641	0.90000000
1504.15500000	3.51947641	0.00000000
1504.15500000	3.51947641	0.90000000
1504.65000000	3.99412802	1.00000000
1505.58000000	3.73751067	1.00000000
1505.77500000	3.80170705	0.90000000
1505.77500000	3.80170705	0.00000000
1505.97000000	3.52089884	1.00000000
1506.76000000	5.53824961	1.00000000
1529.86000000	4.70767784	0.00000000
1529.86000000	4.70767784	0.00000000
1529.86000000	4.70767784	0.00000000
1529.86000000	4.70767784	0.00000000
1529.86000000	4.70767784	0.00000000
1529.86000000	4.70767784	0.00000000
1529.86000000	4.70767784	0.00000000
1529.86000000	4.70767784	0.00000000
