DEPTH d	VALUE d	COUNT d
1374.22500000	29.60273524	0.00000000
1378.74000000	16.79949099	1.00000000
1401.98000000	20.30061134	1.00000000
1404.99500000	17.27085734	0.00000000
1408.01000000	16.80628835	1.00000000
1408.47500000	19.04605338	0.00000000
1409.70000000	22.42429062	0.00000000
1410.46000000	33.35189313	1.00000000
1435.40000000	22.49039537	1.00000000
1442.87000000	22.70506925	1.00000000
1443.15000000	22.22755673	1.00000000
1443.42000000	22.26856609	0.00000000
1443.69000000	22.89379488	0.00000000
1444.45000000	23.10876547	0.00000000
1445.40500000	23.18247607	0.00000000
1445.60000000	26.09453705	1.00000000
1502.66000000	11.46461676	0.00000000
1503.36000000	11.39748763	1.00000000
1505.81500000	15.43556120	1.00000000
1511.86500000	14.91287218	1.00000000
1515.56000000	15.81674257	0.00000000
1516.58500000	15.94093432	0.00000000
1517.70000000	16.98867309	0.00000000
1518.17500000	17.45789263	0.00000000
1518.56000000	17.66293726	1.00000000
1518.97000000	16.99683064	0.00000000
1519.38000000	16.42718444	0.00000000
1519.93500000	15.96161642	1.00000000
1520.49000000	16.04247195	0.00000000
1523.55000000	16.42395688	1.00000000
1524.56000000	16.04810303	0.00000000
1526.52000000	16.02546642	0.00000000
1528.48000000	15.88906806	0.00000000
1529.72000000	15.10386722	0.00000000
1530.96000000	14.85323128	0.00000000
1531.42000000	13.17793767	1.00000000
1531.88000000	16.96043315	1.00000000
1553.16000000	12.55369555	1.00000000
1555.00000000	14.54049686	0.00000000
1555.77000000	14.98557897	0.00000000
1564.43000000	16.14124223	1.00000000
1572.32000000	16.07461959	1.00000000
1590.01000000	18.53829069	1.00000000
1610.48000000	11.01472437	1.00000000
1637.66000000	20.94609453	1.00000000
1739.42000000	11.10485983	0.00000000
