DEPTH d	VALUE d	COUNT d
1370.62000000	7.72203376	0.00000000
1372.51500000	6.86293872	0.00000000
1373.53000000	5.84197445	0.00000000
1374.66000000	4.78139355	1.00000000
1376.30000000	4.85288822	1.00000000
1376.67000000	4.71045682	0.00000000
1378.57500000	2.77816466	1.00000000
1384.20000000	6.00718182	0.90000000
1384.20000000	6.00718182	0.00000000
1384.71500000	5.97586500	1.00000000
1385.12500000	6.11172941	1.00000000
1385.66000000	5.60713923	0.00000000
1385.99000000	5.36771697	0.00000000
1386.99000000	5.11823240	0.00000000
1386.99000000	5.11823240	0.00000000
1387.29000000	3.06270545	1.00000000
1387.42000000	3.16114849	0.90000000
1387.42000000	3.16114849	0.90000000
1388.06500000	5.21726595	0.00000000
1391.63500000	6.94506337	1.00000000
1394.11000000	6.61206388	1.00000000
1394.72500000	7.05118757	0.00000000
1398.64500000	7.43399550	0.00000000
1399.14000000	7.66799142	0.00000000
1401.47000000	8.49480112	0.00000000
1401.62000000	9.91920593	0.00000000
1401.88000000	11.11151386	0.00000000
1401.93000000	12.50156669	0.90000000
1401.93000000	12.50156669	0.00000000
1401.93000000	12.50156669	0.00000000
1401.98000000	12.42136865	1.00000000
1402.97000000	13.71755604	0.00000000
1403.90000000	14.09065260	1.00000000
1404.58000000	12.77011659	0.00000000
1405.24000000	12.08792060	1.00000000
1408.01000000	12.23806985	1.00000000
1408.94000000	12.09529326	0.00000000
1408.94000000	12.09529326	0.00000000
1411.84500000	10.94006172	0.00000000
1415.71000000	9.45313266	1.00000000
1416.15000000	10.03695232	0.00000000
1416.73500000	11.12616250	0.00000000
1417.18000000	12.63117955	1.00000000
1417.68000000	11.82053463	0.00000000
1417.68000000	11.82053463	0.00000000
1418.84500000	10.47730185	0.00000000
1420.93000000	8.79750480	0.00000000
1422.10500000	6.95876691	0.00000000
1422.10500000	6.95876691	0.00000000
1422.10500000	6.95876691	0.00000000
1424.66000000	6.94489616	0.00000000
1425.76000000	6.75698677	1.00000000
1426.36500000	8.03105721	0.00000000
1429.07500000	10.39588905	0.00000000
1430.81000000	10.87422855	0.00000000
1433.35000000	11.15570172	0.00000000
1433.92000000	11.35206098	1.00000000
1434.34500000	11.32617858	1.00000000
1435.08500000	11.79947574	0.00000000
1435.91000000	12.87333293	0.00000000
1436.28000000	14.18524674	1.00000000
1436.74000000	14.01008367	1.00000000
1437.78500000	15.37990300	1.00000000
1439.03000000	13.95692821	0.00000000
1439.24000000	12.90390931	1.00000000
1439.78000000	13.27704911	1.00000000
1440.66000000	13.11537826	1.00000000
1441.00000000	13.52508756	0.90000000
1441.00000000	13.52508756	0.00000000
1441.22500000	13.02945759	1.00000000
1442.02000000	13.39971662	0.00000000
1442.87000000	14.00482681	1.00000000
1443.69000000	12.29197666	0.00000000
1445.21000000	11.22491105	1.00000000
