DEPTH d	VALUE d	COUNT d
1370.62000000	52.34686429	0.00000000
1372.51500000	52.76904896	0.00000000
1373.53000000	52.86868304	0.00000000
1374.66000000	53.01134132	1.00000000
1376.30000000	50.76553977	1.00000000
1376.67000000	51.22246185	0.00000000
1378.57500000	53.38684063	1.00000000
1384.20000000	48.96610480	0.00000000
1384.20000000	48.96610480	0.00000000
1384.71500000	48.66004803	0.00000000
1385.12500000	48.62762701	1.00000000
1385.66000000	50.78494650	0.00000000
1385.99000000	51.91547298	0.00000000
1386.99000000	52.82827497	0.90000000
1386.99000000	52.82827497	0.90000000
1387.29000000	55.28030561	0.00000000
1387.42000000	55.47416038	0.90000000
1387.42000000	55.47416038	0.00000000
1388.06500000	54.40914249	0.00000000
1391.63500000	53.17701776	1.00000000
1394.11000000	53.70918584	1.00000000
1394.72500000	53.46259322	1.00000000
1398.64500000	53.60495911	1.00000000
1399.14000000	53.51878551	1.00000000
1401.47000000	57.28156021	1.00000000
1401.62000000	55.86105174	0.00000000
1401.88000000	54.89964939	0.00000000
1401.93000000	53.72909478	0.00000000
1401.93000000	53.72909478	0.00000000
1401.93000000	53.72909478	0.90000000
1401.98000000	53.73016671	1.00000000
1402.97000000	52.09855576	0.00000000
1403.90000000	51.55942019	1.00000000
1404.58000000	52.82670820	0.00000000
1405.24000000	53.45584968	1.00000000
1408.01000000	53.36542953	1.00000000
1408.94000000	53.57264548	0.90000000
1408.94000000	53.57264548	0.90000000
1411.84500000	54.56948722	0.00000000
1415.71000000	56.34167775	1.00000000
1416.15000000	55.68382333	0.00000000
1416.73500000	54.68574999	0.00000000
1417.18000000	53.43744168	1.00000000
1417.68000000	54.13645200	0.90000000
1417.68000000	54.13645200	0.90000000
1418.84500000	55.55214967	0.00000000
1420.93000000	57.19899173	0.00000000
1422.10500000	58.82781093	0.90000000
1422.10500000	58.82781093	0.00000000
1422.10500000	58.82781093	0.00000000
1424.66000000	58.75582138	0.00000000
1425.76000000	58.71629745	0.00000000
1426.36500000	57.43032371	0.00000000
1429.07500000	55.05990659	0.00000000
1430.81000000	54.55005431	0.00000000
1433.35000000	54.24571102	0.00000000
1433.92000000	54.04743094	1.00000000
1434.34500000	54.06959796	1.00000000
1435.08500000	53.52813117	0.00000000
1435.91000000	52.43901106	0.00000000
1436.28000000	51.00473511	1.00000000
1436.74000000	51.13027659	1.00000000
1437.78500000	49.71554027	1.00000000
1439.03000000	51.11244389	0.00000000
1439.24000000	52.18902871	1.00000000
1439.78000000	51.76937351	1.00000000
1440.66000000	51.86559311	1.00000000
1441.00000000	51.37887825	0.00000000
1441.00000000	51.37887825	0.90000000
1441.22500000	51.87616609	1.00000000
1442.02000000	51.55241395	0.00000000
1442.87000000	51.03129839	1.00000000
1443.69000000	52.82744464	0.00000000
1445.21000000	53.93931636	0.00000000
1445.60000000	54.03230458	0.00000000
1446.16000000	54.19634478	1.00000000
1446.49000000	53.96798841	1.00000000
1446.87500000	55.03153119	0.00000000
1449.42000000	56.91899725	0.00000000
1452.28000000	58.58530954	0.00000000
1455.75000000	59.89699397	0.00000000
1456.68000000	60.24753667	0.00000000
1457.15000000	62.75536660	1.00000000
1460.49500000	61.63137970	0.00000000
1460.95000000	60.96662796	0.00000000
1460.95000000	60.96662796	0.00000000
1461.31000000	60.23304688	1.00000000
1461.49000000	60.50302321	1.00000000
1461.67000000	60.23203046	0.00000000
1461.74500000	59.91808758	0.00000000
1461.74500000	59.91808758	0.90000000
1461.82000000	59.93152715	1.00000000
1462.73500000	58.93264147	0.00000000
1463.69000000	58.44393566	1.00000000
1464.43000000	58.54794363	1.00000000
1470.48000000	58.26026475	0.00000000
1471.03000000	58.11085028	0.00000000
1474.98000000	57.26840304	0.00000000
1476.71000000	56.57891659	0.00000000
1477.08000000	55.84636991	1.00000000
1478.37000000	56.58187575	0.00000000
1478.63000000	56.70169132	0.00000000
1478.89000000	57.00400889	0.00000000
1479.98000000	57.30960631	0.00000000
1480.30000000	57.89997182	0.00000000
1480.62500000	58.08583830	0.90000000
1480.62500000	58.08583830	0.90000000
1481.66000000	58.16070234	0.00000000
1482.16500000	58.24564301	0.90000000
1482.16500000	58.24564301	0.00000000
1482.67000000	57.83695235	0.00000000
1483.08000000	57.73700746	1.00000000
1483.49000000	57.95139679	0.00000000
1484.67000000	58.05784302	1.00000000
1485.74500000	57.81488169	1.00000000
1486.19500000	58.01078241	0.00000000
1486.89000000	58.21241721	1.00000000
1488.33000000	57.20106433	0.00000000
1490.46000000	56.60192995	0.00000000
1493.33000000	56.16923115	0.00000000
1496.74000000	55.52881607	0.00000000
1499.51000000	55.38448363	0.00000000
1500.02000000	54.92683543	0.00000000
1500.61000000	54.18894936	0.00000000
1501.33000000	52.94921855	0.00000000
1502.18000000	51.67637416	0.00000000
1502.18000000	51.67637416	0.00000000
1503.01000000	50.57673669	0.00000000
1503.01000000	50.57673669	0.00000000
1503.01000000	50.57673669	0.90000000
1503.36000000	50.77016122	0.90000000
1503.36000000	50.77016122	0.00000000
1503.88000000	49.69638421	1.00000000
1504.65000000	52.47664828	1.00000000
1505.97000000	51.02484944	0.00000000
1506.36500000	50.55823079	0.00000000
1507.00000000	49.73310377	0.00000000
1511.86500000	49.09876111	0.00000000
1515.51000000	48.75746723	1.00000000
1515.56000000	48.98017159	1.00000000
1516.38000000	48.60656970	0.00000000
1516.71000000	46.67555054	0.00000000
1516.96000000	46.31675315	0.00000000
1517.41000000	45.53907721	1.00000000
1517.70000000	45.64709652	0.00000000
1518.17500000	46.26782588	0.00000000
1518.56000000	46.27320245	0.00000000
1519.38000000	46.90914673	1.00000000
1520.49000000	46.45360056	0.00000000
1522.02000000	45.98941873	0.00000000
1522.02000000	45.98941873	0.00000000
1522.02000000	45.98941873	0.90000000
1524.05500000	46.64688603	1.00000000
1527.38000000	42.28724216	1.00000000
1529.07000000	43.82895309	0.00000000
1530.09500000	45.85648377	0.00000000
1530.64500000	46.99825282	0.00000000
1530.96000000	47.71050030	0.00000000
