DEPTH d	VALUE d	COUNT d
1364.40000000	0.02881240	0.00000000
1364.93000000	0.01241592	0.00000000
1365.56750000	0.05093187	0.00000000
1366.30500000	0.16907233	1.00000000
1367.33500000	0.08937480	0.00000000
1368.76000000	0.14144868	1.00000000
1369.75000000	0.14103814	0.00000000
1370.18500000	0.32081295	1.00000000
1370.49500000	0.05043196	0.00000000
1371.09000000	0.02786558	0.00000000
1372.03750000	0.05053307	0.20000000
1372.71000000	0.00186513	0.00000000
1373.11250000	0.01439515	0.10000000
1373.55250000	0.01281686	0.00000000
1374.22250000	0.04289157	0.10000000
1375.13250000	0.02213856	0.00000000
1375.95250000	0.00821878	0.00000000
1376.92000000	0.01566117	0.00000000
1378.05750000	0.10795835	1.00000000
1379.67500000	0.05462508	0.00000000
1382.08750000	0.00139903	0.00000000
1383.80000000	0.02731992	0.10000000
1384.45750000	0.01094388	0.00000000
1384.92000000	0.14700068	1.00000000
1385.28500000	0.14356590	0.00000000
1385.63500000	0.02903248	0.00000000
1386.15750000	0.05519136	0.00000000
1386.78250000	0.34823145	1.00000000
1387.18250000	0.33797685	0.00000000
1387.44500000	0.09029906	0.00000000
1387.83250000	0.13383327	1.00000000
1388.41000000	0.06491014	0.00000000
1390.19500000	0.00461275	0.00000000
1392.95000000	0.00966040	0.00000000
1394.49500000	0.02896986	0.10000000
1395.65750000	0.00708529	0.00000000
1397.61750000	0.00757596	0.10000000
1399.38000000	0.00639468	0.00000000
1400.69750000	0.05990698	0.00000000
1401.41250000	0.39505539	0.00000000
1401.67250000	0.41625149	1.00000000
1402.07500000	0.03034514	0.00000000
1402.66000000	0.05198101	0.30000000
1403.43500000	0.02125918	0.00000000
1404.40500000	0.01936704	0.00000000
1405.76750000	0.01426229	0.00000000
1407.55000000	0.02047796	0.10000000
1409.08750000	0.01345503	0.00000000
1410.77250000	0.00375694	0.00000000
1412.87000000	0.00037760	0.00000000
1414.51500000	0.00045765	0.00000000
1415.64250000	0.00212764	0.00000000
1416.44250000	0.01423300	0.00000000
1416.95750000	0.04830249	0.10000000
1417.43000000	0.01825733	0.00000000
1418.26250000	0.02664828	0.10000000
1419.88750000	0.00190352	0.00000000
1421.51750000	0.15690076	1.00000000
1422.75750000	0.13980593	0.00000000
1424.20000000	0.02704635	0.00000000
1425.37500000	0.02520447	0.00000000
1426.06250000	0.03720696	0.00000000
1426.92500000	0.04017879	0.10000000
1428.28000000	0.00095557	0.00000000
1429.66750000	0.00158684	0.00000000
1431.09000000	0.00193342	0.00000000
1432.63500000	0.01890844	0.00000000
1433.57250000	0.11144287	1.00000000
1434.07000000	0.10726787	0.00000000
1434.71500000	0.00794362	0.00000000
1435.37000000	0.12144638	1.00000000
1435.87500000	0.02480800	0.00000000
1436.30250000	0.03851621	0.00000000
1436.82000000	0.06130738	1.00000000
1437.45750000	0.01603173	0.00000000
1438.09250000	0.01530312	0.00000000
1438.64500000	0.09771242	1.00000000
1439.01250000	0.05153091	0.00000000
1439.45750000	0.11880368	1.00000000
1440.22000000	0.01519433	0.00000000
1440.94250000	0.06089876	0.80000000
1441.62250000	0.05266695	0.00000000
1442.44500000	0.08681930	1.00000000
1443.14500000	0.01307865	0.00000000
1443.67500000	0.01555785	0.00000000
1444.31000000	0.09248092	0.00000000
1445.04750000	0.14226693	1.00000000
1445.64250000	0.05755075	0.00000000
1446.10250000	0.17601307	1.00000000
1446.45750000	0.08050504	0.00000000
1446.73250000	0.07554008	0.00000000
1447.06500000	0.01442583	0.00000000
1447.84500000	0.02089637	0.10000000
1449.64250000	0.00115549	0.00000000
1452.36750000	0.00042348	0.00000000
1454.75250000	0.02431036	0.00000000
1455.91750000	0.05125568	0.40000000
1456.56500000	0.03317219	0.00000000
1457.84500000	0.01715545	0.00000000
1459.63500000	0.03473581	0.00000000
1460.72250000	0.10558863	1.00000000
1461.22000000	0.05531435	0.00000000
1461.61750000	0.12263754	0.00000000
1461.86250000	0.14534848	1.00000000
1462.35750000	0.04871591	0.00000000
1463.12250000	0.08934988	1.00000000
1463.78500000	0.07818081	0.00000000
1465.75750000	0.00922100	0.00000000
1469.24250000	0.00225279	0.00000000
1472.02750000	0.00232609	0.00000000
1474.00250000	0.00475457	0.00000000
1475.38500000	0.02800562	0.10000000
1476.09500000	0.00216714	0.00000000
1476.64750000	0.03446523	0.00000000
1477.19000000	0.05006531	0.20000000
