DEPTH d	VALUE d	COUNT d
1370.62500000	0.00553475	0.00000000
1373.07500000	0.01239349	0.00000000
1374.54750000	0.01251964	0.10000000
1377.41750000	0.00623219	0.00000000
1381.63000000	0.00161550	0.00000000
1384.52500000	0.00744321	0.00000000
1385.47750000	0.16987986	0.90000000
1385.84250000	0.08446552	0.00000000
1386.11500000	0.19489862	1.00000000
1386.37750000	0.16252827	0.00000000
1386.62250000	0.03781728	0.00000000
1386.83750000	1.00000000	1.00000000
1387.80750000	0.17274524	0.00000000
1391.13250000	0.00076195	0.00000000
1395.25000000	0.13862189	0.00000000
1397.28250000	0.57327806	1.00000000
1398.23000000	0.02329614	0.00000000
1400.17250000	0.00177312	0.00000000
1402.78500000	0.03400794	0.00000000
1404.27500000	0.08960582	0.80000000
1404.76250000	0.04369574	0.00000000
1405.18750000	0.05615030	0.10000000
1406.10750000	0.02305477	0.00000000
1408.62750000	0.00258264	0.00000000
1411.60500000	0.07595426	0.00000000
1413.29000000	0.17887109	1.00000000
1414.24000000	0.09623851	0.00000000
1415.57250000	0.05110136	0.00000000
1419.13750000	0.00095010	0.00000000
1424.91500000	0.00056321	0.00000000
1429.38250000	0.00546599	0.00000000
1431.07250000	0.03807062	0.10000000
1435.09000000	0.00668619	0.00000000
1442.81000000	0.00078101	0.00000000
1448.03250000	0.00074804	0.00000000
1450.09750000	0.09338621	0.90000000
1452.21500000	0.05345997	0.00000000
1454.71500000	0.02972859	0.00000000
1457.61750000	0.02809413	0.00000000
1461.44500000	0.00045505	0.00000000
1464.19750000	0.21748327	0.00000000
1464.87750000	0.38347434	0.00000000
1465.12750000	0.46268752	1.00000000
1465.48500000	0.20945485	0.00000000
1466.45750000	0.08141721	0.00000000
1468.40250000	0.02854009	0.00000000
1471.42000000	0.01617247	0.00000000
1475.53750000	0.00216213	0.00000000
1478.75250000	0.10155135	0.80000000
1483.12500000	0.02843171	0.00000000
1490.25750000	0.00406813	0.00000000
1496.70500000	0.00540797	0.10000000
1502.50500000	0.00055884	0.00000000
1506.48500000	0.02141681	0.20000000
1508.12000000	0.01785592	0.00000000
1510.70000000	0.00156902	0.00000000
1514.14000000	0.02457219	0.00000000
1517.41750000	0.02491053	0.20000000
1521.15500000	0.00367343	0.00000000
1527.92250000	0.00200645	0.00000000
1540.67500000	0.00032523	0.00000000
1552.83750000	0.00522126	0.00000000
1557.98000000	0.02141334	0.10000000
1560.65250000	0.00169275	0.00000000
1563.43250000	0.04149670	0.00000000
1564.75500000	0.08174014	0.00000000
1565.16000000	0.42360321	1.00000000
1565.51250000	0.28397120	0.00000000
1565.82000000	0.01877083	0.00000000
1566.57250000	0.10092619	0.90000000
1568.83000000	0.00134384	0.00000000
1572.01500000	0.00033258	0.00000000
1574.08750000	0.12764096	0.90000000
1578.63500000	0.01852079	0.00000000
1587.29500000	0.00056042	0.00000000
1592.82250000	0.01366163	0.00000000
1593.89750000	0.62185327	1.00000000
1594.51000000	0.32221217	0.00000000
1595.61500000	0.00439636	0.00000000
1597.19250000	0.00179034	0.00000000
1598.74500000	0.09809559	0.00000000
1599.59250000	0.53555511	1.00000000
1600.23750000	0.28242224	0.00000000
1602.34250000	0.02315597	0.00000000
1605.60250000	0.00508812	0.00000000
1608.08500000	0.00357755	0.00000000
1609.75250000	0.00887076	0.00000000
1610.94750000	0.18233959	0.00000000
1611.47500000	0.23997819	1.00000000
1611.82750000	0.02432001	0.00000000
1612.32000000	0.05355076	0.10000000
1613.35500000	0.03484328	0.00000000
1615.44000000	0.00395901	0.00000000
1618.76000000	0.00250019	0.00000000
1623.18250000	0.00192077	0.00000000
1627.09250000	0.00067622	0.00000000
1629.00000000	0.88229493	1.00000000
1631.00750000	0.23839015	0.00000000
1634.35500000	0.01321177	0.00000000
1638.62750000	0.00927103	0.00000000
1647.90500000	0.00018365	0.00000000
1659.44250000	0.00159570	0.00000000
1664.58500000	0.07612732	0.00000000
1665.11000000	0.08766192	0.90000000
1669.88750000	0.01103473	0.00000000
1679.87500000	0.00158004	0.00000000
1686.56250000	0.00420006	0.10000000
1689.86750000	0.00007465	0.00000000
1698.83250000	0.00045237	0.00000000
1711.44750000	0.00365629	0.00000000
1719.29000000	0.00906910	0.10000000
1725.29750000	0.00008963	0.00000000
1731.28250000	0.00563288	0.00000000
1734.47500000	0.00702801	0.00000000
1736.10500000	0.02595707	0.30000000
1738.14500000	0.01490115	0.00000000
1740.98250000	0.05652873	0.30000000
1746.50500000	0.02009419	0.00000000
1754.66500000	0.00197954	0.00000000
1760.00500000	0.00056275	0.00000000
1762.46750000	0.00967821	0.00000000
1765.38250000	0.01078320	0.10000000
1770.61750000	0.00041495	0.00000000
1776.96500000	0.00019915	0.00000000
1780.88250000	0.02980975	0.00000000
1782.17250000	0.11246801	1.00000000
1782.60750000	0.00532793	0.00000000
1782.98250000	0.08755431	1.00000000
1786.02000000	0.00819781	0.00000000
1796.72500000	0.00006297	0.00000000
