DEPTH d	VALUE d	COUNT d
1370.62500000	0.00582698	0.00000000
1373.07500000	0.01368243	0.10000000
1374.54750000	0.00890690	0.00000000
1377.41750000	0.00468962	0.00000000
1381.63000000	0.00156274	0.00000000
1384.52500000	0.00843481	0.00000000
1385.47750000	0.13381100	0.90000000
1385.84250000	0.10818077	0.00000000
1386.11500000	0.17171215	1.00000000
1386.37750000	0.16856094	0.00000000
1386.62250000	0.13742502	0.00000000
1386.83750000	1.00000000	1.00000000
1387.80750000	0.19454451	0.00000000
1391.13250000	0.00095480	0.00000000
1395.25000000	0.10744710	0.00000000
1397.28250000	0.44450557	1.00000000
1398.23000000	0.01807354	0.00000000
1400.17250000	0.00148795	0.00000000
1402.78500000	0.04235616	0.00000000
1404.27500000	0.11829033	1.00000000
1404.76250000	0.01647337	0.00000000
1405.18750000	0.03143643	0.10000000
1406.10750000	0.02557268	0.00000000
1408.62750000	0.00205793	0.00000000
1411.60500000	0.06028065	0.00000000
1413.29000000	0.13576232	1.00000000
1414.24000000	0.08926819	0.00000000
1415.57250000	0.05101517	0.00000000
1419.13750000	0.00002257	0.00000000
1424.91500000	0.00014489	0.00000000
1429.38250000	0.00630887	0.00000000
1431.07250000	0.03814134	0.20000000
1435.09000000	0.00662648	0.00000000
1442.81000000	0.00064021	0.00000000
1448.03250000	0.00008629	0.00000000
1450.09750000	0.07570720	0.40000000
1452.21500000	0.04765489	0.00000000
1454.71500000	0.03396123	0.00000000
1457.61750000	0.02762334	0.00000000
1461.44500000	0.00113510	0.00000000
1464.19750000	0.19395993	0.00000000
1464.87750000	0.40413911	1.00000000
1465.12750000	0.35003694	0.00000000
1465.48500000	0.18422728	0.00000000
1466.45750000	0.07884487	0.00000000
1468.40250000	0.01364193	0.00000000
1471.42000000	0.00781043	0.00000000
1475.53750000	0.00135733	0.00000000
1478.75250000	0.07984629	0.70000000
1483.12500000	0.02237063	0.00000000
1490.25750000	0.00333408	0.00000000
1496.70500000	0.00449035	0.10000000
1502.50500000	0.00046465	0.00000000
1506.48500000	0.01804700	0.20000000
1508.12000000	0.01328210	0.00000000
1510.70000000	0.00218301	0.00000000
1514.14000000	0.02162570	0.20000000
1517.41750000	0.02149823	0.00000000
1521.15500000	0.00331280	0.00000000
1527.92250000	0.00182116	0.00000000
1540.67500000	0.00015795	0.00000000
1552.83750000	0.00372574	0.00000000
1557.98000000	0.01354035	0.10000000
1560.65250000	0.00158195	0.00000000
1563.43250000	0.03519701	0.00000000
1564.75500000	0.03710937	0.00000000
1565.16000000	0.38169016	1.00000000
1565.51250000	0.33608230	0.00000000
1565.82000000	0.08257026	0.00000000
1566.57250000	0.09496492	1.00000000
1568.83000000	0.00102141	0.00000000
1572.01500000	0.00232640	0.00000000
1574.08750000	0.08971181	0.90000000
1578.63500000	0.01404729	0.00000000
1587.29500000	0.00083935	0.00000000
1592.82250000	0.01501332	0.00000000
1593.89750000	0.54980795	1.00000000
1594.51000000	0.29261383	0.00000000
1595.61500000	0.00482211	0.00000000
1597.19250000	0.00318851	0.00000000
1598.74500000	0.07656529	0.00000000
1599.59250000	0.21865578	1.00000000
1600.23750000	0.16397072	0.00000000
1602.34250000	0.01216972	0.00000000
1605.60250000	0.00506111	0.00000000
1608.08500000	0.00038491	0.00000000
1609.75250000	0.00514811	0.00000000
1610.94750000	0.12755896	1.00000000
1611.47500000	0.09684620	0.00000000
1611.82750000	0.01565477	0.00000000
1612.32000000	0.02997352	0.00000000
1613.35500000	0.03108997	0.10000000
1615.44000000	0.00182732	0.00000000
1618.76000000	0.00148093	0.00000000
1623.18250000	0.00081286	0.00000000
1627.09250000	0.00104749	0.00000000
1629.00000000	0.70509121	1.00000000
1631.00750000	0.19081515	0.00000000
1634.35500000	0.01232095	0.00000000
1638.62750000	0.00855678	0.00000000
1647.90500000	0.00010033	0.00000000
1659.44250000	0.00144800	0.00000000
1664.58500000	0.07727756	0.00000000
1665.11000000	0.12036996	1.00000000
1669.88750000	0.01194731	0.00000000
1679.87500000	0.00189699	0.00000000
1686.56250000	0.00427772	0.10000000
1689.86750000	0.00106753	0.00000000
1698.83250000	0.00035057	0.00000000
1711.44750000	0.00345929	0.00000000
1719.29000000	0.00861053	0.20000000
1725.29750000	0.00029301	0.00000000
1731.28250000	0.00506444	0.00000000
1734.47500000	0.00710254	0.00000000
1736.10500000	0.02278542	0.20000000
1738.14500000	0.01308480	0.00000000
1740.98250000	0.03135881	0.30000000
1746.50500000	0.01129207	0.00000000
1754.66500000	0.00182917	0.00000000
1760.00500000	0.00081606	0.00000000
1762.46750000	0.00689306	0.00000000
1765.38250000	0.00842097	0.10000000
1770.61750000	0.00037756	0.00000000
1776.96500000	0.00018749	0.00000000
1780.88250000	0.04251791	0.00000000
1782.17250000	0.17473656	1.00000000
1782.60750000	0.00059204	0.00000000
1782.98250000	0.07402461	1.00000000
1786.02000000	0.00712043	0.00000000
1796.72500000	0.00004803	0.00000000
