DEPTH d	VALUE d	COUNT d
1369.22500000	0.00045539	0.00000000
1371.04250000	0.00464681	0.10000000
1373.15250000	0.00190263	0.00000000
1377.58750000	0.00022932	0.00000000
1382.64500000	0.00019546	0.00000000
1385.80750000	0.00575531	0.00000000
1387.32500000	0.00911867	0.10000000
1389.00500000	0.00015744	0.00000000
1391.05000000	0.00347968	0.00000000
1392.30250000	0.07746808	1.00000000
1393.41750000	0.03159767	0.00000000
1395.00250000	0.02636269	0.00000000
1395.93750000	0.11498765	1.00000000
1396.22750000	0.01667905	0.00000000
1396.53500000	0.02938831	0.40000000
1398.13250000	0.00290120	0.00000000
1401.13250000	0.00203732	0.00000000
1403.06750000	0.00469143	0.10000000
1403.70750000	0.00370774	0.00000000
1404.33750000	0.00978457	0.10000000
1405.15000000	0.00320234	0.00000000
1407.32250000	0.00244929	0.00000000
1410.75750000	0.00095595	0.00000000
1412.87250000	0.00349962	0.10000000
1413.60000000	0.00005488	0.00000000
1414.13750000	0.04875261	0.00000000
1414.45000000	0.06648273	1.00000000
1414.75250000	0.02227847	0.00000000
1418.85000000	0.00269570	0.00000000
1426.60500000	0.00191678	0.00000000
1430.65000000	0.01751933	0.20000000
1431.10000000	0.00751776	0.00000000
1431.59750000	0.00811239	0.10000000
1432.30750000	0.00559013	0.00000000
1433.52000000	0.00201071	0.00000000
1436.90000000	0.00110863	0.00000000
1442.21500000	0.00038254	0.00000000
1445.46250000	0.00533063	0.00000000
1446.26750000	0.01175757	0.00000000
1446.76250000	0.02006685	0.00000000
1447.27250000	0.02394420	0.00000000
1447.69000000	0.02759747	0.00000000
1448.03750000	0.10728757	1.00000000
1448.63250000	0.04393762	0.00000000
1449.45500000	0.05640628	0.00000000
1450.01750000	0.14449939	1.00000000
1450.45000000	0.05156966	0.00000000
1451.08000000	0.04080111	0.00000000
1452.67750000	0.00187195	0.00000000
1455.11250000	0.00526386	0.10000000
1457.87000000	0.00449268	0.00000000
1460.98750000	0.00605661	0.00000000
1462.72000000	0.64068208	1.00000000
1463.53000000	0.19724044	0.00000000
1464.90250000	0.00292845	0.00000000
1466.45750000	0.00313843	0.00000000
1468.26750000	0.00361826	0.10000000
1470.24000000	0.00306626	0.00000000
1472.43750000	0.00033821	0.00000000
1474.32250000	0.02359694	0.00000000
1475.15250000	0.05164715	0.90000000
1476.08750000	0.00958197	0.00000000
1478.57000000	0.00004204	0.00000000
1484.01250000	0.00012578	0.00000000
1490.67250000	0.00368839	0.00000000
1493.99500000	0.00883030	0.00000000
1494.78500000	0.01431505	0.10000000
1497.51500000	0.00084776	0.00000000
1502.78750000	0.00012842	0.00000000
1508.18500000	0.00000232	0.00000000
1512.48750000	0.00685204	0.00000000
1515.31000000	0.01215769	0.10000000
1517.57750000	0.00060441	0.00000000
1519.47500000	0.08602627	0.00000000
1520.33000000	0.18628568	1.00000000
1521.58750000	0.00506174	0.00000000
1523.90250000	0.00018095	0.00000000
1527.66000000	0.00031882	0.10000000
1533.54250000	0.00007089	0.00000000
1538.50250000	0.00902239	0.00000000
1540.20750000	0.03739025	0.30000000
1542.26250000	0.01083076	0.00000000
1546.30500000	0.00051780	0.00000000
1549.26750000	0.00380820	0.00000000
1551.07500000	0.00384959	0.00000000
1552.75500000	0.10364585	0.00000000
1553.93000000	0.13544680	1.00000000
1556.13500000	0.00069463	0.00000000
1559.23750000	0.00042674	0.00000000
1561.33500000	0.00057617	0.00000000
1562.68750000	0.00725706	0.10000000
1563.66250000	0.00431081	0.00000000
1564.26000000	0.01884112	0.00000000
1564.68500000	0.09473700	1.00000000
1564.93500000	0.05822616	0.00000000
1565.25250000	0.00166227	0.00000000
1565.73500000	0.08727861	0.00000000
1566.16000000	0.35711799	1.00000000
1567.32250000	0.06113644	0.00000000
1569.64250000	0.00335777	0.00000000
1571.53250000	0.00205074	0.00000000
1572.38500000	0.03995520	0.00000000
1572.95000000	0.04214968	0.00000000
1573.54750000	0.04446125	0.00000000
1573.93750000	1.00000000	1.00000000
1574.35000000	0.29469622	0.00000000
1575.54000000	0.00062248	0.00000000
1579.97000000	0.00035077	0.00000000
1587.55250000	0.00004157	0.00000000
