DEPTH d	VALUE d	COUNT d
1368.06250000	0.05147479	0.00000000
1370.97250000	0.03398879	0.00000000
1372.60500000	0.53761823	1.00000000
1372.97750000	0.45464381	0.00000000
1374.04250000	0.03671756	0.00000000
1375.69500000	0.01238753	0.00000000
1378.20750000	0.00477597	0.00000000
1381.78750000	0.01268670	0.10000000
1384.31500000	0.01007803	0.00000000
1385.51000000	0.02380558	0.10000000
1388.54000000	0.00291646	0.00000000
1393.33000000	0.02854654	0.00000000
1395.77000000	0.38720363	1.00000000
1397.82250000	0.00635273	0.00000000
1401.59250000	0.02392642	0.00000000
1403.52750000	0.14920013	0.00000000
1403.71500000	0.42563670	1.00000000
1404.94500000	0.00993382	0.00000000
1408.52500000	0.00121750	0.00000000
1412.76250000	0.00343613	0.00000000
1415.41250000	0.00589570	0.00000000
1416.94750000	0.06683472	0.10000000
1419.75750000	0.02027852	0.00000000
1424.02500000	0.00730433	0.00000000
1427.31250000	0.00674901	0.00000000
1429.49000000	0.07334750	0.00000000
1430.82000000	0.26618010	1.00000000
1431.54500000	0.13003514	0.00000000
1432.36000000	0.11303831	0.00000000
1433.21500000	0.01621387	0.00000000
1433.89750000	0.04827408	0.10000000
1435.18000000	0.02353051	0.00000000
1438.69000000	0.00049987	0.00000000
1442.76500000	0.03998008	0.00000000
1444.62250000	0.13675542	0.80000000
1445.05250000	0.01636152	0.00000000
1445.81000000	0.04399556	0.00000000
1446.91000000	0.19639496	0.00000000
1447.65750000	0.36849359	0.00000000
1448.08000000	0.63791801	0.00000000
1448.37500000	1.00000000	1.00000000
1448.57000000	0.05367687	0.00000000
1448.89750000	0.17323299	0.00000000
1449.40250000	0.25456886	1.00000000
1450.61750000	0.10459165	0.00000000
1453.20500000	0.00369585	0.00000000
1457.23500000	0.00283315	0.00000000
1462.79750000	0.00057660	0.00000000
1467.75250000	0.01333755	0.00000000
1469.96750000	0.04776613	0.00000000
1470.80750000	0.14138637	1.00000000
1472.10500000	0.06485103	0.00000000
1473.96000000	0.01403221	0.00000000
1476.49500000	0.00714345	0.00000000
1481.57000000	0.00022873	0.00000000
1487.39750000	0.00124432	0.10000000
1493.48750000	0.00000090	0.00000000
1500.71250000	0.02507676	0.00000000
1506.36000000	0.04015280	0.30000000
1511.26750000	0.00032560	0.00000000
1514.73500000	0.03773953	0.00000000
1515.95000000	0.05401073	0.40000000
1517.71500000	0.00016856	0.00000000
1520.05000000	0.01738637	0.10000000
1522.43000000	0.01523339	0.00000000
1525.46250000	0.00503474	0.00000000
1527.74000000	0.03432613	0.40000000
1530.83500000	0.01032829	0.00000000
1536.24250000	0.00161395	0.00000000
1539.67000000	0.08166967	1.00000000
1542.64250000	0.02060193	0.00000000
1551.33750000	0.00010605	0.00000000
1562.11000000	0.00098249	0.10000000
1568.69750000	0.00094630	0.00000000
1576.36000000	0.00050246	0.00000000
1586.57500000	0.00092029	0.00000000
1593.10500000	0.00142709	0.00000000
1596.71250000	0.00987072	0.10000000
1598.96750000	0.00593524	0.00000000
1600.01000000	0.00148302	0.00000000
1600.87750000	0.05379917	0.70000000
1602.72500000	0.02505050	0.00000000
1605.70750000	0.00590697	0.00000000
1608.32750000	0.00940397	0.00000000
1610.59750000	0.01948694	0.00000000
1612.26500000	0.05198630	0.70000000
1613.38000000	0.00963588	0.00000000
1617.75000000	0.00149734	0.00000000
1625.90500000	0.00037375	0.00000000
1631.30250000	0.06050214	0.70000000
1634.56500000	0.02729841	0.00000000
1641.79500000	0.00007899	0.00000000
1649.75750000	0.02064084	0.30000000
1656.53000000	0.01619304	0.00000000
1673.16000000	0.00007899	0.00000000
1697.54500000	0.00003614	0.00000000
1714.67000000	0.00002644	0.00000000
1724.33000000	0.00218009	0.10000000
1731.37000000	0.00207069	0.00000000
1736.65500000	0.01771140	0.00000000
1740.12750000	0.03127921	0.10000000
1745.79000000	0.00169937	0.00000000
1754.15500000	0.00372450	0.00000000
1759.54500000	0.00497349	0.00000000
1762.51000000	0.01137982	0.00000000
1764.24750000	0.24106382	0.00000000
1764.72250000	0.26439346	1.00000000
1765.63750000	0.18115889	0.00000000
1767.91250000	0.00163216	0.00000000
1770.36000000	0.09556612	0.00000000
1771.39000000	0.13409412	0.00000000
1771.61250000	0.39449573	1.00000000
1773.25500000	0.09679783	0.00000000
1777.64250000	0.00159948	0.00000000
1782.08500000	0.01305243	0.10000000
1783.91750000	0.00136396	0.00000000
1784.47500000	0.08868245	1.00000000
1786.70250000	0.00142322	0.00000000
1790.32250000	0.02259653	0.00000000
