DEPTH d	VALUE d	COUNT d
1367.46250000	0.00406802	0.00000000
1369.24000000	0.00267683	0.00000000
1370.40250000	0.00860066	0.10000000
1371.15250000	0.00502108	0.00000000
1372.29750000	0.00235765	0.00000000
1373.69750000	0.02853368	0.00000000
1374.48750000	0.98541935	1.00000000
1374.86000000	0.59060561	0.00000000
1375.83250000	0.00727996	0.00000000
1378.49500000	0.00378198	0.00000000
1382.64500000	0.00011585	0.00000000
1385.80750000	0.00930884	0.00000000
1387.32500000	0.01490104	0.10000000
1389.00500000	0.00023345	0.00000000
1390.98500000	0.00362222	0.00000000
1392.09250000	0.05865109	0.10000000
1392.47500000	0.02296798	0.00000000
1393.41750000	0.01574036	0.00000000
1395.00250000	0.01545458	0.00000000
1395.93750000	0.05876468	0.20000000
1396.22750000	0.02028447	0.00000000
1396.53500000	0.02538488	0.20000000
1397.66250000	0.00347303	0.00000000
1399.95750000	0.00497890	0.00000000
1401.99500000	0.00643323	0.10000000
1403.06750000	0.00478528	0.00000000
1403.70750000	0.00277895	0.00000000
1404.33750000	0.00606887	0.00000000
1404.96000000	0.05832137	0.00000000
1405.46250000	0.06702182	0.20000000
1406.42000000	0.00292740	0.00000000
1408.06250000	0.00017186	0.00000000
1409.93500000	0.00016217	0.00000000
1411.63000000	0.00131332	0.00000000
1412.72000000	0.00399604	0.00000000
1413.29750000	0.10880256	0.00000000
1413.68500000	0.14267166	1.00000000
1413.98750000	0.13398508	0.00000000
1414.24000000	0.12736138	0.00000000
1414.45000000	0.07135382	0.00000000
1414.75250000	0.01149654	0.00000000
1415.84000000	0.00739995	0.00000000
1419.17000000	0.00017022	0.00000000
1424.20500000	0.00034675	0.00000000
1428.13000000	0.00298976	0.00000000
1429.96000000	0.00383090	0.00000000
1430.65000000	0.01406333	0.10000000
1431.05500000	0.00580622	0.00000000
1431.50750000	0.10673110	1.00000000
1432.01750000	0.08954918	0.00000000
1432.46500000	0.56154929	1.00000000
1432.88500000	0.35737241	0.00000000
