DEPTH d	VALUE d	COUNT d
1374.16000000	18.31253086	0.00000000
1374.61500000	19.28142678	0.00000000
1374.67000000	20.96302708	0.00000000
1375.10500000	21.71075505	1.00000000
1375.54000000	19.82644178	1.00000000
1376.56000000	21.77437310	1.00000000
1383.28000000	20.55145940	0.00000000
1386.75500000	19.77046029	0.00000000
1386.75500000	19.77046029	0.90000000
1388.72000000	24.82731389	0.00000000
1391.85500000	30.37826583	0.00000000
1392.46000000	33.90597691	0.00000000
1392.62000000	34.18546733	0.90000000
1392.62000000	34.18546733	0.00000000
1392.62000000	34.18546733	0.00000000
1392.78000000	32.19629242	0.00000000
1392.78000000	32.19629242	0.90000000
1394.21500000	32.63010748	1.00000000
1395.93000000	31.65521458	0.00000000
1396.08500000	31.36216400	0.00000000
1396.37000000	29.71637685	1.00000000
1396.70000000	32.28961057	0.00000000
1396.90000000	32.80540436	1.00000000
1400.35000000	31.32359103	0.00000000
1401.29000000	29.75856209	0.00000000
1401.29000000	29.75856209	0.90000000
1402.70000000	30.63073775	0.00000000
1403.98000000	30.82915115	1.00000000
1405.22500000	27.57233939	1.00000000
1406.08000000	28.44439749	1.00000000
1408.98500000	27.74416700	0.00000000
1412.00000000	24.75685188	0.00000000
1412.00000000	24.75685188	0.00000000
1412.37500000	23.94405371	0.00000000
1412.37500000	23.94405371	0.90000000
1412.75000000	25.08697456	0.90000000
1412.75000000	25.08697456	0.00000000
1413.06500000	24.53231305	1.00000000
1413.48500000	25.53936126	1.00000000
1413.68000000	21.40198932	1.00000000
1414.00000000	22.52625522	1.00000000
1414.13500000	20.78478120	0.00000000
1414.13500000	20.78478120	0.00000000
1414.34500000	19.50326545	1.00000000
1414.42000000	20.86674704	0.00000000
1414.69000000	23.13919672	1.00000000
1424.97000000	20.31966458	0.00000000
1428.63000000	19.67222656	1.00000000
1430.83000000	20.92044269	1.00000000
1431.25500000	19.70706982	0.00000000
1431.46000000	18.68141342	0.00000000
1431.46000000	18.68141342	0.00000000
1431.46000000	18.68141342	0.00000000
1431.48000000	17.76661865	0.00000000
1431.48000000	17.76661865	0.00000000
1431.48000000	17.76661865	0.00000000
1431.48500000	16.44198326	0.00000000
1431.48500000	16.44198326	0.00000000
1431.48500000	16.44198326	0.90000000
1432.00000000	21.08994256	0.00000000
1432.29000000	22.32898385	0.00000000
1432.64000000	23.97434686	0.00000000
1434.26000000	25.24328305	0.00000000
1438.20000000	26.09943867	0.00000000
1441.59000000	27.83884206	1.00000000
1445.66000000	26.34844167	0.00000000
1447.46000000	25.13024903	1.00000000
1447.58000000	27.29516574	1.00000000
1447.86000000	27.26955857	0.00000000
1448.14000000	26.18803450	1.00000000
1448.21500000	26.34955040	0.00000000
1448.29000000	26.95013077	1.00000000
1449.81000000	24.05088377	1.00000000
1449.86000000	25.35797479	0.90000000
1449.86000000	25.35797479	0.00000000
1449.86000000	25.35797479	0.90000000
1449.91000000	26.74693117	1.00000000
1450.72500000	25.81177123	0.00000000
1451.01000000	24.88366689	0.00000000
1451.20000000	22.99059800	1.00000000
1451.51500000	24.87587670	1.00000000
1451.72500000	22.65089243	0.00000000
1456.30500000	20.37200880	0.00000000
1457.32000000	20.06419943	0.00000000
1462.84000000	16.26666467	0.00000000
1462.96000000	15.99143804	0.00000000
1465.36000000	15.51285441	1.00000000
1465.64500000	16.57420007	0.90000000
1465.64500000	16.57420007	0.90000000
1465.93000000	16.98862023	0.00000000
1468.81500000	18.06083187	1.00000000
1469.02000000	17.00438400	1.00000000
1469.20000000	19.59608580	0.00000000
1469.40500000	19.96208989	0.90000000
1469.40500000	19.96208989	0.00000000
1469.40500000	19.96208989	0.00000000
1469.40500000	19.96208989	0.90000000
1470.43000000	20.18545634	0.00000000
1470.94000000	21.19926613	0.00000000
1471.12000000	23.05307610	1.00000000
1471.90500000	20.95309823	0.00000000
1471.90500000	20.95309823	0.00000000
1471.90500000	20.95309823	0.90000000
1472.51000000	21.07188100	0.00000000
1475.32000000	24.08494961	0.00000000
1475.48000000	26.09139036	0.00000000
1476.85500000	29.80889032	1.00000000
1478.23000000	29.66644428	0.00000000
1482.34000000	23.02845186	1.00000000
1491.12000000	25.57384304	1.00000000
1493.85000000	24.45784457	0.00000000
1493.85000000	24.45784457	0.00000000
1493.85000000	24.45784457	0.90000000
1493.96000000	25.29154074	0.90000000
1493.96000000	25.29154074	0.00000000
1493.96000000	25.29154074	0.00000000
1493.96000000	25.29154074	0.00000000
1494.38500000	24.40125552	0.00000000
1494.38500000	24.40125552	0.00000000
1494.70000000	21.37687148	0.00000000
1494.70000000	21.37687148	0.00000000
1494.70000000	21.37687148	0.90000000
1502.79000000	26.91942436	1.00000000
1503.40500000	24.32225331	0.00000000
1504.02000000	21.90382198	0.00000000
1504.02000000	21.90382198	0.00000000
1504.02000000	21.90382198	0.00000000
1504.02000000	21.90382198	0.90000000
1507.40000000	24.82933018	1.00000000
1507.44000000	23.39774147	0.00000000
1507.71500000	21.07544802	0.00000000
1507.99000000	19.86908594	1.00000000
1508.08000000	21.54586997	0.90000000
1508.08000000	21.54586997	0.00000000
1508.17000000	21.28217095	1.00000000
1513.84000000	22.63154082	1.00000000
1514.33500000	20.87832476	1.00000000
1514.83000000	21.71515769	0.90000000
1514.83000000	21.71515769	0.00000000
1517.28500000	20.67294137	0.00000000
1517.28500000	20.67294137	0.90000000
1517.74000000	21.46015453	1.00000000
1520.16000000	19.73774772	1.00000000
1520.58000000	22.04125861	1.00000000
1521.97000000	16.28784080	0.00000000
1521.97000000	16.28784080	0.00000000
1521.97000000	16.28784080	0.00000000
1521.97000000	16.28784080	0.90000000
1524.39000000	22.93995636	1.00000000
1525.31000000	22.42593411	0.00000000
1525.31000000	22.42593411	0.90000000
1526.23000000	23.18715304	1.00000000
1527.86500000	20.45995630	0.00000000
1527.86500000	20.45995630	0.90000000
1529.59000000	20.59411699	0.00000000
1533.85000000	20.63054587	0.00000000
1533.87000000	22.86706794	0.90000000
1533.87000000	22.86706794	0.00000000
1533.89000000	22.50812735	1.00000000
1533.99000000	26.68802005	0.90000000
1533.99000000	26.68802005	0.00000000
1536.57000000	25.94831749	1.00000000
1539.15000000	26.72136615	0.90000000
1539.15000000	26.72136615	0.90000000
1540.10000000	35.80374613	0.00000000
1540.38500000	37.78264843	0.90000000
1540.38500000	37.78264843	0.00000000
1540.38500000	37.78264843	0.00000000
1549.33000000	26.14486779	0.00000000
1549.33000000	26.14486779	0.00000000
1550.80000000	24.70677928	0.00000000
1553.37000000	20.99956358	0.00000000
1553.42500000	19.50024440	0.00000000
1553.42500000	19.50024440	0.00000000
1553.50500000	19.27038925	0.00000000
1553.80000000	18.19329773	0.00000000
1555.14000000	15.70881277	0.00000000
1555.14000000	15.70881277	0.90000000
1556.00500000	18.35454414	0.00000000
1556.68000000	20.32410484	0.00000000
1561.00000000	20.53184995	1.00000000
1561.34000000	19.69119879	0.00000000
1561.39000000	18.83004485	0.00000000
1562.22500000	17.99054213	0.00000000
1563.06000000	17.71286461	0.00000000
1564.33000000	15.88551715	0.00000000
1564.75000000	15.42296526	1.00000000
1565.04000000	16.99279697	1.00000000
1566.00500000	16.84265961	0.00000000
1566.31500000	16.20977658	0.00000000
1569.32500000	15.00245475	1.00000000
1570.11000000	16.06922011	0.00000000
1570.22500000	16.73030606	0.90000000
1570.22500000	16.73030606	0.00000000
1570.22500000	16.73030606	0.00000000
1570.28000000	16.38494147	1.00000000
1571.32000000	17.49573705	0.90000000
1571.32000000	17.49573705	0.00000000
1571.63000000	16.24327684	0.00000000
1572.66000000	14.54399455	0.00000000
1573.03500000	13.33361859	0.00000000
1573.75000000	13.28692530	0.00000000
1573.75000000	13.28692530	0.90000000
1573.76500000	14.22513268	1.00000000
1573.87000000	14.10086324	0.00000000
1574.72000000	13.45149876	1.00000000
