DEPTH d	VALUE d	COUNT d
1374.16000000	43.78247683	0.00000000
1374.61500000	40.14893462	1.00000000
1374.67000000	40.40142147	1.00000000
1375.10500000	38.33883608	1.00000000
1375.54000000	39.87095932	1.00000000
1376.56000000	38.45065851	0.00000000
1383.28000000	37.83694945	1.00000000
1386.75500000	39.55393971	0.90000000
1386.75500000	39.55393971	0.00000000
1388.72000000	36.58824756	0.00000000
1391.85500000	32.96619363	0.00000000
1392.46000000	29.74824054	0.00000000
1392.62000000	29.64021349	0.00000000
1392.62000000	29.64021349	0.00000000
1392.62000000	29.64021349	0.90000000
1392.78000000	31.53730381	0.90000000
1392.78000000	31.53730381	0.00000000
1394.21500000	31.35267283	1.00000000
1395.93000000	32.51178014	0.00000000
1396.08500000	32.66773073	0.00000000
1396.37000000	34.26130885	1.00000000
1396.70000000	32.84949368	1.00000000
1396.90000000	32.94899652	0.00000000
1400.35000000	34.52452454	0.00000000
1401.29000000	36.09173163	0.90000000
1401.29000000	36.09173163	0.00000000
1402.70000000	35.05386348	0.00000000
1403.98000000	34.56679871	1.00000000
1405.22500000	38.24245852	0.00000000
1406.08000000	38.67582876	0.00000000
1408.98500000	39.29188597	0.00000000
1412.00000000	42.90717450	0.90000000
1412.00000000	42.90717450	0.90000000
1412.37500000	43.58445227	0.90000000
1412.37500000	43.58445227	0.00000000
1412.75000000	42.90872535	0.00000000
1412.75000000	42.90872535	0.90000000
1413.06500000	43.86860666	0.00000000
1413.48500000	45.93929477	0.00000000
1413.68000000	48.52076762	0.00000000
1414.00000000	48.58175716	0.00000000
1414.13500000	51.06363584	0.90000000
1414.13500000	51.06363584	0.00000000
1414.34500000	50.41815597	0.00000000
1414.42000000	49.48074090	0.00000000
1414.69000000	47.09430867	1.00000000
1424.97000000	48.50550177	0.00000000
1428.63000000	49.42834252	1.00000000
1430.83000000	47.84243825	0.00000000
1431.25500000	47.28890412	1.00000000
1431.46000000	48.41233635	0.90000000
1431.46000000	48.41233635	0.00000000
1431.46000000	48.41233635	0.90000000
1431.48000000	49.14431560	0.90000000
1431.48000000	49.14431560	0.00000000
1431.48000000	49.14431560	0.90000000
1431.48500000	50.26814588	0.90000000
1431.48500000	50.26814588	0.00000000
1431.48500000	50.26814588	0.00000000
1432.00000000	45.57351422	0.00000000
1432.29000000	44.15886492	0.00000000
1432.64000000	44.15825646	1.00000000
1434.26000000	46.16223783	1.00000000
1438.20000000	44.20692617	0.00000000
1441.59000000	43.06431888	1.00000000
1445.66000000	44.88648169	0.00000000
