DEPTH d	VALUE d	COUNT d
1367.46250000	0.00202057	0.00000000
1369.24000000	0.00438991	0.00000000
1370.40250000	0.01422222	0.10000000
1371.15250000	0.01366178	0.00000000
1372.29750000	0.00202089	0.00000000
1373.69750000	0.00068843	0.00000000
1374.48750000	0.07497399	1.00000000
1374.86000000	0.01975003	0.00000000
1375.83250000	0.00813848	0.00000000
1378.49500000	0.00108824	0.00000000
1382.64500000	0.00013906	0.00000000
1385.80750000	0.00997459	0.00000000
1387.32500000	0.01634867	0.20000000
1389.00500000	0.00009878	0.00000000
1390.98500000	0.00332439	0.00000000
1392.09250000	0.04948944	0.30000000
1392.47500000	0.01059889	0.00000000
1393.41750000	0.01776925	0.10000000
1395.00250000	0.01652423	0.00000000
1395.93750000	0.06954182	0.60000000
1396.22750000	0.02088986	0.00000000
1396.53500000	0.02583542	0.20000000
1397.66250000	0.00348098	0.00000000
1399.95750000	0.00457014	0.00000000
1401.99500000	0.00562472	0.10000000
1403.06750000	0.00306453	0.00000000
1403.70750000	0.00169658	0.00000000
1404.33750000	0.00366503	0.00000000
1404.96000000	0.06733364	0.60000000
1405.46250000	0.03316590	0.00000000
1406.42000000	0.01738555	0.00000000
1408.06250000	0.00007600	0.00000000
1409.93500000	0.00553349	0.10000000
1411.63000000	0.00519662	0.00000000
1412.72000000	0.03022912	0.00000000
1413.29750000	0.03244028	0.00000000
1413.68500000	0.14667165	1.00000000
1413.98750000	0.04603777	0.00000000
1414.24000000	0.09496396	1.00000000
1414.45000000	0.05350931	0.00000000
1414.75250000	0.01810983	0.00000000
1415.84000000	0.00854790	0.00000000
1419.17000000	0.00038590	0.00000000
1424.20500000	0.00125971	0.00000000
1428.13000000	0.00302954	0.00000000
1429.96000000	0.00311264	0.00000000
1430.65000000	0.01264020	0.10000000
1431.05500000	0.00409771	0.00000000
1431.50750000	0.00071050	0.00000000
1432.01750000	0.00257868	0.00000000
1432.46500000	0.28853622	1.00000000
1432.88500000	0.18927785	0.00000000
1433.69500000	0.00827483	0.00000000
1435.42000000	0.00208113	0.00000000
1438.23750000	0.00099932	0.00000000
