DEPTH d	VALUE d	COUNT d
1367.46250000	0.00846198	0.00000000
1369.24000000	0.05799869	0.00000000
1370.40250000	0.12376793	1.00000000
1371.15250000	0.04629202	0.00000000
1372.29750000	0.02809242	0.00000000
1373.69750000	0.03078203	0.00000000
1374.48750000	0.38947819	1.00000000
1374.86000000	0.27179080	0.00000000
1375.83250000	0.00684422	0.00000000
1378.49500000	0.00042680	0.00000000
1382.64500000	0.00280549	0.00000000
1385.80750000	0.01440141	0.00000000
1387.32500000	0.02814302	0.10000000
1389.00500000	0.00141484	0.00000000
1390.98500000	0.01074259	0.00000000
1392.09250000	0.04250250	0.10000000
1392.47500000	0.00298164	0.00000000
1393.41750000	0.03032776	0.00000000
1395.00250000	0.04123124	0.00000000
1395.93750000	0.26839077	1.00000000
1396.22750000	0.03828469	0.00000000
1396.53500000	0.03918754	0.00000000
1397.66250000	0.07158687	0.20000000
1399.95750000	0.00150082	0.00000000
1401.99500000	0.01872059	0.00000000
1403.06750000	0.02454068	0.10000000
1403.70750000	0.02417035	0.00000000
1404.33750000	0.01927211	0.00000000
1404.96000000	0.21081525	0.00000000
1405.46250000	0.26183006	1.00000000
1406.42000000	0.02124500	0.00000000
1408.06250000	0.02166045	0.10000000
1409.93500000	0.00127843	0.00000000
1411.63000000	0.03956780	0.00000000
1412.72000000	0.07657249	0.40000000
1413.29750000	0.06922075	0.00000000
1413.68500000	0.06940636	0.20000000
1413.98750000	0.03140534	0.00000000
1414.24000000	0.23668815	1.00000000
1414.45000000	0.08886252	0.00000000
1414.75250000	0.15799673	1.00000000
1415.84000000	0.01517463	0.00000000
1419.17000000	0.00138480	0.00000000
1424.20500000	0.00010154	0.00000000
1428.13000000	0.00186259	0.00000000
1429.96000000	0.07489977	0.00000000
1430.65000000	0.08407465	0.00000000
1431.05500000	0.25099202	0.00000000
1431.50750000	0.29421162	1.00000000
1432.01750000	0.09237883	0.00000000
1432.46500000	0.03405331	0.00000000
1432.88500000	0.09950541	0.90000000
1433.69500000	0.00815906	0.00000000
1435.42000000	0.00162559	0.00000000
1438.23750000	0.00350642	0.10000000
1441.37500000	0.00021241	0.00000000
1443.87250000	0.01658588	0.10000000
1445.46250000	0.00611019	0.00000000
1446.26750000	0.00385566	0.00000000
1446.68000000	0.01674393	0.00000000
1447.07750000	0.03902764	0.00000000
1447.40750000	0.34892141	1.00000000
1447.69000000	0.22391266	0.00000000
1448.03750000	0.53502104	1.00000000
1448.63250000	0.23553986	0.00000000
1449.45500000	0.28100677	0.00000000
1450.01750000	0.57630385	1.00000000
1450.45000000	0.05859152	0.00000000
1450.91500000	0.10622907	0.00000000
1451.21250000	0.23387102	1.00000000
1451.41750000	0.13288448	0.00000000
1451.62000000	0.03161084	0.00000000
1452.82250000	0.01534681	0.00000000
1455.11250000	0.01345176	0.00000000
1456.64000000	0.04051393	0.00000000
1457.22250000	0.10258248	0.90000000
1458.70000000	0.00460345	0.00000000
1461.23500000	0.01042924	0.00000000
1462.73500000	0.09854198	1.00000000
1463.24500000	0.09281642	0.00000000
