DEPTH d	VALUE d	COUNT d
1374.16000000	52.60256953	0.00000000
1374.61500000	48.93442255	0.00000000
1374.67000000	48.78400628	0.00000000
1375.10500000	47.00315240	1.00000000
1375.54000000	48.63346536	1.00000000
1376.56000000	46.97573756	0.00000000
1383.28000000	46.82744948	1.00000000
1386.75500000	49.14408288	0.90000000
1386.75500000	49.14408288	0.00000000
1388.72000000	46.31856629	0.00000000
1391.85500000	42.76790369	0.00000000
1392.46000000	39.59437891	1.00000000
1392.62000000	39.79835570	0.90000000
1392.62000000	39.79835570	0.00000000
1392.62000000	39.79835570	0.90000000
1392.78000000	41.75432318	0.90000000
1392.78000000	41.75432318	0.00000000
1394.21500000	41.56089648	1.00000000
1395.93000000	42.96752284	0.00000000
1396.08500000	42.98838166	0.00000000
1396.37000000	44.52171275	1.00000000
1396.70000000	43.12607473	1.00000000
1396.90000000	43.37241487	0.00000000
1400.35000000	44.76958897	0.00000000
1401.29000000	46.34663877	0.90000000
1401.29000000	46.34663877	0.00000000
1402.70000000	45.12828743	0.00000000
1403.98000000	44.53502494	1.00000000
1405.22500000	48.14667875	0.00000000
1406.08000000	48.21433539	0.00000000
1408.98500000	48.84514856	0.00000000
1412.00000000	52.40464239	0.90000000
1412.00000000	52.40464239	0.90000000
1412.37500000	53.12584452	0.90000000
1412.37500000	53.12584452	0.00000000
1412.75000000	52.33652745	0.00000000
1412.75000000	52.33652745	0.90000000
1413.06500000	53.25535155	0.00000000
1413.48500000	54.90614069	0.00000000
1413.68000000	57.89372709	1.00000000
1414.00000000	57.87550736	1.00000000
1414.13500000	60.37740829	0.90000000
1414.13500000	60.37740829	0.00000000
1414.34500000	59.98052653	0.00000000
1414.42000000	58.93725343	0.00000000
1414.69000000	56.50388956	1.00000000
1424.97000000	58.23801818	0.00000000
1428.63000000	59.08815239	1.00000000
1430.83000000	57.46874782	0.00000000
1431.25500000	57.23305609	1.00000000
1431.46000000	58.33560492	0.90000000
1431.46000000	58.33560492	0.00000000
1431.46000000	58.33560492	0.90000000
1431.48000000	59.14344238	0.90000000
1431.48000000	59.14344238	0.00000000
1431.48000000	59.14344238	0.90000000
1431.48500000	60.33154602	0.90000000
1431.48500000	60.33154602	0.00000000
1431.48500000	60.33154602	0.00000000
1432.00000000	55.60302879	0.00000000
1432.29000000	54.18700786	0.00000000
1432.64000000	53.78442012	1.00000000
1434.26000000	55.18361439	1.00000000
1438.20000000	53.28555035	0.00000000
1441.59000000	51.91593550	1.00000000
1445.66000000	53.71334306	0.00000000
1447.46000000	56.32803473	1.00000000
1447.58000000	54.31817473	1.00000000
1447.86000000	54.88774872	0.00000000
1448.14000000	56.38163588	1.00000000
1448.21500000	55.76648438	0.00000000
1448.29000000	54.35922696	1.00000000
1449.81000000	56.79304089	1.00000000
1449.86000000	55.95583953	0.00000000
1449.86000000	55.95583953	0.00000000
1449.86000000	55.95583953	0.00000000
1449.91000000	55.06271483	1.00000000
1450.72500000	55.95307635	0.00000000
1451.01000000	56.63315721	0.00000000
1451.20000000	58.89492925	0.00000000
1451.51500000	59.73975045	0.00000000
1451.72500000	60.04318405	1.00000000
1456.30500000	59.59851377	1.00000000
1457.32000000	61.56059850	0.00000000
1462.84000000	62.79451322	0.00000000
1462.96000000	63.00773927	1.00000000
1465.36000000	62.22628102	0.00000000
1465.64500000	60.89467910	0.00000000
1465.64500000	60.89467910	0.00000000
1465.93000000	60.23926236	0.00000000
1468.81500000	59.95016821	1.00000000
1469.02000000	61.46412671	1.00000000
1469.20000000	59.04942394	0.00000000
1469.40500000	58.20380298	0.00000000
1469.40500000	58.20380298	0.00000000
1469.40500000	58.20380298	0.00000000
1469.40500000	58.20380298	0.00000000
1470.43000000	57.44423281	0.00000000
1470.94000000	56.49514285	0.00000000
1471.12000000	54.95041559	1.00000000
1471.90500000	55.03598718	0.90000000
1471.90500000	55.03598718	0.00000000
1471.90500000	55.03598718	0.00000000
1472.51000000	54.57206808	0.00000000
1475.32000000	54.40458575	0.00000000
1475.48000000	53.77663034	0.00000000
1476.85500000	50.92642622	1.00000000
1478.23000000	53.32232314	0.00000000
1482.34000000	56.71929342	0.00000000
1491.12000000	57.78049477	0.00000000
1493.85000000	58.74189730	0.90000000
1493.85000000	58.74189730	0.00000000
1493.85000000	58.74189730	0.90000000
1493.96000000	61.18350923	0.90000000
1493.96000000	61.18350923	0.00000000
1493.96000000	61.18350923	0.00000000
1493.96000000	61.18350923	0.90000000
1494.38500000	63.53468350	0.90000000
1494.38500000	63.53468350	0.00000000
1494.70000000	61.57078409	0.00000000
1494.70000000	61.57078409	0.00000000
1494.70000000	61.57078409	0.90000000
1502.79000000	62.01456671	0.00000000
1503.40500000	63.48088786	1.00000000
1504.02000000	62.67572782	0.00000000
1504.02000000	62.67572782	0.00000000
1504.02000000	62.67572782	0.00000000
1504.02000000	62.67572782	0.00000000
1507.40000000	61.06376273	0.00000000
1507.44000000	60.70435584	1.00000000
1507.71500000	61.80150619	1.00000000
1507.99000000	61.62186178	0.00000000
1508.08000000	58.17202817	0.00000000
1508.08000000	58.17202817	0.00000000
1508.17000000	57.81314433	0.00000000
1513.84000000	55.53634543	1.00000000
1514.33500000	56.96575692	1.00000000
1514.83000000	55.76123858	0.00000000
1514.83000000	55.76123858	0.90000000
1517.28500000	58.75353835	0.90000000
1517.28500000	58.75353835	0.00000000
1517.74000000	57.54458262	0.00000000
1520.16000000	56.35919050	0.00000000
1520.58000000	53.93426125	1.00000000
1521.97000000	59.10110061	0.90000000
1521.97000000	59.10110061	0.00000000
1521.97000000	59.10110061	0.00000000
1521.97000000	59.10110061	0.00000000
1524.39000000	51.64377632	1.00000000
1525.31000000	51.99155077	0.90000000
1525.31000000	51.99155077	0.00000000
1526.23000000	51.06682854	1.00000000
1527.86500000	54.05883191	0.90000000
1527.86500000	54.05883191	0.00000000
1529.59000000	53.75606172	1.00000000
1533.85000000	54.34467677	1.00000000
1533.87000000	52.02371823	0.00000000
1533.87000000	52.02371823	0.90000000
1533.89000000	52.76763063	1.00000000
1533.99000000	48.83264213	0.00000000
1533.99000000	48.83264213	0.90000000
1536.57000000	49.72252331	1.00000000
1539.15000000	48.35674695	0.00000000
1539.15000000	48.35674695	0.00000000
1540.10000000	38.80339319	0.00000000
1540.38500000	36.71366557	0.00000000
1540.38500000	36.71366557	0.00000000
1540.38500000	36.71366557	0.90000000
1549.33000000	49.16816416	0.90000000
1549.33000000	49.16816416	0.00000000
1550.80000000	49.14298950	1.00000000
1553.37000000	51.69138863	0.00000000
1553.42500000	52.80577773	0.90000000
1553.42500000	52.80577773	0.00000000
