DEPTH d	VALUE d	COUNT d
1370.43000000	0.00156097	0.00000000
1373.25000000	0.01633513	0.00000000
1374.38000000	0.02088722	0.00000000
1374.54750000	0.75769981	1.00000000
1374.73750000	0.55273359	0.00000000
1375.07750000	0.02267685	0.00000000
1375.76250000	0.00451744	0.00000000
1378.99750000	0.00184664	0.00000000
1384.25000000	0.00227008	0.00000000
1388.13250000	0.00387999	0.10000000
1392.02750000	0.00002306	0.00000000
1395.71750000	0.02207723	0.00000000
1397.27000000	0.06813535	0.90000000
1398.47500000	0.00092818	0.00000000
1400.70000000	0.00030933	0.00000000
1402.98750000	0.01285279	0.00000000
1404.27250000	0.03140886	0.20000000
1406.09750000	0.00103658	0.00000000
1409.40250000	0.00005905	0.00000000
1412.16250000	0.00137231	0.00000000
1413.29750000	0.05201555	0.00000000
1413.68500000	0.06820745	0.80000000
1414.94500000	0.00205085	0.00000000
1417.11250000	0.04061490	0.20000000
1419.89250000	0.02519862	0.00000000
1423.43750000	0.00053434	0.00000000
1426.18000000	0.00064445	0.00000000
1428.17750000	0.00163816	0.00000000
1429.68000000	0.01412227	0.00000000
1430.38500000	0.01683757	0.10000000
1430.96500000	0.00557766	0.00000000
1431.64750000	0.00154553	0.00000000
1432.33750000	0.14019336	1.00000000
1434.04500000	0.03386813	0.00000000
1437.67250000	0.00034623	0.00000000
1442.12750000	0.00005074	0.00000000
1446.45000000	0.00008242	0.00000000
1449.45250000	0.00643804	0.10000000
1450.67750000	0.00462848	0.00000000
1451.12500000	0.47265871	0.00000000
1451.32000000	0.75310130	1.00000000
1451.44750000	0.29183038	0.00000000
1452.67000000	0.00516227	0.00000000
1455.25750000	0.00139871	0.00000000
1457.08000000	0.08337191	0.90000000
1458.89500000	0.02343888	0.00000000
1461.94000000	0.00372527	0.00000000
1463.98000000	0.01932459	0.00000000
1464.63750000	0.03344153	0.10000000
1465.15750000	0.00661154	0.00000000
1466.33750000	0.00568004	0.00000000
1468.03250000	0.02452412	0.10000000
1468.97000000	0.00915873	0.00000000
1469.25750000	0.03393556	0.00000000
1469.73000000	0.03588307	0.10000000
1470.36250000	0.02297947	0.00000000
1470.78000000	0.35109608	1.00000000
1471.00500000	0.34920151	0.00000000
1473.08000000	0.00539003	0.00000000
1477.10750000	0.00239676	0.00000000
1482.94250000	0.00129590	0.00000000
1491.85750000	0.00030622	0.00000000
1499.24000000	0.00009459	0.00000000
1503.43250000	0.00065534	0.00000000
1506.73500000	0.02030317	0.00000000
1508.30000000	0.06980242	1.00000000
1508.91750000	0.01025924	0.00000000
1510.94000000	0.00482539	0.00000000
1514.27750000	0.00125715	0.00000000
1516.35500000	0.03689440	0.30000000
1517.54000000	0.01849247	0.00000000
1519.20000000	0.00991298	0.00000000
1520.56000000	0.01472587	0.20000000
1522.13000000	0.00138870	0.00000000
1524.09750000	0.00689842	0.10000000
1526.22250000	0.00491890	0.00000000
1528.44000000	0.00558160	0.10000000
1531.93250000	0.00255046	0.00000000
1537.20000000	0.00017522	0.00000000
1540.47500000	0.01978352	0.20000000
1541.58500000	0.01231887	0.00000000
1544.15000000	0.00117791	0.00000000
1547.79000000	0.00209679	0.00000000
1550.64500000	0.00266776	0.00000000
1552.73500000	0.02490225	0.00000000
1554.06750000	0.05773374	1.00000000
1555.09000000	0.00020894	0.00000000
1556.09500000	0.02388361	0.00000000
1556.77500000	0.02981222	0.10000000
1558.22250000	0.00087651	0.00000000
1560.35750000	0.00980770	0.10000000
1562.34750000	0.00957086	0.00000000
1564.37500000	0.07164682	0.00000000
1565.66000000	0.26429455	1.00000000
1566.18500000	0.13949038	0.00000000
1566.81250000	0.09556454	0.00000000
1567.63000000	0.01011767	0.00000000
1568.26750000	0.01689910	0.00000000
1568.89000000	0.02639118	0.00000000
1569.71750000	0.15023688	0.00000000
1570.42750000	0.17774760	1.00000000
1571.41000000	0.00384996	0.00000000
1572.55500000	0.01223366	0.00000000
1573.27250000	0.01976892	0.10000000
1573.81250000	0.01294282	0.00000000
1574.37000000	0.01188690	0.00000000
1574.84250000	0.00997262	0.00000000
1575.24000000	0.00923564	0.00000000
1578.94750000	0.00138230	0.00000000
1585.98500000	0.00214813	0.00000000
1589.64250000	0.01047591	0.00000000
1590.08000000	0.01315171	0.10000000
1590.79250000	0.01027892	0.00000000
1592.03500000	0.00135723	0.00000000
1594.25250000	0.00085004	0.00000000
1596.51000000	0.04140060	0.00000000
1597.43250000	1.00000000	1.00000000
1597.71750000	0.41822893	0.00000000
1598.21750000	0.01291135	0.00000000
1598.71750000	0.03500698	0.00000000
1599.17750000	0.03611643	0.10000000
1599.61000000	0.03197454	0.00000000
1601.33750000	0.01013250	0.00000000
1604.37000000	0.00576277	0.00000000
1606.12000000	0.02038552	0.00000000
1606.70000000	0.02184811	0.00000000
1607.38000000	0.02557102	0.20000000
1608.01750000	0.02481593	0.00000000
1608.48000000	0.01423211	0.00000000
1608.85500000	0.02720166	0.20000000
1609.55500000	0.00883014	0.00000000
1610.52250000	0.00143112	0.00000000
1611.15500000	0.03987249	0.40000000
1611.49000000	0.02717561	0.00000000
1611.98000000	0.03035551	0.20000000
1612.69250000	0.00085694	0.00000000
1613.36250000	0.02150021	0.20000000
1614.15500000	0.01898814	0.00000000
1615.21500000	0.01144935	0.00000000
1616.41750000	0.00970630	0.00000000
1618.91500000	0.00030076	0.00000000
1623.44500000	0.00023644	0.00000000
1627.61750000	0.00100718	0.00000000
1629.52500000	0.00682746	0.00000000
1630.50250000	0.00807182	0.00000000
1632.00750000	0.00935244	0.10000000
1634.52000000	0.00004484	0.00000000
1636.99500000	0.00509425	0.10000000
1639.29500000	0.00276212	0.00000000
1642.53750000	0.00021847	0.00000000
1644.94750000	0.01215903	0.00000000
1645.59500000	0.04673471	0.00000000
1645.79500000	0.41660638	1.00000000
1648.66250000	0.01717949	0.00000000
1654.40750000	0.00200889	0.00000000
1659.18000000	0.00330765	0.00000000
1662.57000000	0.02352728	0.00000000
1664.30250000	0.25545332	1.00000000
1664.99000000	0.00041334	0.00000000
1670.31500000	0.00079679	0.10000000
