DEPTH d	VALUE d	COUNT d
1374.86000000	3.55253365	0.00000000
1375.05000000	3.42229556	0.00000000
1375.05000000	3.42229556	0.00000000
1375.05000000	3.42229556	0.90000000
1375.29500000	4.07221932	0.90000000
1375.29500000	4.07221932	0.90000000
1375.54000000	5.00970509	0.90000000
1375.54000000	5.00970509	0.90000000
1386.61000000	9.28146346	0.00000000
1386.86000000	18.29272497	0.00000000
1394.52500000	18.47335311	0.90000000
1394.52500000	18.47335311	0.00000000
1396.85000000	15.44824515	0.00000000
1396.85000000	15.44824515	0.00000000
1396.91000000	13.69052763	0.00000000
1396.91000000	13.69052763	0.00000000
1396.91000000	13.69052763	0.00000000
1397.63000000	11.55913258	0.00000000
1397.63000000	11.55913258	0.00000000
1398.29000000	9.95625429	0.00000000
1400.35000000	6.86329821	0.00000000
1400.35000000	6.86329821	0.00000000
1400.35000000	6.86329821	0.00000000
1402.08000000	5.67286668	0.00000000
1402.08000000	5.67286668	0.00000000
1402.08000000	5.67286668	0.90000000
1403.98000000	6.37038659	1.00000000
1407.54500000	2.94727670	0.00000000
1407.54500000	2.94727670	0.00000000
1407.54500000	2.94727670	0.00000000
1411.21000000	0.25159018	0.00000000
1411.21000000	0.25159018	0.90000000
1412.75000000	1.93062991	0.90000000
1412.75000000	1.93062991	0.00000000
1413.06500000	1.34692586	0.00000000
1413.06500000	1.34692586	0.00000000
1413.06500000	1.34692586	0.90000000
1413.53000000	2.36633088	1.00000000
1413.84000000	2.20761798	0.00000000
1416.05000000	1.51610297	0.00000000
1416.05000000	1.51610297	0.00000000
1416.05000000	1.51610297	0.90000000
1418.10000000	2.11376954	1.00000000
1418.25000000	0.87767342	0.00000000
1421.61000000	0.62951197	1.00000000
1425.26500000	1.33046136	0.00000000
1429.26000000	3.25911800	0.00000000
1430.10000000	3.31150051	1.00000000
1430.31000000	2.34901103	0.00000000
1430.31000000	2.34901103	0.00000000
1430.31000000	2.34901103	0.00000000
1430.31000000	2.34901103	0.90000000
1431.24500000	2.45905039	0.90000000
1431.24500000	2.45905039	0.00000000
1431.24500000	2.45905039	0.00000000
1431.46000000	2.27279822	0.00000000
1431.46000000	2.27279822	0.00000000
1431.46000000	2.27279822	0.90000000
1431.48000000	2.58886837	0.00000000
1431.48500000	4.16701065	0.90000000
1431.48500000	4.16701065	0.00000000
1431.49000000	3.76291482	0.00000000
1432.03500000	3.22695402	1.00000000
1432.64000000	3.52901039	1.00000000
1435.45000000	0.98330274	1.00000000
1450.78000000	3.35969980	0.00000000
1451.12000000	3.86649520	0.90000000
1451.12000000	3.86649520	0.00000000
1451.12000000	3.86649520	0.00000000
1451.12000000	3.86649520	0.90000000
1451.16000000	4.87183555	1.00000000
1451.26000000	4.86606746	1.00000000
1451.32000000	5.28541490	0.90000000
1451.32000000	5.28541490	0.00000000
1451.32000000	5.28541490	0.90000000
1451.38000000	5.79078562	0.90000000
1451.38000000	5.79078562	0.00000000
1451.44000000	4.84682606	1.00000000
1451.59000000	5.35419978	0.00000000
1456.06000000	6.23424124	0.90000000
1456.06000000	6.23424124	0.90000000
1456.69000000	6.60622433	1.00000000
1457.32000000	6.59619559	0.00000000
1463.02000000	4.01856789	0.00000000
1464.70000000	3.49958941	1.00000000
1468.64000000	4.02226755	0.90000000
1468.64000000	4.02226755	0.00000000
1468.64000000	4.02226755	0.00000000
1468.64000000	4.02226755	0.00000000
1468.64000000	4.02226755	0.00000000
1468.83000000	3.22532566	1.00000000
1469.11000000	3.68792987	1.00000000
1469.20000000	3.25449085	1.00000000
1469.40500000	4.25380967	0.90000000
1469.40500000	4.25380967	0.00000000
1469.40500000	4.25380967	0.00000000
1469.40500000	4.25380967	0.90000000
1469.61000000	5.07000092	1.00000000
1470.50000000	3.90218367	0.00000000
1470.84000000	3.01790492	0.00000000
1470.84000000	3.01790492	0.00000000
1470.84000000	3.01790492	0.00000000
1470.89000000	2.68227902	1.00000000
1471.30000000	6.20173038	0.00000000
1479.17500000	8.83148829	0.00000000
1479.57000000	13.33031312	0.90000000
1479.57000000	13.33031312	0.00000000
1486.71000000	10.49648341	0.00000000
1486.71000000	10.49648341	0.00000000
1486.71000000	10.49648341	0.00000000
1486.71000000	10.49648341	0.00000000
1486.71000000	10.49648341	0.90000000
1493.85000000	11.71478319	1.00000000
1493.85000000	5.03000000	1.00000000
1500.16000000	7.48624050	0.90000000
1500.16000000	7.48624050	0.00000000
1501.47500000	5.85243150	0.00000000
1501.47500000	5.85243150	0.00000000
1501.47500000	5.85243150	0.00000000
1501.47500000	5.85243150	0.00000000
1501.47500000	5.85243150	0.00000000
1502.79000000	4.10297350	0.00000000
1507.99000000	3.60514437	0.00000000
1508.08000000	2.26304203	0.00000000
1508.08000000	2.26304203	0.00000000
1508.08000000	2.26304203	0.00000000
1508.08000000	2.26304203	0.00000000
1508.17000000	2.11301461	0.00000000
1508.17000000	2.11301461	0.00000000
1508.52000000	2.09478222	0.00000000
1509.31500000	1.57401454	0.00000000
1509.31500000	1.57401454	0.00000000
1509.31500000	1.57401454	0.90000000
1509.76000000	3.27560848	0.00000000
1515.37000000	3.75277696	1.00000000
1515.99000000	3.34917073	1.00000000
1516.61000000	4.43913913	0.90000000
1516.61000000	4.43913913	0.90000000
1516.72000000	4.65701049	0.00000000
1516.83000000	5.52917686	0.90000000
1516.83000000	5.52917686	0.90000000
1518.36000000	7.05538924	0.00000000
1520.04000000	7.31175025	1.00000000
1524.39000000	6.87005239	0.00000000
1524.39000000	6.87005239	0.00000000
1524.39000000	6.87005239	0.00000000
1524.39000000	6.87005239	0.00000000
1524.39000000	6.87005239	0.00000000
1524.39000000	6.87005239	0.90000000
1525.01500000	7.49333727	0.00000000
1527.43000000	8.85874506	0.90000000
1527.43000000	8.85874506	0.00000000
1527.43000000	8.85874506	0.00000000
1529.36000000	7.07950687	0.00000000
1529.54500000	6.97521420	1.00000000
1529.68000000	8.05375351	0.90000000
1529.68000000	8.05375351	0.00000000
1534.41500000	5.99448834	0.00000000
1539.15000000	5.95549243	0.00000000
1539.98500000	4.89889760	0.00000000
1539.98500000	4.89889760	0.00000000
1539.98500000	4.89889760	0.90000000
1540.82000000	5.33595072	0.00000000
1541.11000000	5.51736532	0.00000000
1542.20500000	7.59287156	0.90000000
1542.20500000	7.59287156	0.00000000
1542.20500000	7.59287156	0.00000000
1546.09500000	4.70519061	0.00000000
1546.09500000	4.70519061	0.00000000
1548.89000000	4.05917342	1.00000000
1551.80500000	4.31826178	1.00000000
1553.53000000	4.01964474	0.00000000
1553.53000000	4.01964474	0.90000000
1553.66500000	4.09973168	1.00000000
1553.80000000	4.09829265	0.00000000
1556.28000000	2.48913939	0.00000000
1556.28000000	2.48913939	0.90000000
1556.45000000	2.72232899	0.90000000
1556.45000000	2.72232899	0.90000000
1556.68000000	4.09229216	1.00000000
1557.46000000	3.30082248	1.00000000
1559.37500000	3.50707601	0.00000000
1561.39000000	3.61423390	0.90000000
1561.39000000	3.61423390	0.00000000
1565.27500000	1.50139885	1.00000000
1565.32000000	1.58564368	1.00000000
1565.39500000	0.99772804	1.00000000
1566.51000000	1.37138610	0.00000000
1568.08000000	2.44723250	0.00000000
1569.32500000	2.62088744	1.00000000
1570.17000000	2.29174675	1.00000000
1570.74500000	2.38142705	0.90000000
1570.74500000	2.38142705	0.00000000
