DEPTH d	VALUE d	COUNT d
1370.43000000	0.00057737	0.00000000
1373.25000000	0.04634821	0.00000000
1374.38000000	0.26742194	0.00000000
1374.54750000	1.00000000	1.00000000
1374.73750000	0.56762188	0.00000000
1375.07750000	0.06073253	0.00000000
1375.76250000	0.00659092	0.00000000
1378.99750000	0.00147051	0.00000000
1384.25000000	0.02118791	0.00000000
1388.13250000	0.03646041	0.10000000
1392.02750000	0.00007709	0.00000000
1395.71750000	0.00449441	0.00000000
1397.27000000	0.01822977	0.10000000
1398.47500000	0.00036527	0.00000000
1400.70000000	0.00114182	0.00000000
1402.98750000	0.04156861	0.00000000
1404.27250000	0.10454662	1.00000000
1406.09750000	0.00066892	0.00000000
1409.40250000	0.00028065	0.00000000
1412.16250000	0.00473417	0.00000000
1413.29750000	0.08437532	0.00000000
1413.68500000	0.08460156	1.00000000
1414.94500000	0.01013632	0.00000000
1417.11250000	0.01161641	0.10000000
1419.89250000	0.00724639	0.00000000
1423.43750000	0.00417794	0.00000000
1426.18000000	0.00900712	0.10000000
1428.17750000	0.00494406	0.00000000
1429.68000000	0.01101040	0.10000000
1430.38500000	0.00405810	0.00000000
1430.96500000	0.05778627	0.90000000
1431.64750000	0.03058688	0.00000000
1432.33750000	0.09713646	1.00000000
1434.04500000	0.02409927	0.00000000
1437.67250000	0.00017083	0.00000000
1442.12750000	0.00020091	0.00000000
1446.45000000	0.00029553	0.00000000
1449.45250000	0.00032955	0.00000000
1450.67750000	0.01059949	0.00000000
1451.12500000	0.13078134	0.00000000
1451.32000000	0.26908072	0.00000000
1451.44750000	0.31030629	1.00000000
1452.67000000	0.02200104	0.00000000
1455.25750000	0.00087335	0.00000000
1457.08000000	0.01855104	0.10000000
1458.89500000	0.00488959	0.00000000
1461.94000000	0.00274082	0.00000000
1463.98000000	0.00170550	0.00000000
1464.63750000	0.00738884	0.00000000
1465.15750000	0.01480679	0.10000000
1466.33750000	0.00186303	0.00000000
1468.03250000	0.00855076	0.00000000
1468.97000000	0.25823824	1.00000000
1469.25750000	0.18856087	0.00000000
1469.73000000	0.02150892	0.00000000
1470.36250000	0.01347442	0.00000000
1470.78000000	0.04997585	0.00000000
1471.00500000	0.11456562	1.00000000
1473.08000000	0.01132700	0.00000000
1477.10750000	0.00000968	0.00000000
1482.94250000	0.00012545	0.10000000
1491.85750000	0.00008071	0.00000000
1499.24000000	0.00003903	0.00000000
1503.43250000	0.00034633	0.00000000
1506.73500000	0.02620830	0.00000000
1508.30000000	0.15138439	1.00000000
1508.91750000	0.00373877	0.00000000
1510.94000000	0.00060811	0.00000000
1514.27750000	0.00113927	0.00000000
1516.35500000	0.00447505	0.10000000
1517.54000000	0.00239471	0.00000000
1519.20000000	0.00106172	0.00000000
1520.56000000	0.00698649	0.10000000
1522.13000000	0.00165678	0.00000000
1524.09750000	0.00021085	0.00000000
1526.22250000	0.00147841	0.10000000
1528.44000000	0.00102644	0.00000000
1531.93250000	0.00033385	0.00000000
1537.20000000	0.00031750	0.00000000
1540.47500000	0.00178534	0.00000000
1541.58500000	0.00273649	0.10000000
1544.15000000	0.00056956	0.00000000
1547.79000000	0.00033290	0.00000000
1550.64500000	0.00055843	0.00000000
1552.73500000	0.03273206	0.00000000
1554.06750000	0.06559832	1.00000000
1555.09000000	0.00300926	0.00000000
1556.09500000	0.00789629	0.10000000
1556.77500000	0.00113729	0.00000000
1558.22250000	0.00697663	0.00000000
1560.35750000	0.07166792	1.00000000
1562.34750000	0.07063199	0.00000000
1564.37500000	0.02688440	0.00000000
1565.66000000	0.10530837	1.00000000
1566.18500000	0.03279681	0.00000000
1566.81250000	0.01720067	0.00000000
1567.63000000	0.00336511	0.00000000
1568.26750000	0.03995547	0.90000000
1568.89000000	0.01491756	0.00000000
1569.71750000	0.10582131	0.00000000
1570.42750000	0.12310647	1.00000000
1571.41000000	0.00560837	0.00000000
1572.55500000	0.00369134	0.00000000
1573.27250000	0.00025906	0.00000000
1573.81250000	0.01954401	0.10000000
1574.37000000	0.01475034	0.00000000
1574.84250000	0.01636949	0.00000000
1575.24000000	0.04033809	0.90000000
1578.94750000	0.00233156	0.00000000
1585.98500000	0.00766768	0.00000000
1589.64250000	0.17926730	1.00000000
1590.08000000	0.00037901	0.00000000
1590.79250000	0.00611491	0.10000000
1592.03500000	0.00343412	0.00000000
1594.25250000	0.00034720	0.00000000
1596.51000000	0.06225921	0.00000000
1597.43250000	0.63125440	1.00000000
1597.71750000	0.06321584	0.00000000
1598.21750000	0.00532159	0.00000000
1598.71750000	0.00899023	0.00000000
1599.17750000	0.03769519	0.00000000
1599.61000000	0.05360848	0.90000000
1601.33750000	0.00117243	0.00000000
1604.37000000	0.00319666	0.00000000
1606.12000000	0.01824613	0.00000000
1606.70000000	0.02253409	0.10000000
1607.38000000	0.00853079	0.00000000
1608.01750000	0.04517064	1.00000000
1608.48000000	0.02079335	0.00000000
1608.85500000	0.08795641	1.00000000
1609.55500000	0.05352791	0.00000000
1610.52250000	0.03666767	0.00000000
1611.15500000	0.07942138	0.00000000
1611.49000000	0.16363078	1.00000000
1611.98000000	0.09061261	0.00000000
1612.69250000	0.00542827	0.00000000
1613.36250000	0.02080673	0.00000000
1614.15500000	0.02146839	0.10000000
1615.21500000	0.00504039	0.00000000
1616.41750000	0.00264477	0.00000000
1618.91500000	0.00071474	0.00000000
1623.44500000	0.00002630	0.00000000
1627.61750000	0.00560123	0.00000000
1629.52500000	0.01156668	0.10000000
1630.50250000	0.00145811	0.00000000
1632.00750000	0.00217112	0.10000000
1634.52000000	0.00057930	0.00000000
1636.99500000	0.01764476	0.20000000
1639.29500000	0.01136633	0.00000000
1642.53750000	0.00038727	0.00000000
1644.94750000	0.02899978	0.00000000
1645.59500000	0.04767924	0.00000000
1645.79500000	0.07052661	1.00000000
1648.66250000	0.00687342	0.00000000
1654.40750000	0.00049389	0.00000000
1659.18000000	0.00071628	0.00000000
1662.57000000	0.00299194	0.00000000
1664.30250000	0.00548625	0.00000000
1664.99000000	0.00820520	0.10000000
1670.31500000	0.00023991	0.00000000
1680.69000000	0.00010275	0.00000000
1688.12250000	0.00027051	0.00000000
1691.27500000	0.00053077	0.10000000
1696.87250000	0.00002117	0.00000000
1706.89000000	0.00001212	0.00000000
1715.48750000	0.00074591	0.00000000
1720.93250000	0.00079218	0.10000000
1726.76750000	0.00009678	0.00000000
1733.62500000	0.00001852	0.00000000
1741.03500000	0.00001446	0.00000000
1747.81000000	0.00000492	0.00000000
1752.78000000	0.00136544	0.00000000
1756.03000000	0.00205304	0.10000000
1760.89750000	0.00002563	0.00000000
1767.28000000	0.00557100	0.00000000
1771.78750000	0.00896886	0.10000000
