DEPTH d	VALUE d	COUNT d
1374.86000000	1.30642502	0.00000000
1375.05000000	2.82165012	0.00000000
1375.29500000	3.13562362	0.00000000
1375.54000000	4.06732719	0.00000000
1386.61000000	10.36633404	0.00000000
1386.86000000	24.13760114	1.00000000
1394.52500000	23.89561821	0.00000000
1396.91000000	18.13895225	0.00000000
1397.63000000	14.96952790	0.00000000
1398.29000000	12.78822011	1.00000000
1400.35000000	12.88126758	1.00000000
1402.08000000	12.01394505	1.00000000
1403.98000000	14.15352695	1.00000000
1407.54500000	11.44603332	0.00000000
1411.21000000	9.30017952	0.00000000
1412.75000000	7.48571102	1.00000000
1413.06500000	8.12686734	1.00000000
1413.53000000	7.54892836	1.00000000
1413.84000000	7.57747822	0.00000000
1416.05000000	8.94115192	1.00000000
1418.10000000	7.83803252	1.00000000
1418.25000000	9.52654137	0.00000000
1421.61000000	10.48334461	1.00000000
1425.26500000	9.21985118	0.00000000
1429.26000000	8.61241781	1.00000000
1430.10000000	9.49502000	0.00000000
1430.31000000	9.56374754	0.00000000
1431.24500000	9.84053676	1.00000000
1431.49000000	9.62932911	1.00000000
1432.03500000	10.57827007	1.00000000
1432.64000000	10.32040514	0.00000000
1435.45000000	9.43728471	1.00000000
1450.78000000	12.30699343	0.00000000
1451.16000000	14.36154912	0.00000000
1451.44000000	14.43143222	0.00000000
1451.59000000	14.72612289	0.00000000
1456.06000000	15.59119762	0.00000000
1456.69000000	16.01611662	1.00000000
1457.32000000	15.94871379	0.00000000
1463.02000000	13.01009067	0.00000000
1464.70000000	12.61238590	0.00000000
1468.64000000	12.39528254	0.00000000
1468.83000000	11.46606971	0.00000000
1469.20000000	11.34274058	1.00000000
1469.40500000	12.22481632	0.00000000
1469.61000000	12.89896889	1.00000000
1470.50000000	12.11494587	0.00000000
1470.89000000	9.59158892	1.00000000
1471.30000000	15.07109291	0.00000000
1479.17500000	18.39977508	0.00000000
1479.57000000	22.77536333	1.00000000
1486.71000000	19.71163205	0.00000000
1493.85000000	13.73371701	1.00000000
1500.16000000	17.06460356	1.00000000
1501.47500000	13.12300401	0.00000000
1502.79000000	9.69686971	1.00000000
1508.17000000	12.80534818	0.00000000
1508.52000000	13.34224460	1.00000000
1509.31500000	12.28016633	1.00000000
1509.76000000	13.70230598	0.00000000
1515.37000000	13.90959282	1.00000000
1515.99000000	13.33241240	1.00000000
1516.61000000	14.40577547	0.00000000
1516.72000000	14.45127213	0.00000000
1516.83000000	15.33888004	0.00000000
1518.36000000	16.65390641	1.00000000
1520.04000000	16.38680697	0.00000000
1524.39000000	15.89625744	1.00000000
1525.01500000	16.22081606	0.00000000
1527.43000000	17.55372194	1.00000000
1529.36000000	16.17729851	1.00000000
1529.54500000	16.44810282	0.00000000
1529.68000000	18.42454248	1.00000000
1534.41500000	16.21261292	1.00000000
1539.15000000	16.42890346	1.00000000
1539.98500000	15.17142429	1.00000000
1540.82000000	15.67105226	0.00000000
1541.11000000	17.47840113	0.00000000
1542.20500000	18.87586282	1.00000000
1546.09500000	14.08178430	0.00000000
1548.89000000	12.60438589	0.00000000
1551.80500000	10.81451388	0.00000000
1553.53000000	10.26344558	0.00000000
1553.66500000	9.56878527	0.00000000
1553.80000000	7.87861602	0.00000000
1556.28000000	5.05518017	1.00000000
1556.45000000	6.47736110	0.00000000
1556.68000000	7.88334135	0.00000000
1557.46000000	8.91664686	0.00000000
1559.37500000	9.78985575	1.00000000
1561.39000000	9.52498078	0.00000000
1565.39500000	9.27780510	1.00000000
1566.51000000	11.88290782	0.00000000
1568.08000000	13.13365017	0.00000000
1569.32500000	14.26356637	0.00000000
1570.17000000	15.43938963	0.00000000
1570.74500000	16.00030394	0.00000000
1572.07500000	17.08251949	0.00000000
1573.24000000	17.91253193	1.00000000
1573.51000000	17.48400523	1.00000000
1574.11500000	18.48353396	1.00000000
1574.58500000	17.96873466	1.00000000
1575.32000000	18.87174144	1.00000000
1575.48000000	18.60888491	0.00000000
1589.49500000	18.60053047	0.00000000
1590.02000000	16.99838553	1.00000000
1590.70500000	17.25421639	1.00000000
1591.71000000	16.42058978	0.00000000
1597.30000000	16.31436223	1.00000000
1598.28500000	17.58853101	1.00000000
1598.49500000	17.18253008	0.00000000
1599.36500000	14.19393307	0.00000000
1599.61000000	13.12891163	0.00000000
1600.00000000	12.31048593	0.00000000
1608.12500000	7.99450224	0.00000000
1608.47000000	7.51966106	0.00000000
1610.05500000	6.45564485	0.00000000
1611.14000000	4.93040725	1.00000000
1611.28000000	5.15741683	1.00000000
1611.46000000	4.26512592	0.00000000
1611.66500000	2.38259261	0.00000000
1611.82000000	1.84464537	1.00000000
1612.78000000	3.40463196	0.00000000
1618.08000000	7.42038512	0.00000000
1623.43000000	8.45585853	0.00000000
1628.84000000	8.53184378	0.00000000
1629.10000000	9.28868219	1.00000000
1629.36000000	8.42389555	1.00000000
1629.95000000	8.69793800	0.00000000
1630.54000000	9.25753977	1.00000000
1631.57000000	9.04273155	1.00000000
1634.35000000	10.33008706	0.00000000
1640.68000000	12.71221348	0.00000000
1643.35000000	13.40475697	0.00000000
1644.39500000	13.97671439	0.00000000
1645.64000000	15.20154245	0.00000000
1645.90000000	16.79203028	0.00000000
1657.39000000	16.82936818	1.00000000
1664.41000000	16.29077482	1.00000000
1664.56000000	17.15944895	0.00000000
1683.64000000	22.43787610	0.00000000
1688.95000000	27.41640572	1.00000000
1689.95000000	23.94393088	0.00000000
1690.95000000	20.32586743	1.00000000
1692.60000000	20.60564623	1.00000000
1701.14500000	12.56958036	0.00000000
1708.04000000	11.11145659	1.00000000
1717.23000000	12.80187709	0.00000000
1719.45000000	14.84946853	0.00000000
1723.52500000	16.90724018	0.00000000
1727.60000000	17.95615957	0.00000000
1732.42000000	22.98567856	1.00000000
1737.24000000	22.87135159	0.00000000
1744.83000000	21.30202549	0.00000000
1747.60000000	20.66812401	0.00000000
1750.79000000	16.39197608	1.00000000
1753.98000000	17.62105451	0.00000000
1754.77000000	18.35244101	1.00000000
1755.56000000	17.19107649	1.00000000
1757.29000000	17.26128312	0.00000000
1759.02000000	17.38921955	0.00000000
1764.50500000	18.40673923	0.00000000
1770.12000000	21.25218715	0.00000000
1773.52000000	21.85763978	1.00000000
1781.18000000	15.24034480	1.00000000
1781.60000000	16.82453612	1.00000000
1781.70500000	15.96062468	0.00000000
1782.66000000	13.56399620	1.00000000
1782.80500000	13.67561158	1.00000000
1782.95000000	13.28235647	0.00000000
1783.44000000	12.44269801	0.00000000
1783.93000000	11.53092920	1.00000000
1784.19000000	12.72824698	1.00000000
1784.56000000	8.90275102	0.00000000
