DEPTH d	VALUE d	COUNT d
1374.48000000	19.05755597	0.00000000
1376.28000000	16.61255729	0.00000000
1376.85500000	15.50650220	0.00000000
1376.92000000	14.32428961	1.00000000
1377.25000000	15.87757069	0.00000000
1380.08500000	17.17842754	0.00000000
1383.03000000	17.42062396	1.00000000
1385.00000000	13.19248844	0.00000000
1385.57000000	11.97471928	1.00000000
1385.98500000	15.33613532	1.00000000
1386.44000000	14.21850088	0.00000000
1387.02000000	10.30895217	1.00000000
1388.72000000	11.87874889	0.00000000
1390.33000000	12.00668671	0.00000000
1390.92000000	12.38832296	1.00000000
1391.51000000	11.90973247	0.00000000
1391.51000000	11.90973247	0.00000000
1392.20000000	11.05921836	0.00000000
1395.65000000	10.79200861	0.00000000
1396.11000000	9.63653060	0.00000000
1396.87500000	9.49737079	1.00000000
1398.34000000	9.78491623	1.00000000
1399.81000000	9.63067630	0.00000000
1402.23000000	8.02436490	0.00000000
1402.70000000	7.71687354	0.00000000
1403.17000000	7.30656941	0.00000000
1403.27000000	6.23377733	0.00000000
1403.70000000	4.88993046	1.00000000
1403.94000000	4.96593527	1.00000000
1404.26000000	3.86698047	0.00000000
1405.27000000	3.68746470	1.00000000
1405.80000000	3.84736649	1.00000000
1408.18500000	3.67678233	0.00000000
1412.00000000	1.72846498	0.00000000
1412.32500000	1.21778815	0.00000000
1412.65000000	1.01464912	0.00000000
1412.65000000	1.01464912	0.90000000
1412.70000000	1.40587663	1.00000000
1413.48500000	0.63730541	1.00000000
1413.76000000	1.92295778	0.00000000
1414.61000000	1.99979494	0.00000000
1414.69000000	4.14326301	0.90000000
1414.69000000	4.14326301	0.00000000
1414.91000000	2.96528715	1.00000000
1415.03000000	3.27638331	0.00000000
1416.28000000	4.70390064	1.00000000
1421.61000000	2.31756177	1.00000000
1426.15000000	4.07724194	0.00000000
1430.29000000	5.81105814	0.00000000
1430.56000000	8.89928021	1.00000000
1431.05000000	8.09339679	0.00000000
1431.05000000	8.09339679	0.00000000
1431.07000000	6.49222115	1.00000000
1431.48000000	7.81997349	0.90000000
1431.48000000	7.81997349	0.90000000
1431.48500000	8.84833627	1.00000000
1431.49000000	8.37557918	0.00000000
1431.49000000	8.37557918	0.00000000
1431.49000000	8.37557918	0.90000000
1431.69000000	9.61601070	0.00000000
1432.20000000	10.40052495	1.00000000
1432.70000000	8.19163920	0.00000000
1434.13000000	8.04934326	1.00000000
1438.20000000	12.07846316	0.00000000
1439.19000000	12.18317818	1.00000000
1445.24000000	11.05091026	1.00000000
1447.40000000	11.81634969	1.00000000
1447.55500000	11.07395139	1.00000000
1447.71000000	12.93703756	1.00000000
1448.14000000	11.48599648	1.00000000
1448.25500000	11.81776097	1.00000000
1448.46500000	9.77182830	0.00000000
1448.64000000	9.41292976	0.00000000
1448.73500000	8.63538066	0.00000000
1448.73500000	8.63538066	0.00000000
1448.77000000	7.87091111	1.00000000
1449.12000000	8.24698682	1.00000000
1449.85500000	7.11644038	0.00000000
1449.90500000	6.52354876	0.00000000
1450.61000000	6.17768975	1.00000000
1451.38000000	6.19623433	1.00000000
1451.72500000	6.05376071	1.00000000
1455.98000000	6.31141442	1.00000000
1457.47000000	2.81160776	1.00000000
1462.70000000	3.32154097	0.00000000
1464.10000000	3.38774170	0.00000000
1465.05000000	5.14353984	0.00000000
1465.36000000	5.17327378	1.00000000
1465.44500000	4.53454954	0.00000000
1465.68000000	4.39169814	0.00000000
1465.88000000	2.10221487	1.00000000
1468.64000000	3.65529897	0.00000000
1469.02000000	3.66301729	1.00000000
1469.20000000	2.87788989	1.00000000
1469.27000000	3.94262086	0.90000000
1469.27000000	3.94262086	0.90000000
1469.44000000	4.51566425	1.00000000
1469.92000000	3.49128781	1.00000000
1470.50000000	4.93708608	1.00000000
1470.89000000	3.14313666	0.00000000
1471.34000000	1.05930583	0.00000000
1471.92500000	0.59161129	0.00000000
1471.92500000	0.59161129	0.90000000
1473.59500000	1.55161366	1.00000000
1475.15000000	1.23173728	1.00000000
1475.76000000	5.10023337	1.00000000
1478.50500000	2.58986957	1.00000000
1478.78000000	5.91224200	1.00000000
1479.70000000	4.17072016	0.00000000
1482.34000000	2.63645608	0.00000000
1490.37000000	1.52848129	1.00000000
1491.75500000	2.96485683	0.90000000
1491.75500000	2.96485683	0.90000000
1493.20500000	3.28977185	0.00000000
1493.56000000	10.17172892	1.00000000
1493.85000000	9.08212589	1.00000000
1493.96000000	9.67539447	0.00000000
1494.36500000	9.68431204	0.90000000
1494.36500000	9.68431204	0.00000000
1497.91500000	9.43694889	0.00000000
1497.91500000	9.43694889	0.00000000
1497.91500000	9.43694889	0.00000000
1503.40500000	5.70320610	0.00000000
1504.11000000	4.36553575	1.00000000
1504.15000000	5.17935567	1.00000000
1504.16000000	3.45736127	0.00000000
1504.16000000	3.45736127	0.00000000
1504.19500000	3.41423172	0.00000000
1504.26000000	2.73674052	0.00000000
1507.40000000	2.19593804	1.00000000
1507.67500000	6.02136720	1.00000000
1507.99000000	5.99790874	0.00000000
1508.17000000	5.79926256	0.00000000
1508.17000000	5.79926256	0.00000000
1508.17000000	5.79926256	0.00000000
1511.28500000	4.06894441	1.00000000
1513.84000000	4.48960734	0.00000000
1515.01000000	5.14387470	0.90000000
1515.01000000	5.14387470	0.00000000
1516.61000000	3.40645906	1.00000000
1516.72000000	4.02510193	1.00000000
1516.97000000	3.83189327	1.00000000
1518.81500000	3.91679616	0.00000000
1520.16000000	7.12698584	1.00000000
1521.00000000	7.06805701	0.00000000
1521.00000000	7.06805701	0.00000000
1521.00000000	7.06805701	0.00000000
1521.15500000	6.46204600	0.00000000
1521.64000000	6.36354487	0.00000000
1522.18000000	4.72284261	0.00000000
1524.19500000	2.47602278	1.00000000
1524.39000000	2.50992381	0.00000000
1525.64000000	2.57009546	0.00000000
1525.92500000	3.95499205	1.00000000
1526.21000000	3.89730350	1.00000000
1529.50000000	4.28233120	1.00000000
1531.76500000	3.74043018	1.00000000
1533.87000000	4.36121976	1.00000000
1533.89000000	2.54421748	0.00000000
1536.09500000	2.10924587	0.00000000
1538.20000000	0.87355445	1.00000000
1539.15000000	1.12443777	0.00000000
1539.55500000	3.27713749	0.00000000
1540.01000000	8.00097908	0.00000000
1540.67000000	10.57233983	0.00000000
1540.82000000	10.97785139	0.90000000
1540.82000000	10.97785139	0.00000000
1540.82000000	10.97785139	0.90000000
1541.11000000	12.92894615	1.00000000
1545.45500000	6.46318250	1.00000000
1548.25000000	7.61880767	1.00000000
1549.33000000	5.42822722	0.00000000
1549.79000000	4.33676582	1.00000000
1549.93500000	4.83158482	0.00000000
1550.08000000	5.32415940	0.00000000
1553.50500000	6.73310313	0.00000000
1555.14000000	9.18605198	0.90000000
1555.14000000	9.18605198	0.90000000
1555.83500000	11.47459948	0.00000000
1556.65000000	11.50400500	1.00000000
1560.64000000	11.10435986	0.00000000
1562.22500000	8.66548419	0.00000000
1563.63000000	6.48514431	0.00000000
1564.33000000	5.95532578	1.00000000
1564.54000000	6.95244775	1.00000000
1564.91000000	6.82215167	1.00000000
1565.17000000	6.86753375	0.00000000
1565.32000000	8.55266614	1.00000000
1565.82000000	7.05764770	0.00000000
1566.25000000	6.63279995	0.00000000
1566.51000000	6.08754287	1.00000000
1567.84000000	6.88883716	0.00000000
1568.31000000	7.58685026	0.90000000
1568.31000000	7.58685026	0.00000000
1568.31000000	7.58685026	0.00000000
1568.45500000	7.16494665	0.00000000
1570.05000000	7.00567051	0.00000000
1570.05000000	7.00567051	0.00000000
1570.17000000	5.67027649	0.00000000
1571.32000000	5.14213099	0.00000000
1572.73000000	4.28427720	1.00000000
1573.24000000	5.99040088	0.00000000
1573.48000000	7.01822523	0.00000000
1573.75000000	8.92200633	1.00000000
1573.87000000	8.41225027	0.00000000
1574.76000000	6.56954735	0.00000000
1575.28000000	6.18306762	0.00000000
1575.48000000	4.54725508	1.00000000
1589.56000000	7.37944040	0.00000000
1590.33000000	9.94569062	0.00000000
1590.72000000	15.25566933	0.90000000
1590.72000000	15.25566933	0.00000000
1593.57000000	12.48080894	0.00000000
1596.30500000	6.49969087	0.00000000
1597.37000000	6.46377879	0.00000000
1597.66000000	5.51972231	1.00000000
1597.82000000	6.20996512	0.90000000
1597.82000000	6.20996512	0.00000000
1597.82000000	6.20996512	0.00000000
1597.82000000	6.20996512	0.00000000
1597.91000000	6.00528812	1.00000000
1598.16000000	6.17079364	1.00000000
1598.33000000	5.03341132	0.00000000
1599.14000000	4.08281770	0.00000000
1599.33000000	3.57140050	0.00000000
1599.94000000	3.29114463	1.00000000
1601.46000000	3.93538767	1.00000000
1605.98500000	3.47210860	1.00000000
1606.62500000	3.56712401	1.00000000
1607.13500000	3.38025377	0.00000000
1607.37500000	3.31837734	0.00000000
1607.43000000	3.30175616	1.00000000
1608.01000000	4.16345784	0.00000000
1608.84000000	5.89709472	1.00000000
1610.99000000	5.42689942	1.00000000
1611.27000000	6.04299710	1.00000000
1611.42000000	4.16115948	0.00000000
1611.42000000	4.16115948	0.90000000
1611.46000000	4.30777318	0.90000000
1611.46000000	4.30777318	0.90000000
1611.52000000	4.54239668	1.00000000
1611.67000000	4.04170408	1.00000000
