DEPTH d	VALUE d	COUNT d
1374.48000000	74.74223942	0.00000000
1376.28000000	69.44889781	0.00000000
1376.85500000	66.33624579	0.00000000
1376.92000000	64.61650973	1.00000000
1377.25000000	66.31884721	0.00000000
1380.08500000	67.68438924	0.00000000
1383.03000000	68.08963902	1.00000000
1385.00000000	62.75355066	0.00000000
1385.57000000	60.17905142	1.00000000
1385.98500000	63.04722947	0.00000000
1386.44000000	64.65562382	1.00000000
1387.02000000	56.07372946	0.00000000
1388.72000000	55.72069427	1.00000000
1390.33000000	58.78108110	0.00000000
1390.92000000	60.48971029	1.00000000
1391.51000000	60.18208600	0.00000000
1391.51000000	60.18208600	0.00000000
1392.20000000	57.23315535	1.00000000
1395.65000000	58.56332434	0.00000000
1396.11000000	59.62906817	1.00000000
1396.87500000	57.93329979	0.00000000
1398.34000000	56.82278650	1.00000000
1399.81000000	58.63734729	0.00000000
1402.23000000	60.99970512	0.00000000
1402.70000000	61.03918475	1.00000000
1403.17000000	60.39138163	1.00000000
1403.27000000	61.51654931	0.00000000
1403.70000000	63.33100666	1.00000000
1403.94000000	62.19052716	0.00000000
1404.26000000	61.73848574	1.00000000
1405.27000000	62.43525722	0.00000000
1405.80000000	64.85502227	0.00000000
1408.18500000	66.20069158	1.00000000
1412.00000000	64.90480617	0.00000000
1412.32500000	64.02156193	1.00000000
1412.65000000	64.38041440	0.90000000
1412.65000000	64.38041440	0.90000000
1412.70000000	65.66109045	1.00000000
1413.48500000	65.60926400	0.00000000
1413.76000000	63.53261302	1.00000000
1414.61000000	66.13217534	0.00000000
1414.69000000	69.26917026	0.90000000
1414.69000000	69.26917026	0.00000000
1414.91000000	67.72794663	1.00000000
1415.03000000	68.11596027	0.00000000
1416.28000000	69.02519658	1.00000000
1421.61000000	67.45441033	1.00000000
1426.15000000	68.94214053	0.00000000
1430.29000000	70.60161340	0.00000000
1430.56000000	74.30733722	1.00000000
1431.05000000	73.51139228	0.00000000
1431.05000000	73.51139228	0.00000000
1431.07000000	71.94827876	1.00000000
1431.48000000	73.30709814	0.90000000
1431.48000000	73.30709814	0.90000000
1431.48500000	74.35339645	1.00000000
1431.49000000	73.86833543	0.00000000
1431.49000000	73.86833543	0.00000000
1431.49000000	73.86833543	0.90000000
1431.69000000	75.05952555	0.00000000
1432.20000000	75.89890366	1.00000000
1432.70000000	73.79560248	0.00000000
1434.13000000	73.63695052	1.00000000
1438.20000000	77.81868195	0.00000000
1439.19000000	77.97065433	1.00000000
1445.24000000	76.77082885	1.00000000
1447.40000000	76.88719486	1.00000000
1447.55500000	76.25049522	1.00000000
1447.71000000	78.23589022	1.00000000
1448.14000000	76.74590874	1.00000000
1448.25500000	77.29418149	1.00000000
1448.46500000	75.38117318	0.00000000
1448.64000000	75.05549481	0.00000000
1448.73500000	74.33269362	0.00000000
1448.73500000	74.33269362	0.00000000
1448.77000000	73.39468240	1.00000000
1449.12000000	73.78007641	1.00000000
1449.85500000	73.10909049	0.00000000
1449.90500000	72.09542682	0.00000000
1450.61000000	71.99674797	1.00000000
1451.38000000	72.03582414	1.00000000
1451.72500000	71.82052261	0.00000000
