DEPTH d	VALUE d	COUNT d
1374.48000000	29.75622933	0.00000000
1376.28000000	27.21447599	0.00000000
1376.85500000	25.99579475	0.00000000
1376.92000000	24.71661241	1.00000000
1377.25000000	26.29056307	0.00000000
1380.08500000	27.45721247	0.00000000
1383.03000000	27.74528534	1.00000000
1385.00000000	22.55743738	0.00000000
1385.57000000	20.62124222	1.00000000
1385.98500000	23.81118860	1.00000000
1386.44000000	22.71967507	0.00000000
1387.02000000	14.82858913	1.00000000
1388.72000000	15.29403325	0.00000000
1390.33000000	17.28676674	0.00000000
1390.92000000	18.46246657	1.00000000
1391.51000000	17.77032210	0.00000000
1391.51000000	17.77032210	0.00000000
1392.20000000	15.14791829	1.00000000
1395.65000000	15.55172462	1.00000000
1396.11000000	15.16453239	0.00000000
1396.87500000	13.44032113	0.00000000
1398.34000000	10.73311215	0.00000000
1399.81000000	10.43013060	1.00000000
1402.23000000	11.47899125	1.00000000
1402.70000000	11.17623142	0.00000000
1403.17000000	10.21866121	1.00000000
1403.27000000	10.68534949	0.00000000
1403.70000000	11.95249143	1.00000000
1403.94000000	10.60610727	0.00000000
1404.26000000	9.10648095	1.00000000
1405.27000000	10.11352980	0.00000000
1405.80000000	12.58126988	0.00000000
1408.18500000	13.47473055	1.00000000
1412.00000000	11.57580877	0.00000000
1412.32500000	10.49485371	1.00000000
1412.65000000	10.78006727	0.90000000
1412.65000000	10.78006727	0.90000000
1412.70000000	12.00038362	1.00000000
1413.48500000	11.30355043	0.00000000
1413.76000000	8.85245975	1.00000000
1414.61000000	11.01848768	0.00000000
1414.69000000	14.26193784	0.90000000
1414.69000000	14.26193784	0.00000000
1414.91000000	12.50909201	1.00000000
1415.03000000	12.92652106	0.00000000
1416.28000000	13.53137588	1.00000000
1421.61000000	11.80525461	1.00000000
1426.15000000	13.46586593	0.00000000
1430.29000000	15.24310814	0.00000000
1430.56000000	19.14174540	1.00000000
1431.05000000	18.41356681	0.00000000
1431.05000000	18.41356681	0.00000000
1431.07000000	16.86315542	1.00000000
1431.48000000	18.24047565	0.90000000
1431.48000000	18.24047565	0.90000000
1431.48500000	19.38267800	1.00000000
1431.49000000	18.91359066	0.00000000
1431.49000000	18.91359066	0.00000000
1431.49000000	18.91359066	0.90000000
1431.69000000	20.15880416	0.00000000
1432.20000000	20.91116978	1.00000000
1432.70000000	18.49513241	0.00000000
1434.13000000	17.97664671	1.00000000
1438.20000000	22.33179355	0.00000000
1439.19000000	22.37965912	1.00000000
1445.24000000	21.52334554	1.00000000
1447.40000000	21.94044798	1.00000000
1447.55500000	21.12209068	1.00000000
1447.71000000	23.06889641	1.00000000
1448.14000000	21.40318195	1.00000000
1448.25500000	21.91439828	1.00000000
1448.46500000	19.93851020	0.00000000
1448.64000000	19.57554091	0.00000000
1448.73500000	18.85149006	0.00000000
1448.73500000	18.85149006	0.00000000
1448.77000000	17.86923872	1.00000000
1449.12000000	18.24436169	1.00000000
1449.85500000	17.39173453	0.00000000
1449.90500000	16.36262384	1.00000000
1450.61000000	16.43315763	0.00000000
1451.38000000	16.84584852	1.00000000
1451.72500000	16.70891251	1.00000000
1455.98000000	17.03320712	1.00000000
1457.47000000	13.49756478	1.00000000
1462.70000000	13.91350941	0.00000000
1464.10000000	13.95439950	0.00000000
1465.05000000	15.60014091	1.00000000
1465.36000000	15.43488881	0.00000000
1465.44500000	14.50015162	0.00000000
1465.68000000	14.37504803	0.00000000
1465.88000000	12.69891047	1.00000000
1468.64000000	14.22505303	1.00000000
1469.02000000	14.14259409	0.00000000
1469.20000000	13.35018129	1.00000000
1469.27000000	13.95114177	0.90000000
1469.27000000	13.95114177	0.90000000
1469.44000000	14.81249984	1.00000000
1469.92000000	14.03989417	1.00000000
1470.50000000	15.18847277	1.00000000
1470.89000000	13.48826535	0.00000000
1471.34000000	10.29887308	1.00000000
1471.92500000	11.29763904	0.90000000
1471.92500000	11.29763904	0.90000000
1473.59500000	12.15695188	1.00000000
1475.15000000	10.59480415	1.00000000
1475.76000000	14.93934346	1.00000000
1478.50500000	10.91416276	1.00000000
1478.78000000	16.02187614	1.00000000
1479.70000000	14.86854633	0.00000000
1482.34000000	12.53237277	0.00000000
1490.37000000	12.23802509	0.00000000
1491.75500000	10.05237843	0.00000000
1491.75500000	10.05237843	0.90000000
1493.20500000	12.32667511	0.00000000
1493.56000000	12.96331126	0.00000000
1493.85000000	13.91384426	1.00000000
1493.96000000	10.51476772	1.00000000
1494.36500000	12.27215253	0.90000000
1494.36500000	12.27215253	0.90000000
1497.91500000	20.04531987	0.90000000
1497.91500000	20.04531987	0.00000000
1497.91500000	20.04531987	0.00000000
1503.40500000	15.56551778	0.00000000
1504.11000000	14.89944059	1.00000000
1504.15000000	15.84984517	1.00000000
1504.16000000	14.00297637	0.00000000
1504.16000000	14.00297637	0.90000000
1504.19500000	14.11358458	1.00000000
1504.26000000	13.08961302	0.00000000
1507.40000000	12.43174314	1.00000000
1507.67500000	16.69724609	0.00000000
1507.99000000	16.71795970	1.00000000
1508.17000000	16.52092777	0.00000000
1508.17000000	16.52092777	0.00000000
1508.17000000	16.52092777	0.00000000
1511.28500000	14.78619350	1.00000000
1513.84000000	15.12670633	0.00000000
1515.01000000	15.86104534	0.90000000
1515.01000000	15.86104534	0.00000000
1516.61000000	12.88320713	1.00000000
1516.72000000	13.45895212	1.00000000
1516.97000000	13.41130047	1.00000000
1518.81500000	14.51858201	0.00000000
1520.16000000	17.41924346	1.00000000
1521.00000000	17.19875456	0.00000000
1521.00000000	17.19875456	0.00000000
1521.00000000	17.19875456	0.00000000
1521.15500000	16.84053490	0.00000000
1521.64000000	16.77060924	0.00000000
1522.18000000	15.25243720	0.00000000
1524.19500000	13.07813490	0.00000000
1524.39000000	12.61849134	1.00000000
1525.64000000	12.73550133	0.00000000
1525.92500000	13.44464423	0.00000000
1526.21000000	13.46329286	0.00000000
1529.50000000	13.84426508	0.00000000
1531.76500000	13.99982223	1.00000000
1533.87000000	13.93920540	0.00000000
1533.89000000	12.59313844	0.00000000
1536.09500000	11.91938641	0.00000000
1538.20000000	10.50066741	0.00000000
1539.15000000	10.40492797	0.00000000
1539.55500000	7.94168430	0.00000000
1540.01000000	2.85426283	0.00000000
1540.67000000	0.30382535	0.00000000
1540.82000000	0.27346208	0.00000000
1540.82000000	0.27346208	0.00000000
1540.82000000	0.27346208	0.90000000
1541.11000000	2.22037539	0.00000000
1545.45500000	5.18917679	1.00000000
1548.25000000	3.71325557	1.00000000
1549.33000000	5.65144671	0.00000000
1549.79000000	6.38509539	1.00000000
1549.93500000	6.10798418	0.00000000
1550.08000000	5.67045891	0.00000000
1553.50500000	5.51958693	0.00000000
1555.14000000	3.26897074	0.00000000
1555.14000000	3.26897074	0.00000000
1555.83500000	1.74842480	1.00000000
1556.65000000	2.57035956	0.00000000
1560.64000000	3.74329199	1.00000000
1562.22500000	3.63448299	1.00000000
1563.63000000	5.01997060	0.00000000
1564.33000000	5.75524672	1.00000000
1564.54000000	5.44920261	0.00000000
1564.91000000	4.68659042	0.00000000
1565.17000000	4.43313507	0.00000000
1565.32000000	3.27415630	1.00000000
1565.82000000	4.58268122	0.00000000
1566.25000000	5.41723376	0.00000000
1566.51000000	5.76508947	1.00000000
1567.84000000	5.08269098	0.00000000
1568.31000000	4.13317726	0.00000000
1568.31000000	4.13317726	0.00000000
1568.31000000	4.13317726	0.90000000
1568.45500000	4.17801726	0.00000000
1570.05000000	4.37090063	0.90000000
1570.05000000	4.37090063	0.90000000
1570.17000000	5.62776335	0.00000000
1571.32000000	5.84718641	0.00000000
1572.73000000	6.46117520	1.00000000
1573.24000000	4.75775618	0.00000000
1573.48000000	4.03268367	0.00000000
1573.75000000	2.32353820	1.00000000
1573.87000000	3.51765956	0.00000000
1574.76000000	7.68473880	0.00000000
1575.28000000	8.78550289	0.00000000
1575.48000000	12.42342663	0.00000000
1589.56000000	13.28738938	0.00000000
1590.33000000	16.18030804	0.00000000
1590.72000000	21.46150672	0.90000000
1590.72000000	21.46150672	0.00000000
1593.57000000	19.49296214	0.00000000
1596.30500000	13.94045042	1.00000000
1597.37000000	14.36001402	1.00000000
1597.66000000	13.53842170	1.00000000
1597.82000000	15.60476356	0.90000000
1597.82000000	15.60476356	0.00000000
1597.82000000	15.60476356	0.00000000
1597.82000000	15.60476356	0.00000000
1597.91000000	15.26982153	1.00000000
1598.16000000	15.27531414	1.00000000
1598.33000000	14.67270200	0.00000000
1599.14000000	13.63599993	0.00000000
1599.33000000	13.52156471	0.00000000
1599.94000000	13.15032135	1.00000000
1601.46000000	14.00491066	1.00000000
1605.98500000	13.49972771	1.00000000
1606.62500000	14.02736093	0.00000000
1607.13500000	14.07010355	1.00000000
1607.37500000	14.03779131	0.00000000
1607.43000000	14.02051294	1.00000000
1608.01000000	14.88330394	0.00000000
1608.84000000	16.54847976	1.00000000
1610.99000000	16.14553388	1.00000000
1611.27000000	16.74998733	1.00000000
1611.42000000	14.80733676	0.00000000
1611.42000000	14.80733676	0.90000000
1611.46000000	14.83244022	0.90000000
1611.46000000	14.83244022	0.90000000
1611.52000000	15.12245786	1.00000000
1611.67000000	14.63050549	1.00000000
1611.82000000	16.86912642	0.00000000
1612.56500000	19.65736167	0.00000000
1613.08500000	20.30165179	1.00000000
1613.44000000	19.73923515	1.00000000
1618.08000000	19.87134998	0.00000000
1627.70000000	25.42009296	0.00000000
1627.79000000	26.54519242	1.00000000
1628.67000000	25.45454770	1.00000000
1629.06000000	25.85550352	0.00000000
1629.32000000	27.91730303	1.00000000
1630.01500000	20.19830195	0.00000000
1631.05500000	19.07315233	1.00000000
1631.57000000	20.62150079	0.90000000
1631.57000000	20.62150079	0.90000000
1631.83000000	20.85212577	0.90000000
1631.83000000	20.85212577	0.00000000
1632.53000000	18.05676027	0.00000000
1632.53000000	18.05676027	0.00000000
1636.55000000	14.73465327	1.00000000
1637.22000000	15.29631004	1.00000000
1637.81000000	12.41945897	0.00000000
1637.82000000	11.36930868	0.00000000
1639.56000000	11.03053382	0.00000000
1641.11000000	10.69909915	0.00000000
1642.23000000	10.60101436	0.00000000
1643.40000000	8.91059520	1.00000000
1644.42000000	9.29397960	1.00000000
1645.44000000	9.25585185	0.00000000
1645.48000000	7.74368850	0.00000000
1645.52000000	5.97084033	1.00000000
1645.64000000	10.74251081	0.00000000
1645.77000000	15.22725591	0.90000000
1645.77000000	15.22725591	0.00000000
1645.77000000	15.22725591	0.00000000
1645.82000000	12.90699028	0.00000000
1645.82000000	12.90699028	0.90000000
1649.20500000	19.51850915	1.00000000
1657.86000000	14.95277146	1.00000000
1664.31000000	22.90319046	1.00000000
1664.38000000	22.70043067	1.00000000
1664.44500000	25.20866731	0.90000000
1664.44500000	25.20866731	0.00000000
1664.44500000	25.20866731	0.00000000
1664.44500000	25.20866731	0.00000000
1664.44500000	25.20866731	0.00000000
1664.51000000	22.86721476	0.00000000
1664.53500000	22.18194268	0.00000000
1664.53500000	22.18194268	0.00000000
1664.53500000	22.18194268	0.00000000
1664.53500000	22.18194268	0.90000000
1664.56000000	23.42349493	1.00000000
1664.58000000	21.71767755	0.00000000
1664.58000000	21.71767755	0.00000000
1664.58000000	21.71767755	0.00000000
1664.58000000	21.71767755	0.00000000
