ID s	D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d
W_TST_0434	292.60043298	1.11461953	292.60043298	4.71927021	-0.92303262	0.38422958	-0.01945255	-0.92007743	0.38299943	-0.08227370	3.60465068
W_TST_0433	292.60043298	1.11461953	292.60043298	13.87039574	-0.92303262	0.38422958	-0.01945255	-0.89628703	0.37309623	-0.23972645	12.75577621
W_TST_0432	292.60043298	1.11461953	292.60043298	14.39261600	-0.92303262	0.38422958	-0.01945255	-0.89423264	0.37224105	-0.24856506	13.27799648
W_TST_0431	292.60043298	1.11461953	292.60043298	20.14560548	-0.92303262	0.38422958	-0.01945255	-0.86672587	0.36079084	-0.34440707	19.03098596
W_TST_0430	292.60043298	1.11461953	292.60043298	33.35189313	-0.92303262	0.38422958	-0.01945255	-0.77116408	0.32101146	-0.54977959	32.23727361
W_TST_0429	292.60043298	1.11461953	292.60043298	4.90640242	-0.92303262	0.38422958	-0.01945255	-0.91982445	0.38289412	-0.08552826	3.79178289
W_TST_0428	292.60043298	1.11461953	292.60043298	1.92291948	-0.92303262	0.38422958	-0.01945255	-0.92268743	0.38408589	-0.03355498	0.80829995
W_TST_0427	292.60043298	1.11461953	292.60043298	4.29465946	-0.92303262	0.38422958	-0.01945255	-0.92061506	0.38322322	-0.07488578	3.18003993
W_TST_0426	292.60043298	1.11461953	292.60043298	20.52952238	-0.92303262	0.38422958	-0.01945255	-0.86457591	0.35989588	-0.35068997	19.41490285
W_TST_0425	292.60043298	1.11461953	292.60043298	2.67156471	-0.92303262	0.38422958	-0.01945255	-0.92220391	0.38388461	-0.04661071	1.55694519
W_TST_0424	292.60043298	1.11461953	292.60043298	6.58721637	-0.92303262	0.38422958	-0.01945255	-0.91711265	0.38176528	-0.11471551	5.47259684
W_TST_0423	292.60043298	1.11461953	292.60043298	2.98076417	-0.92303262	0.38422958	-0.01945255	-0.92195826	0.38378236	-0.05200068	1.86614464
W_TST_0422	292.60043298	1.11461953	292.60043298	8.42957984	-0.92303262	0.38422958	-0.01945255	-0.91323370	0.38015060	-0.14659374	7.31496031
W_TST_0421	292.60043298	1.11461953	292.60043298	1.10635562	-0.92303262	0.38422958	-0.01945255	-0.92303521	0.38423066	-0.01930835	0.00826391
W_TST_0420	292.60043298	1.11461953	292.60043298	1.01384074	-0.92303262	0.38422958	-0.01945255	-0.92306279	0.38424214	-0.01769394	0.10077879
