ID s	D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d
W_TST_1006	243.03945029	42.88503663	243.03945029	7.59496226	-0.65308777	-0.33219862	-0.68052953	-0.88349951	-0.44939950	-0.13216924	35.29007438
W_TST_1005	243.03945029	42.88503663	243.03945029	82.51662388	-0.65308777	-0.33219862	-0.68052953	-0.11608406	-0.05904714	-0.99148269	39.63158724
W_TST_1004	243.03945029	42.88503663	243.03945029	83.22942850	-0.65308777	-0.33219862	-0.68052953	-0.10508110	-0.05345039	-0.99302619	40.34439187
W_TST_1003	243.03945029	42.88503663	243.03945029	61.90248503	-0.65308777	-0.33219862	-0.68052953	-0.41978769	-0.21352856	-0.88214729	19.01744840
W_TST_1002	243.03945029	42.88503663	243.03945029	22.24953756	-0.65308777	-0.33219862	-0.68052953	-0.82495447	-0.41962007	-0.37864115	20.63549907
W_TST_1001	243.03945029	42.88503663	243.03945029	76.41619038	-0.65308777	-0.33219862	-0.68052953	-0.20934180	-0.10648348	-0.97202741	33.53115375
W_TST_1000	243.03945029	42.88503663	243.03945029	65.67175375	-0.65308777	-0.33219862	-0.68052953	-0.36719096	-0.18677479	-0.91120029	22.78671712
W_TST_0999	243.03945029	42.88503663	243.03945029	47.23929334	-0.65308777	-0.33219862	-0.68052953	-0.60515023	-0.30781479	-0.73419565	4.35425671
W_TST_0998	243.03945029	42.88503663	243.03945029	52.49797364	-0.65308777	-0.33219862	-0.68052953	-0.54262558	-0.27601109	-0.79333181	9.61293701
W_TST_0997	243.03945029	42.88503663	243.03945029	32.15218086	-0.65308777	-0.33219862	-0.68052953	-0.75462411	-0.38384594	-0.53216986	10.73285577
W_TST_0996	243.03945029	42.88503663	243.03945029	64.83122671	-0.65308777	-0.33219862	-0.68052953	-0.37906553	-0.19281489	-0.90505897	21.94619007
W_TST_0995	243.03945029	42.88503663	243.03945029	85.43245543	-0.65308777	-0.33219862	-0.68052953	-0.07097954	-0.03610434	-0.99682415	42.54741879
W_TST_0994	243.03945029	42.88503663	243.03945029	62.75694361	-0.65308777	-0.33219862	-0.68052953	-0.40801564	-0.20754061	-0.88907262	19.87190698
W_TST_0993	243.03945029	42.88503663	243.03945029	59.48666999	-0.65308777	-0.33219862	-0.68052953	-0.45255720	-0.23019705	-0.86151106	16.60163335
W_TST_0992	243.03945029	42.88503663	243.03945029	39.49335460	-0.65308777	-0.33219862	-0.68052953	-0.68782933	-0.34987021	-0.63598872	3.39168203
W_TST_0991	243.03945029	42.88503663	243.03945029	88.89622887	-0.65308777	-0.33219862	-0.68052953	-0.01716970	-0.00873351	-0.99981445	46.01119224
W_TST_0990	243.03945029	42.88503663	243.03945029	43.98259386	-0.65308777	-0.33219862	-0.68052953	-0.64134923	-0.32622771	-0.69443981	1.09755723
W_TST_0989	243.03945029	42.88503663	243.03945029	89.58575924	-0.65308777	-0.33219862	-0.68052953	-0.00644406	-0.00327783	-0.99997386	46.70072261
W_TST_0988	243.03945029	42.88503663	243.03945029	87.73824906	-0.65308777	-0.33219862	-0.68052953	-0.03517568	-0.01789241	-0.99922096	44.85321243
W_TST_0987	243.03945029	42.88503663	243.03945029	33.24539951	-0.65308777	-0.33219862	-0.68052953	-0.74543690	-0.37917278	-0.54822608	9.63963713
W_TST_0986	243.03945029	42.88503663	243.03945029	89.20535728	-0.65308777	-0.33219862	-0.68052953	-0.01236142	-0.00628774	-0.99990383	46.32032065
W_TST_0985	243.03945029	42.88503663	243.03945029	85.63232720	-0.65308777	-0.33219862	-0.68052953	-0.06787969	-0.03452758	-0.99709588	42.74729057
W_TST_0984	243.03945029	42.88503663	243.03945029	57.13143206	-0.65308777	-0.33219862	-0.68052953	-0.48373103	-0.24605388	-0.83991772	14.24639542
W_TST_0983	243.03945029	42.88503663	243.03945029	65.20928443	-0.65308777	-0.33219862	-0.68052953	-0.37373445	-0.19010319	-0.90784544	22.32424780
W_TST_0982	243.03945029	42.88503663	243.03945029	71.76955833	-0.65308777	-0.33219862	-0.68052953	-0.27883985	-0.14183425	-0.94980597	28.88452170
W_TST_0981	243.03945029	42.88503663	243.03945029	54.09785731	-0.65308777	-0.33219862	-0.68052953	-0.52267177	-0.26586142	-0.81001971	11.21282068
W_TST_0979	243.03945029	42.88503663	243.03945029	66.25893299	-0.65308777	-0.33219862	-0.68052953	-0.35884854	-0.18253134	-0.91537426	23.37389635
W_TST_0980	243.03945029	42.88503663	243.03945029	60.82980258	-0.65308777	-0.33219862	-0.68052953	-0.43443377	-0.22097841	-0.87317572	17.94476595
W_TST_0978	243.03945029	42.88503663	243.03945029	73.70850096	-0.65308777	-0.33219862	-0.68052953	-0.25003661	-0.12718324	-0.95984692	30.82346433
W_TST_0977	243.03945029	42.88503663	243.03945029	82.52009919	-0.65308777	-0.33219862	-0.68052953	-0.11603046	-0.05901987	-0.99149059	39.63506256
