ID s	D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d
W_TST_0432	38.42361836	0.00000000	36.82000000	0.00000000	0.62147078	0.78343734	0.00000000	0.59930307	0.80052222	0.00000000	1.60361836
W_TST_0431	38.42361836	0.00000000	26.95000000	0.00000000	0.62147078	0.78343734	0.00000000	0.45321278	0.89140237	0.00000000	11.47361836
W_TST_0430	38.42361836	0.00000000	19.69000000	0.00000000	0.62147078	0.78343734	0.00000000	0.33693094	0.94152936	0.00000000	18.73361836
W_TST_0429	38.42361836	0.00000000	67.88000000	0.00000000	0.62147078	0.78343734	0.00000000	0.92639725	0.37654766	0.00000000	29.45638164
W_TST_0428	38.42361836	0.00000000	50.75000000	0.00000000	0.62147078	0.78343734	0.00000000	0.77439264	0.63270533	0.00000000	12.32638164
W_TST_0427	38.42361836	0.00000000	45.82000000	0.00000000	0.62147078	0.78343734	0.00000000	0.71715392	0.69691481	0.00000000	7.39638164
W_TST_0426	38.42361836	0.00000000	225.24000000	0.00000000	0.62147078	0.78343734	0.00000000	-0.71006249	-0.70413866	0.00000000	173.18361837
W_TST_0425	38.42361836	0.00000000	33.04000000	0.00000000	0.62147078	0.78343734	0.00000000	0.54522440	0.83829013	0.00000000	5.38361836
W_TST_0424	38.42361836	0.00000000	69.91000000	0.00000000	0.62147078	0.78343734	0.00000000	0.93915422	0.34349579	0.00000000	31.48638164
W_TST_0423	38.42361836	0.00000000	56.56000000	0.00000000	0.62147078	0.78343734	0.00000000	0.83446335	0.55106344	0.00000000	18.13638164
W_TST_0422	38.42361836	0.00000000	69.91000000	0.00000000	0.62147078	0.78343734	0.00000000	0.93915422	0.34349579	0.00000000	31.48638164
W_TST_0421	38.42361836	0.00000000	46.40000000	0.00000000	0.62147078	0.78343734	0.00000000	0.72417186	0.68961954	0.00000000	7.97638164
W_TST_0420	38.42361836	0.00000000	44.95000000	0.00000000	0.62147078	0.78343734	0.00000000	0.70648944	0.70772358	0.00000000	6.52638164
W_TST_0419	38.42361836	0.00000000	49.30000000	0.00000000	0.62147078	0.78343734	0.00000000	0.75813434	0.65209840	0.00000000	10.87638164
W_TST_0418	38.42361836	0.00000000	31.30000000	0.00000000	0.62147078	0.78343734	0.00000000	0.51951911	0.85445883	0.00000000	7.12361836
W_TST_0417	38.42361836	0.00000000	41.75000000	0.00000000	0.62147078	0.78343734	0.00000000	0.66588167	0.74605738	0.00000000	3.32638164
W_TST_0416	38.42361836	0.00000000	48.14000000	0.00000000	0.62147078	0.78343734	0.00000000	0.74477760	0.66731277	0.00000000	9.71638164
