ID s	D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d	MSFT d
W_TST_0949	254.80494568	0.00000000	208.40000000	0.00000000	-0.96503912	-0.26210588	0.00000000	-0.47562421	-0.87964857	0.00000000	46.40494568	2153.41898360
W_TST_0950	254.80494568	0.00000000	42.33000000	0.00000000	-0.96503912	-0.26210588	0.00000000	0.67339969	0.73927861	0.00000000	147.52505433	21763.64165504
W_TST_0951	254.80494568	0.00000000	228.72000000	0.00000000	-0.96503912	-0.26210588	0.00000000	-0.75149447	-0.65973939	0.00000000	26.08494568	680.42439115
W_TST_0952	254.80494568	0.00000000	228.14000000	0.00000000	-0.96503912	-0.26210588	0.00000000	-0.74477760	-0.66731277	0.00000000	26.66494568	711.01932814
W_TST_0953	254.80494568	0.00000000	43.49000000	0.00000000	-0.96503912	-0.26210588	0.00000000	0.68822796	0.72549450	0.00000000	148.68505433	22107.24538108
W_TST_0954	254.80494568	0.00000000	233.95000000	0.00000000	-0.96503912	-0.26210588	0.00000000	-0.80850375	-0.58849103	0.00000000	20.85494568	434.92875933
W_TST_0955	254.80494568	0.00000000	328.30000000	0.00000000	-0.96503912	-0.26210588	0.00000000	-0.52547165	0.85081111	0.00000000	73.49505432	5401.52300944
W_TST_0956	254.80494568	0.00000000	326.85000000	0.00000000	-0.96503912	-0.26210588	0.00000000	-0.54683280	0.83724183	0.00000000	72.04505432	5190.48985191
W_TST_0957	254.80494568	0.00000000	251.66000000	0.00000000	-0.96503912	-0.26210588	0.00000000	-0.94920604	-0.31465520	0.00000000	3.14494568	9.89068333
W_TST_0958	254.80494568	0.00000000	227.56000000	0.00000000	-0.96503912	-0.26210588	0.00000000	-0.73798441	-0.67481776	0.00000000	27.24494568	742.28706513
W_TST_0959	254.80494568	0.00000000	53.95000000	0.00000000	-0.96503912	-0.26210588	0.00000000	0.80850375	0.58849103	0.00000000	159.14505433	25327.14831766
W_TST_0960	254.80494568	0.00000000	245.85000000	0.00000000	-0.96503912	-0.26210588	0.00000000	-0.91247749	-0.40912690	0.00000000	8.95494568	80.19105214
W_TST_0961	254.80494568	0.00000000	106.78000000	0.00000000	-0.96503912	-0.26210588	0.00000000	0.95742033	-0.28869761	0.00000000	148.02494568	21911.38454369
W_TST_0962	254.80494568	0.00000000	61.49000000	0.00000000	-0.96503912	-0.26210588	0.00000000	0.87873382	0.47731214	0.00000000	166.68505433	27783.90733696
W_TST_0963	254.80494568	0.00000000	292.30000000	0.00000000	-0.96503912	-0.26210588	0.00000000	-0.92520972	0.37945616	0.00000000	37.49505432	1405.87909843
W_TST_0964	254.80494568	0.00000000	347.17000000	0.00000000	-0.96503912	-0.26210588	0.00000000	-0.22205905	0.97503322	0.00000000	92.36505432	8531.30325946
W_TST_0965	254.80494568	0.00000000	162.82000000	0.00000000	-0.96503912	-0.26210588	0.00000000	0.29537458	-0.95538153	0.00000000	91.98494568	8461.23023183
W_TST_0966	254.80494568	0.00000000	42.91000000	0.00000000	-0.96503912	-0.26210588	0.00000000	0.68084871	0.73242408	0.00000000	148.10505433	21935.10711806
W_TST_0967	254.80494568	0.00000000	96.91000000	0.00000000	-0.96503912	-0.26210588	0.00000000	0.99273636	-0.12031011	0.00000000	157.89494568	24930.81387142
W_TST_0968	254.80494568	0.00000000	7.20000000	0.00000000	-0.96503912	-0.26210588	0.00000000	0.12533323	0.99211470	0.00000000	112.39505433	12632.64823782
W_TST_0969	254.80494568	0.00000000	310.88000000	0.00000000	-0.96503912	-0.26210588	0.00000000	-0.75608197	0.65447693	0.00000000	56.07505432	3144.41171695
W_TST_0970	254.80494568	0.00000000	280.11000000	0.00000000	-0.96503912	-0.26210588	0.00000000	-0.98447256	0.17553855	0.00000000	25.30505432	640.34577412
W_TST_0971	254.80494568	0.00000000	169.78000000	0.00000000	-0.96503912	-0.26210588	0.00000000	0.17742828	-0.98413373	0.00000000	85.02494568	7229.24138796
W_TST_0972	254.80494568	0.00000000	285.33000000	0.00000000	-0.96503912	-0.26210588	0.00000000	-0.96441912	0.26437805	0.00000000	30.52505432	931.77894121
W_TST_0973	254.80494568	0.00000000	83.27000000	0.00000000	-0.96503912	-0.26210588	0.00000000	0.99310942	0.11719074	0.00000000	171.53494568	29424.23758958
W_TST_0974	254.80494568	0.00000000	220.59000000	0.00000000	-0.96503912	-0.26210588	0.00000000	-0.65064169	-0.75938488	0.00000000	34.21494568	1170.66250791
