ID s	D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d	MSFT d
W_TST_0404	83.84568519	0.00000000	109.99616640	0.00000000	0.99423676	0.10720663	0.00000000	0.93971550	-0.34195727	0.00000000	26.15048121	683.84766737
W_TST_0405	83.84568519	0.00000000	55.75028105	0.00000000	0.99423676	0.10720663	0.00000000	0.82659251	0.56280087	0.00000000	28.09540414	789.35173387
W_TST_0406	83.84568519	0.00000000	49.31473607	0.00000000	0.99423676	0.10720663	0.00000000	0.75830203	0.65190340	0.00000000	34.53094912	1192.38644719
W_TST_0407	83.84568519	0.00000000	54.28035300	0.00000000	0.99423676	0.10720663	0.00000000	0.81188338	0.58381964	0.00000000	29.56533220	874.10886801
W_TST_0408	83.84568519	0.00000000	46.81081753	0.00000000	0.99423676	0.10720663	0.00000000	0.72909786	0.68440946	0.00000000	37.03486767	1371.58142298
W_TST_0409	83.84568519	0.00000000	189.17985505	0.00000000	0.99423676	0.10720663	0.00000000	-0.15953410	-0.98719242	0.00000000	105.33416986	11095.28733915
W_TST_0410	83.84568519	0.00000000	228.54270980	0.00000000	0.99423676	0.10720663	0.00000000	-0.74944945	-0.66206157	0.00000000	144.69702461	20937.22893046
W_TST_0411	83.84568519	0.00000000	245.90681230	0.00000000	0.99423676	0.10720663	0.00000000	-0.91288272	-0.40822192	0.00000000	162.06112710	26263.80891737
W_TST_0412	83.84568519	0.00000000	241.35923739	0.00000000	0.99423676	0.10720663	0.00000000	-0.87764219	-0.47931637	0.00000000	157.51355220	24810.51912664
W_TST_0413	83.84568519	0.00000000	225.73908715	0.00000000	0.99423676	0.10720663	0.00000000	-0.71616903	-0.69792688	0.00000000	141.89340196	20133.73751846
W_TST_0414	83.84568519	0.00000000	255.44298041	0.00000000	0.99423676	0.10720663	0.00000000	-0.96789799	-0.25134336	0.00000000	171.59729521	29445.63172446
W_TST_0415	83.84568519	0.00000000	236.76048366	0.00000000	0.99423676	0.10720663	0.00000000	-0.83638647	-0.54814020	0.00000000	152.91479847	23382.93558988
W_TST_0416	83.84568519	0.00000000	217.62853596	0.00000000	0.99423676	0.10720663	0.00000000	-0.61053969	-0.79198566	0.00000000	133.78285077	17897.85115915
W_TST_0417	83.84568519	0.00000000	226.28336946	0.00000000	0.99423676	0.10720663	0.00000000	-0.72276658	-0.69109223	0.00000000	142.43768427	20288.49390015
W_TST_0418	83.84568519	0.00000000	15.35434261	0.00000000	0.99423676	0.10720663	0.00000000	0.26478777	0.96430671	0.00000000	68.49134258	4691.06400842
W_TST_0419	83.84568519	0.00000000	54.81916880	0.00000000	0.99423676	0.10720663	0.00000000	0.81733770	0.57615890	0.00000000	29.02651640	842.53865421
W_TST_0420	83.84568519	0.00000000	209.77576069	0.00000000	0.99423676	0.10720663	0.00000000	-0.49660680	-0.86797562	0.00000000	125.93007549	15858.38391380
W_TST_0421	83.84568519	0.00000000	197.46079748	0.00000000	0.99423676	0.10720663	0.00000000	-0.30005318	-0.95392247	0.00000000	113.61511228	12908.39373918
W_TST_0422	83.84568519	0.00000000	215.46853919	0.00000000	0.99423676	0.10720663	0.00000000	-0.58025584	-0.81443426	0.00000000	131.62285400	17324.57569476
W_TST_0423	83.84568519	0.00000000	182.58326328	0.00000000	0.99423676	0.10720663	0.00000000	-0.04507118	-0.99898378	0.00000000	98.73757809	9749.10932618
