ID s	D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d
W_TST_0976	302.74270473	0.00000000	57.70399818	0.00000000	-0.84110789	0.54086738	0.00000000	0.84529912	0.53429336	0.00000000	114.96129347
W_TST_0975	302.74270473	0.00000000	248.69031981	0.00000000	-0.84110789	0.54086738	0.00000000	-0.93162984	-0.36340864	0.00000000	54.05238492
W_TST_0974	302.74270473	0.00000000	53.39899742	0.00000000	-0.84110789	0.54086738	0.00000000	0.80280704	0.59623892	0.00000000	110.65629270
W_TST_0973	302.74270473	0.00000000	208.03853183	0.00000000	-0.84110789	0.54086738	0.00000000	-0.47006525	-0.88263167	0.00000000	94.70417290
W_TST_0972	302.74270473	0.00000000	251.60933206	0.00000000	-0.84110789	0.54086738	0.00000000	-0.94892741	-0.31549448	0.00000000	51.13337267
W_TST_0971	302.74270473	0.00000000	17.24104977	0.00000000	-0.84110789	0.54086738	0.00000000	0.29639239	0.95506626	0.00000000	74.49834505
W_TST_0970	302.74270473	0.00000000	82.50149193	0.00000000	-0.84110789	0.54086738	0.00000000	0.99144826	0.13050038	0.00000000	139.75878721
W_TST_0969	302.74270473	0.00000000	272.89211458	0.00000000	-0.84110789	0.54086738	0.00000000	-0.99872631	0.05045549	0.00000000	29.85059015
W_TST_0968	302.74270473	0.00000000	288.09229478	0.00000000	-0.84110789	0.54086738	0.00000000	-0.95055750	0.31054860	0.00000000	14.65040994
W_TST_0967	302.74270473	0.00000000	221.65805584	0.00000000	-0.84110789	0.54086738	0.00000000	-0.66468359	-0.74712497	0.00000000	81.08464889
W_TST_0966	302.74270473	0.00000000	271.49919719	0.00000000	-0.84110789	0.54086738	0.00000000	-0.99965769	0.02616294	0.00000000	31.24350754
W_TST_0965	302.74270473	0.00000000	208.26206654	0.00000000	-0.84110789	0.54086738	0.00000000	-0.47350517	-0.88079104	0.00000000	94.48063819
W_TST_0964	302.74270473	0.00000000	250.92869479	0.00000000	-0.84110789	0.54086738	0.00000000	-0.94511267	-0.32674461	0.00000000	51.81400993
W_TST_0963	302.74270473	0.00000000	244.16974127	0.00000000	-0.84110789	0.54086738	0.00000000	-0.90008879	-0.43570651	0.00000000	58.57296345
W_TST_0962	302.74270473	0.00000000	236.20491646	0.00000000	-0.84110789	0.54086738	0.00000000	-0.83103220	-0.55622431	0.00000000	66.53778826
W_TST_0961	302.74270473	0.00000000	179.79373427	0.00000000	-0.84110789	0.54086738	0.00000000	0.00360001	-0.99999352	0.00000000	122.94897046
W_TST_0960	302.74270473	0.00000000	66.62365615	0.00000000	-0.84110789	0.54086738	0.00000000	0.91791852	0.39676894	0.00000000	123.88095143
W_TST_0959	302.74270473	0.00000000	238.95617673	0.00000000	-0.84110789	0.54086738	0.00000000	-0.85677312	-0.51569354	0.00000000	63.78652800
W_TST_0958	302.74270473	0.00000000	51.49573604	0.00000000	-0.84110789	0.54086738	0.00000000	0.78256183	0.62257288	0.00000000	108.75303132
W_TST_0957	302.74270473	0.00000000	66.53636191	0.00000000	-0.84110789	0.54086738	0.00000000	0.91731295	0.39816699	0.00000000	123.79365719
W_TST_0956	302.74270473	0.00000000	248.86219459	0.00000000	-0.84110789	0.54086738	0.00000000	-0.93271580	-0.36061232	0.00000000	53.88051014
W_TST_0955	302.74270473	0.00000000	248.87089358	0.00000000	-0.84110789	0.54086738	0.00000000	-0.93277053	-0.36047070	0.00000000	53.87181115
W_TST_0954	302.74270473	0.00000000	57.33133171	0.00000000	-0.84110789	0.54086738	0.00000000	0.84180608	0.53978007	0.00000000	114.58862699
W_TST_0953	302.74270473	0.00000000	248.14704610	0.00000000	-0.84110789	0.54086738	0.00000000	-0.92814220	-0.37222580	0.00000000	54.59565862
W_TST_0952	302.74270473	0.00000000	54.98258892	0.00000000	-0.84110789	0.54086738	0.00000000	0.81897771	0.57382533	0.00000000	112.23988420
W_TST_0951	302.74270473	0.00000000	54.83765953	0.00000000	-0.84110789	0.54086738	0.00000000	0.81752360	0.57589510	0.00000000	112.09495482
W_TST_0950	302.74270473	0.00000000	259.22393638	0.00000000	-0.84110789	0.54086738	0.00000000	-0.98236545	-0.18697093	0.00000000	43.51876835
W_TST_0949	302.74270473	0.00000000	30.93717621	0.00000000	-0.84110789	0.54086738	0.00000000	0.51409790	0.85773152	0.00000000	88.19447149
W_TST_0948	302.74270473	0.00000000	78.36234738	0.00000000	-0.84110789	0.54086738	0.00000000	0.97944290	0.20172162	0.00000000	135.61964267
W_TST_0947	302.74270473	0.00000000	231.16190658	0.00000000	-0.84110789	0.54086738	0.00000000	-0.77892119	-0.62712182	0.00000000	71.58079815
W_TST_0946	302.74270473	0.00000000	40.48247323	0.00000000	-0.84110789	0.54086738	0.00000000	0.64921541	0.76060460	0.00000000	97.73976851
