ID s	D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d	MSFT d
W_TST_0900	269.93162524	24.86918428	269.93162524	71.67611452	-0.90726969	-0.00108270	-0.42054791	-0.31438800	-0.00037518	-0.94929450	46.80693024	2190.88871843
W_TST_0901	269.93162524	24.86918428	269.93162524	71.25183727	-0.90726969	-0.00108270	-0.42054791	-0.32140887	-0.00038356	-0.94694044	46.38265299	2151.35049845
W_TST_0902	269.93162524	24.86918428	269.93162524	18.91839945	-0.90726969	-0.00108270	-0.42054791	-0.94598062	-0.00112890	-0.32422122	5.95078483	35.41184010
W_TST_0903	269.93162524	24.86918428	269.93162524	89.18448497	-0.90726969	-0.00108270	-0.42054791	-0.01423293	-0.00001699	-0.99989871	64.31530069	4136.45790287
W_TST_0904	269.93162524	24.86918428	269.93162524	78.69814018	-0.90726969	-0.00108270	-0.42054791	-0.19597784	-0.00023387	-0.98060830	53.82895590	2897.55649374
W_TST_0905	269.93162524	24.86918428	269.93162524	36.98866488	-0.90726969	-0.00108270	-0.42054791	-0.79875399	-0.00095321	-0.60165701	12.11948060	146.88180999
W_TST_0906	269.93162524	24.86918428	269.93162524	86.74989440	-0.90726969	-0.00108270	-0.42054791	-0.05669459	-0.00006766	-0.99839157	61.88071012	3829.22228482
W_TST_0907	269.93162524	24.86918428	269.93162524	66.57026778	-0.90726969	-0.00108270	-0.42054791	-0.39762380	-0.00047451	-0.91754841	41.70108350	1738.98036509
W_TST_0908	269.93162524	24.86918428	269.93162524	50.44583371	-0.90726969	-0.00108270	-0.42054791	-0.63680696	-0.00075994	-0.77102290	25.57664944	654.16499639
W_TST_0909	269.93162524	24.86918428	269.93162524	58.74145856	-0.90726969	-0.00108270	-0.42054791	-0.51890033	-0.00061924	-0.85483452	33.87227428	1147.33096488
W_TST_0910	269.93162524	24.86918428	269.93162524	64.52451278	-0.90726969	-0.00108270	-0.42054791	-0.43012460	-0.00051330	-0.90276939	39.65532851	1572.54507886
W_TST_0911	269.93162524	24.86918428	269.93162524	82.11244000	-0.90726969	-0.00108270	-0.42054791	-0.13722939	-0.00016376	-0.99053928	57.24325572	3276.79032597
W_TST_0912	269.93162524	24.86918428	269.93162524	69.83415221	-0.90726969	-0.00108270	-0.42054791	-0.34473849	-0.00041140	-0.93869868	44.96496794	2021.84834163
W_TST_0913	269.93162524	24.86918428	269.93162524	69.95108101	-0.90726969	-0.00108270	-0.42054791	-0.34282208	-0.00040911	-0.93940026	45.08189673	2032.37741276
W_TST_0914	269.93162524	24.86918428	269.93162524	55.60026107	-0.90726969	-0.00108270	-0.42054791	-0.56496284	-0.00067421	-0.82511607	30.73107679	944.39908084
W_TST_0915	269.93162524	24.86918428	269.93162524	72.41155182	-0.90726969	-0.00108270	-0.42054791	-0.30217749	-0.00036061	-0.95325161	47.54236754	2260.27671165
W_TST_0916	269.93162524	24.86918428	269.93162524	47.13652983	-0.90726969	-0.00108270	-0.42054791	-0.68025320	-0.00081179	-0.73297675	22.26734555	495.83467794
W_TST_0917	269.93162524	24.86918428	269.93162524	76.65250356	-0.90726969	-0.00108270	-0.42054791	-0.23085623	-0.00027550	-0.97298783	51.78331928	2681.51215611
W_TST_0918	269.93162524	24.86918428	269.93162524	32.62236325	-0.90726969	-0.00108270	-0.42054791	-0.84224144	-0.00100510	-0.53909956	7.75317897	60.11178413
W_TST_0919	269.93162524	24.86918428	269.93162524	87.81694371	-0.90726969	-0.00108270	-0.42054791	-0.03809227	-0.00004546	-0.99927422	62.94775944	3962.42041791
W_TST_0920	269.93162524	24.86918428	269.93162524	39.08505507	-0.90726969	-0.00108270	-0.42054791	-0.77621033	-0.00092630	-0.63047336	14.21587079	202.09098231
W_TST_0921	269.93162524	24.86918428	269.93162524	52.96654411	-0.90726969	-0.00108270	-0.42054791	-0.60228083	-0.00071874	-0.79828396	28.09735984	789.46162971
W_TST_0922	269.93162524	24.86918428	269.93162524	73.90655802	-0.90726969	-0.00108270	-0.42054791	-0.27720448	-0.00033081	-0.96081089	49.03737374	2404.66402347
W_TST_0923	269.93162524	24.86918428	269.93162524	57.85317613	-0.90726969	-0.00108270	-0.42054791	-0.53209032	-0.00063498	-0.84668736	32.98399186	1087.94371872
W_TST_0924	269.93162524	24.86918428	269.93162524	82.35663062	-0.90726969	-0.00108270	-0.42054791	-0.13300655	-0.00015873	-0.99111515	57.48744635	3304.80648750
