ID s	D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d	MSFT d
W_TST_0900	290.74689340	19.19177198	290.74689340	82.02843921	-0.88318189	0.33455293	-0.32873103	-0.12968867	0.04912660	-0.99033703	62.83666723	3948.44674914
W_TST_0901	290.74689340	19.19177198	290.74689340	81.64323462	-0.88318189	0.33455293	-0.32873103	-0.13591207	0.05148405	-0.98938228	62.45146264	3900.18518621
W_TST_0902	290.74689340	19.19177198	290.74689340	29.61797450	-0.88318189	0.33455293	-0.32873103	-0.81296708	0.30795527	-0.49421462	10.42620252	108.70569905
W_TST_0903	290.74689340	19.19177198	290.74689340	80.21395211	-0.88318189	0.33455293	-0.32873103	-0.15894776	0.06021007	-0.98544932	61.02218013	3723.70646837
W_TST_0904	290.74689340	19.19177198	290.74689340	89.41188438	-0.88318189	0.33455293	-0.32873103	-0.00959877	0.00363606	-0.99994732	70.22011240	4930.86418614
W_TST_0905	290.74689340	19.19177198	290.74689340	46.72915338	-0.88318189	0.33455293	-0.32873103	-0.64099969	0.24281331	-0.72812162	27.53738140	758.30737443
W_TST_0906	290.74689340	19.19177198	290.74689340	83.08792484	-0.88318189	0.33455293	-0.32873103	-0.11254215	0.04263143	-0.99273200	63.89615286	4082.71835058
W_TST_0907	290.74689340	19.19177198	290.74689340	56.37179997	-0.88318189	0.33455293	-0.32873103	-0.51788986	0.19617880	-0.83264877	37.18002800	1382.35448175
W_TST_0908	290.74689340	19.19177198	290.74689340	58.80471854	-0.88318189	0.33455293	-0.32873103	-0.48436937	0.18348111	-0.85540692	39.61294656	1569.18553554
W_TST_0909	290.74689340	19.19177198	290.74689340	67.77486277	-0.88318189	0.33455293	-0.32873103	-0.35371931	0.13399033	-0.92570473	48.58309080	2360.31671139
W_TST_0910	290.74689340	19.19177198	290.74689340	75.02980925	-0.88318189	0.33455293	-0.32873103	-0.24156579	0.09150611	-0.96606035	55.83803728	3117.88640690
W_TST_0911	290.74689340	19.19177198	290.74689340	87.33007694	-0.88318189	0.33455293	-0.32873103	-0.04356144	0.01650125	-0.99891447	68.13830496	4642.82860288
W_TST_0912	290.74689340	19.19177198	290.74689340	80.04196145	-0.88318189	0.33455293	-0.32873103	-0.16171335	0.06125768	-0.98493466	60.85018947	3702.74555896
W_TST_0913	290.74689340	19.19177198	290.74689340	80.57507730	-0.88318189	0.33455293	-0.32873103	-0.15313630	0.05800866	-0.98650102	61.38330533	3767.91017286
W_TST_0914	290.74689340	19.19177198	290.74689340	62.23280774	-0.88318189	0.33455293	-0.32873103	-0.43566979	0.16503350	-0.88484788	43.04103576	1852.53075935
W_TST_0915	290.74689340	19.19177198	290.74689340	83.10139943	-0.88318189	0.33455293	-0.32873103	-0.11232382	0.04254872	-0.99276028	63.90962746	4084.44048153
W_TST_0916	290.74689340	19.19177198	290.74689340	57.12838270	-0.88318189	0.33455293	-0.32873103	-0.50756297	0.19226694	-0.83988883	37.93661072	1439.18643312
W_TST_0917	290.74689340	19.19177198	290.74689340	86.78763957	-0.88318189	0.33455293	-0.32873103	-0.05240315	0.01985053	-0.99842870	67.59586759	4569.20131535
W_TST_0918	290.74689340	19.19177198	290.74689340	37.70420159	-0.88318189	0.33455293	-0.32873103	-0.73987424	0.28026740	-0.61158506	18.51242961	342.71005020
W_TST_0919	290.74689340	19.19177198	290.74689340	81.81351245	-0.88318189	0.33455293	-0.32873103	-0.13316178	0.05044223	-0.98980984	62.62174048	3921.48238047
W_TST_0920	290.74689340	19.19177198	290.74689340	45.56615548	-0.88318189	0.33455293	-0.32873103	-0.65468782	0.24799843	-0.71405927	26.37438351	695.60810544
W_TST_0921	290.74689340	19.19177198	290.74689340	42.44461442	-0.88318189	0.33455293	-0.32873103	-0.69007855	0.26140459	-0.67487720	23.25284244	540.69468175
W_TST_0922	290.74689340	19.19177198	290.74689340	63.89488869	-0.88318189	0.33455293	-0.32873103	-0.41148597	0.15587258	-0.89798833	44.70311671	1998.36864375
W_TST_0923	290.74689340	19.19177198	290.74689340	47.46729121	-0.88318189	0.33455293	-0.32873103	-0.63217467	0.23947036	-0.73689154	28.27551924	799.50498807
W_TST_0924	290.74689340	19.19177198	290.74689340	72.22076077	-0.88318189	0.33455293	-0.32873103	-0.28554967	0.10816739	-0.95224010	53.02898880	2812.07365304
W_TST_0925	290.74689340	19.19177198	290.74689340	67.14985771	-0.88318189	0.33455293	-0.32873103	-0.36314123	0.13755939	-0.92152367	47.95808573	2299.97798729
W_TST_0926	290.74689340	19.19177198	290.74689340	49.00652561	-0.88318189	0.33455293	-0.32873103	-0.61343611	0.23237212	-0.75478430	29.81475364	888.91953439
W_TST_0927	290.74689340	19.19177198	290.74689340	61.72011201	-0.88318189	0.33455293	-0.32873103	-0.44305663	0.16783167	-0.88064371	42.52834004	1808.65970640
W_TST_0928	290.74689340	19.19177198	290.74689340	37.94669689	-0.88318189	0.33455293	-0.32873103	-0.73744704	0.27934797	-0.61492811	18.75492492	351.74720868
W_TST_0929	290.74689340	19.19177198	290.74689340	66.52777272	-0.88318189	0.33455293	-0.32873103	-0.37247621	0.14109552	-0.91725325	47.33600074	2240.69696615
