D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d
263.49143156	26.31465077	263.49143156	54.00456005	-0.89059591	-0.10160550	-0.44330041	-0.58393295	-0.06661922	-0.80906377	27.68990928
263.49143156	26.31465077	263.49143156	13.21179363	-0.89059591	-0.10160550	-0.44330041	-0.96725738	-0.11035159	-0.22855126	13.10285715
263.49143156	26.31465077	263.49143156	80.52543116	-0.89059591	-0.10160550	-0.44330041	-0.16354890	-0.01865882	-0.98635876	54.21078039
263.49143156	26.31465077	263.49143156	84.98468904	-0.89059591	-0.10160550	-0.44330041	-0.08685851	-0.00990944	-0.99617137	58.67003826
263.49143156	26.31465077	263.49143156	82.05256691	-0.89059591	-0.10160550	-0.44330041	-0.13737338	-0.01567253	-0.99039534	55.73791614
263.49143156	26.31465077	263.49143156	27.18999501	-0.89059591	-0.10160550	-0.44330041	-0.88376330	-0.10082599	-0.45694261	0.87534424
263.49143156	26.31465077	263.49143156	79.54523374	-0.89059591	-0.10160550	-0.44330041	-0.18028969	-0.02056873	-0.98339847	53.23058296
263.49143156	26.31465077	263.49143156	70.36082711	-0.89059591	-0.10160550	-0.44330041	-0.33392941	-0.03809704	-0.94182789	44.04617634
263.49143156	26.31465077	263.49143156	49.40320374	-0.89059591	-0.10160550	-0.44330041	-0.64653774	-0.07376162	-0.75930769	23.08855297
263.49143156	26.31465077	263.49143156	65.89335478	-0.89059591	-0.10160550	-0.44330041	-0.40580392	-0.04629699	-0.91278681	39.57870401
263.49143156	26.31465077	263.49143156	73.44819653	-0.89059591	-0.10160550	-0.44330041	-0.28304605	-0.03229190	-0.95856255	47.13354576
263.49143156	26.31465077	263.49143156	60.51807513	-0.89059591	-0.10160550	-0.44330041	-0.48897702	-0.05578597	-0.87051100	34.20342435
263.49143156	26.31465077	263.49143156	64.23294952	-0.89059591	-0.10160550	-0.44330041	-0.43191151	-0.04927553	-0.90056891	37.91829875
263.49143156	26.31465077	263.49143156	72.02614561	-0.89059591	-0.10160550	-0.44330041	-0.30659413	-0.03497843	-0.95119743	45.71149484
263.49143156	26.31465077	263.49143156	60.85583396	-0.89059591	-0.10160550	-0.44330041	-0.48386996	-0.05520332	-0.87339708	34.54118318
263.49143156	26.31465077	263.49143156	57.23260170	-0.89059591	-0.10160550	-0.44330041	-0.53774156	-0.06134938	-0.84087470	30.91795092
263.49143156	26.31465077	263.49143156	28.07120150	-0.89059591	-0.10160550	-0.44330041	-0.87667659	-0.10001749	-0.47056844	1.75655072
263.49143156	26.31465077	263.49143156	72.02216397	-0.89059591	-0.10160550	-0.44330041	-0.30665980	-0.03498593	-0.95117598	45.70751319
263.49143156	26.31465077	263.49143156	39.06303412	-0.89059591	-0.10160550	-0.44330041	-0.77144884	-0.08801236	-0.63017499	12.74838335
263.49143156	26.31465077	263.49143156	77.10047191	-0.89059591	-0.10160550	-0.44330041	-0.22180327	-0.02530489	-0.97476303	50.78582114
263.49143156	26.31465077	263.49143156	82.35663062	-0.89059591	-0.10160550	-0.44330041	-0.13214940	-0.01507654	-0.99111515	56.04197985
263.49143156	26.31465077	263.49143156	57.85317613	-0.89059591	-0.10160550	-0.44330041	-0.52866133	-0.06031344	-0.84668736	31.53852536
263.49143156	26.31465077	263.49143156	73.90655802	-0.89059591	-0.10160550	-0.44330041	-0.27541807	-0.03142165	-0.96081089	47.59190724
263.49143156	26.31465077	263.49143156	52.96654411	-0.89059591	-0.10160550	-0.44330041	-0.59839950	-0.06826966	-0.79828396	26.65189334
263.49143156	26.31465077	263.49143156	39.08505507	-0.89059591	-0.10160550	-0.44330041	-0.77120814	-0.08798490	-0.63047336	12.77040429
263.49143156	26.31465077	263.49143156	87.81694371	-0.89059591	-0.10160550	-0.44330041	-0.03784679	-0.00431783	-0.99927422	61.50229294
263.49143156	26.31465077	263.49143156	32.62236325	-0.89059591	-0.10160550	-0.44330041	-0.83681372	-0.09546965	-0.53909956	6.30771247
263.49143156	26.31465077	263.49143156	76.65250356	-0.89059591	-0.10160550	-0.44330041	-0.22936850	-0.02616799	-0.97298783	50.33785279
263.49143156	26.31465077	263.49143156	47.13652983	-0.89059591	-0.10160550	-0.44330041	-0.67586939	-0.07710798	-0.73297675	20.82187905
263.49143156	26.31465077	263.49143156	72.41155182	-0.89059591	-0.10160550	-0.44330041	-0.30023014	-0.03425239	-0.95325161	46.09690105
263.49143156	26.31465077	263.49143156	55.60026107	-0.89059591	-0.10160550	-0.44330041	-0.56132201	-0.06403960	-0.82511607	29.28561029
263.49143156	26.31465077	263.49143156	69.95108101	-0.89059591	-0.10160550	-0.44330041	-0.34061281	-0.03885953	-0.93940026	43.63643023
263.49143156	26.31465077	263.49143156	69.83415221	-0.89059591	-0.10160550	-0.44330041	-0.34251686	-0.03907676	-0.93869868	43.51950144
