ID s	D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d	MSFT d
W_TST_0856	217.72730231	0.00000000	19.30198563	0.00000000	-0.61190400	-0.79093204	0.00000000	0.33054710	0.94378950	0.00000000	161.57468333	26106.37829397
W_TST_0857	217.72730231	0.00000000	241.77895453	0.00000000	-0.61190400	-0.79093204	0.00000000	-0.88112982	-0.47287445	0.00000000	24.05165222	578.48197461
W_TST_0858	217.72730231	0.00000000	136.22776342	0.00000000	-0.61190400	-0.79093204	0.00000000	0.69179335	-0.72209553	0.00000000	81.49953889	6642.17483940
W_TST_0859	217.72730231	0.00000000	204.89643646	0.00000000	-0.61190400	-0.79093204	0.00000000	-0.42097940	-0.90707020	0.00000000	12.83086585	164.63111837
W_TST_0860	217.72730231	0.00000000	248.64974758	0.00000000	-0.61190400	-0.79093204	0.00000000	-0.93137227	-0.36406825	0.00000000	30.92244527	956.19762177
W_TST_0861	217.72730231	0.00000000	69.02448364	0.00000000	-0.61190400	-0.79093204	0.00000000	0.93373348	0.35796898	0.00000000	148.70281867	22112.52827993
W_TST_0862	217.72730231	0.00000000	176.27212875	0.00000000	-0.61190400	-0.79093204	0.00000000	0.06501773	-0.99788411	0.00000000	41.45517356	1718.53141495
W_TST_0863	217.72730231	0.00000000	0.02755211	0.00000000	-0.61190400	-0.79093204	0.00000000	0.00048088	0.99999988	0.00000000	142.30024981	20249.36109695
W_TST_0864	217.72730231	0.00000000	359.82033969	0.00000000	-0.61190400	-0.79093204	0.00000000	-0.00313566	0.99999508	0.00000000	142.09303738	20190.43127122
W_TST_0865	217.72730231	0.00000000	237.78118918	0.00000000	-0.61190400	-0.79093204	0.00000000	-0.84601817	-0.53315406	0.00000000	20.05388687	402.15837856
W_TST_0866	217.72730231	0.00000000	54.58988985	0.00000000	-0.61190400	-0.79093204	0.00000000	0.81502557	0.57942500	0.00000000	163.13741246	26613.81534285
W_TST_0867	217.72730231	0.00000000	223.92783134	0.00000000	-0.61190400	-0.79093204	0.00000000	-0.69375175	-0.72021421	0.00000000	6.20052903	38.44656022
