ID s	D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d	MSFT d
W_TST_0339	51.38386202	8.25112478	51.38386202	17.36000000	0.77325668	0.61763937	-0.14351205	0.74575358	0.59567125	-0.29837453	9.10887522	82.97160769
W_TST_0340	51.38386202	8.25112478	51.38386202	17.13000000	0.77325668	0.61763937	-0.14351205	0.74668343	0.59641396	-0.29454074	8.87887522	78.83442509
W_TST_0341	51.38386202	8.25112478	51.38386202	13.65000000	0.77325668	0.61763937	-0.14351205	0.75927597	0.60647227	-0.23599022	5.39887522	29.14785359
W_TST_0342	51.38386202	8.25112478	51.38386202	7.16000000	0.77325668	0.61763937	-0.14351205	0.77525176	0.61923294	-0.12464058	1.09112478	1.19055330
W_TST_0343	51.38386202	8.25112478	51.38386202	15.27000000	0.77325668	0.61763937	-0.14351205	0.75375970	0.60206614	-0.26336797	7.01887522	49.26460929
W_TST_0344	51.38386202	8.25112478	51.38386202	11.52000000	0.77325668	0.61763937	-0.14351205	0.76560457	0.61152724	-0.19970998	3.26887522	10.68554517
W_TST_0345	51.38386202	8.25112478	51.38386202	19.96000000	0.77325668	0.61763937	-0.14351205	0.73441025	0.58661076	-0.34136403	11.70887522	137.09775881
W_TST_0346	51.38386202	8.25112478	51.38386202	5.09000000	0.77325668	0.61763937	-0.14351205	0.77826354	0.62163860	-0.08872045	3.16112478	9.99270990
W_TST_0347	51.38386202	8.25112478	51.38386202	5.67000000	0.77325668	0.61763937	-0.14351205	0.77752194	0.62104625	-0.09879873	2.58112478	6.66220515
W_TST_0348	51.38386202	8.25112478	51.38386202	2.78000000	0.77325668	0.61763937	-0.14351205	0.78042518	0.62336521	-0.04850112	5.47112478	29.93320641
W_TST_0349	51.38386202	8.25112478	51.38386202	1.76000000	0.77325668	0.61763937	-0.14351205	0.78097612	0.62380527	-0.03071296	6.49112478	42.13470097
W_TST_0350	51.38386202	8.25112478	51.38386202	0.40000000	0.77325668	0.61763937	-0.14351205	0.78132568	0.62408449	-0.00698126	7.85112478	61.64016038
W_TST_0351	51.38386202	8.25112478	51.38386202	7.32000000	0.77325668	0.61763937	-0.14351205	0.77497678	0.61901330	-0.12741084	0.93112478	0.86699336
W_TST_0352	51.38386202	8.25112478	51.38386202	3.10000000	0.77325668	0.61763937	-0.14351205	0.78020135	0.62318643	-0.05407881	5.15112478	26.53408655
W_TST_0353	51.38386202	8.25112478	51.38386202	2.77000000	0.77325668	0.61763937	-0.14351205	0.78043178	0.62337048	-0.04832679	5.48112478	30.04272890
W_TST_0354	51.38386202	8.25112478	51.38386202	8.53000000	0.77325668	0.61763937	-0.14351205	0.77270175	0.61719611	-0.14832724	0.27887522	0.07777139
W_TST_0355	51.38386202	8.25112478	51.38386202	8.10000000	0.77325668	0.61763937	-0.14351205	0.77354976	0.61787346	-0.14090123	0.15112478	0.02283870
W_TST_0356	51.38386202	8.25112478	51.38386202	11.39000000	0.77325668	0.61763937	-0.14351205	0.76595665	0.61180846	-0.19748625	3.13887522	9.85253762
W_TST_0357	51.38386202	8.25112478	51.38386202	8.80000000	0.77325668	0.61763937	-0.14351205	0.77214703	0.61675303	-0.15298584	0.54887522	0.30126400
W_TST_0358	51.38386202	8.25112478	51.38386202	6.72000000	0.77325668	0.61763937	-0.14351205	0.77597677	0.61981205	-0.11701741	1.53112478	2.34434311
