ID s	D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d	MSFT d
W_TST_0337	240.44499544	56.58697202	240.44499544	52.24821436	-0.47901871	-0.27162314	-0.83472267	-0.53257857	-0.30199377	-0.79067049	4.33875765	18.82481798
W_TST_0338	240.44499544	56.58697202	240.44499544	52.49753353	-0.47901871	-0.27162314	-0.83472267	-0.52958066	-0.30029383	-0.79332713	4.08943848	16.72350709
W_TST_0339	240.44499544	56.58697202	240.44499544	48.67284237	-0.47901871	-0.27162314	-0.83472267	-0.57443364	-0.32572729	-0.75095121	7.91412964	62.63344802
W_TST_0340	240.44499544	56.58697202	240.44499544	49.04814474	-0.47901871	-0.27162314	-0.83472267	-0.57014245	-0.32329402	-0.75526059	7.53882728	56.83391671
W_TST_0341	240.44499544	56.58697202	240.44499544	52.59519829	-0.47901871	-0.27162314	-0.83472267	-0.52840356	-0.29962637	-0.79436372	3.99177373	15.93425751
W_TST_0342	240.44499544	56.58697202	240.44499544	59.22521334	-0.47901871	-0.27162314	-0.83472267	-0.44508831	-0.25238322	-0.85918514	2.63824132	6.96031727
W_TST_0343	240.44499544	56.58697202	240.44499544	51.51734877	-0.47901871	-0.27162314	-0.83472267	-0.54130847	-0.30694397	-0.78279661	5.06962325	25.70107991
W_TST_0344	240.44499544	56.58697202	240.44499544	54.48821937	-0.47901871	-0.27162314	-0.83472267	-0.50528898	-0.28651945	-0.81399610	2.09875264	4.40476265
W_TST_0345	240.44499544	56.58697202	240.44499544	48.88447404	-0.47901871	-0.27162314	-0.83472267	-0.57201687	-0.32435689	-0.75338523	7.70249798	59.32847507
W_TST_0346	240.44499544	56.58697202	240.44499544	61.54068367	-0.47901871	-0.27162314	-0.83472267	-0.41452916	-0.23505494	-0.87915570	4.95371165	24.53925913
W_TST_0347	240.44499544	56.58697202	240.44499544	62.67644942	-0.47901871	-0.27162314	-0.83472267	-0.39928894	-0.22641311	-0.88842864	6.08947740	37.08173503
W_TST_0348	240.44499544	56.58697202	240.44499544	62.27295361	-0.47901871	-0.27162314	-0.83472267	-0.40472151	-0.22949360	-0.88517410	5.68598159	32.33038665
W_TST_0349	240.44499544	56.58697202	240.44499544	63.24039173	-0.47901871	-0.27162314	-0.83472267	-0.39166304	-0.22208892	-0.89290345	6.65341972	44.26799394
W_TST_0350	240.44499544	56.58697202	240.44499544	64.60378939	-0.47901871	-0.27162314	-0.83472267	-0.37307122	-0.21154660	-0.90336366	8.01681737	64.26936079
W_TST_0351	240.44499544	56.58697202	240.44499544	58.34118262	-0.47901871	-0.27162314	-0.83472267	-0.45656654	-0.25889185	-0.85118858	1.75421060	3.07725483
W_TST_0352	240.44499544	56.58697202	240.44499544	61.91025371	-0.47901871	-0.27162314	-0.83472267	-0.40958769	-0.23225292	-0.88221114	5.32328169	28.33732797
W_TST_0353	240.44499544	56.58697202	240.44499544	62.27930152	-0.47901871	-0.27162314	-0.83472267	-0.40463620	-0.22944522	-0.88522564	5.69232950	32.40261518
W_TST_0354	240.44499544	56.58697202	240.44499544	56.50362464	-0.47901871	-0.27162314	-0.83472267	-0.48007447	-0.27222180	-0.83392074	0.08334737	0.00694678
W_TST_0355	240.44499544	56.58697202	240.44499544	56.91395981	-0.47901871	-0.27162314	-0.83472267	-0.47486701	-0.26926896	-0.83785175	0.32698780	0.10692102
W_TST_0356	240.44499544	56.58697202	240.44499544	53.63295027	-0.47901871	-0.27162314	-0.83472267	-0.51580200	-0.29248077	-0.80523493	2.95402174	8.72624445
