ID s	D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d	MSFT d
W_TST_0827	236.93398267	12.27264184	236.93398267	19.88219890	-0.81889084	-0.53313639	-0.21256383	-0.78808997	-0.51308358	-0.34008740	7.60955706	57.90535859
W_TST_0828	236.93398267	12.27264184	236.93398267	6.15620919	-0.81889084	-0.53313639	-0.21256383	-0.83320966	-0.54245862	-0.10723950	6.11643265	37.41074836
W_TST_0829	236.93398267	12.27264184	236.93398267	35.76251999	-0.81889084	-0.53313639	-0.21256383	-0.68002646	-0.44272916	-0.58442699	23.48987814	551.77437521
W_TST_0830	236.93398267	12.27264184	236.93398267	20.88538858	-0.81889084	-0.53313639	-0.21256383	-0.78297924	-0.50975626	-0.35649975	8.61274673	74.17940631
W_TST_0831	236.93398267	12.27264184	236.93398267	18.09512007	-0.81889084	-0.53313639	-0.21256383	-0.79659472	-0.51862058	-0.31059547	5.82247823	33.90125271
W_TST_0832	236.93398267	12.27264184	236.93398267	15.45676697	-0.81889084	-0.53313639	-0.21256383	-0.80773200	-0.52587147	-0.26651118	3.18412512	10.13865279
W_TST_0833	236.93398267	12.27264184	236.93398267	1.41775005	-0.81889084	-0.53313639	-0.21256383	-0.83778592	-0.54543798	-0.02474188	10.85489180	117.82867596
W_TST_0834	236.93398267	12.27264184	236.93398267	32.74781360	-0.81889084	-0.53313639	-0.21256383	-0.70484371	-0.45888636	-0.54094238	20.47517176	419.23265842
W_TST_0835	236.93398267	12.27264184	236.93398267	27.60602522	-0.81889084	-0.53313639	-0.21256383	-0.74263540	-0.48349052	-0.46338923	15.33338338	235.11264577
W_TST_0836	236.93398267	12.27264184	236.93398267	64.29916527	-0.81889084	-0.53313639	-0.21256383	-0.36343573	-0.23661373	-0.90107070	52.02652342	2706.75913963
W_TST_0837	236.93398267	12.27264184	236.93398267	42.56333462	-0.81889084	-0.53313639	-0.21256383	-0.61724349	-0.40185450	-0.67640478	30.29069278	917.52606903
W_TST_0838	236.93398267	12.27264184	236.93398267	30.05451151	-0.81889084	-0.53313639	-0.21256383	-0.72536708	-0.47224804	-0.50082371	17.78186966	316.19488870
W_TST_0839	236.93398267	12.27264184	236.93398267	46.76514416	-0.81889084	-0.53313639	-0.21256383	-0.57405108	-0.37373422	-0.72855205	34.49250231	1189.73271575
W_TST_0840	236.93398267	12.27264184	236.93398267	63.23876088	-0.81889084	-0.53313639	-0.21256383	-0.37734840	-0.24567153	-0.89289064	50.96611904	2597.54528962
W_TST_0841	236.93398267	12.27264184	236.93398267	47.74547389	-0.81889084	-0.53313639	-0.21256383	-0.56352094	-0.36687860	-0.74016501	35.47283204	1258.32181300
W_TST_0842	236.93398267	12.27264184	236.93398267	44.42271433	-0.81889084	-0.53313639	-0.21256383	-0.59852595	-0.38966850	-0.69994653	32.15007248	1033.62716069
W_TST_0843	236.93398267	12.27264184	236.93398267	42.61060621	-0.81889084	-0.53313639	-0.21256383	-0.61677560	-0.40154989	-0.67701222	30.33796436	920.39208174
W_TST_0844	236.93398267	12.27264184	236.93398267	33.45621690	-0.81889084	-0.53313639	-0.21256383	-0.69918499	-0.45520226	-0.55129960	21.18357505	448.74385192
W_TST_0845	236.93398267	12.27264184	236.93398267	12.02862023	-0.81889084	-0.53313639	-0.21256383	-0.81964209	-0.53362550	-0.20840027	0.24402162	0.05954655
W_TST_0846	236.93398267	12.27264184	236.93398267	20.65170974	-0.81889084	-0.53313639	-0.21256383	-0.78419121	-0.51054531	-0.35268630	8.37906790	70.20877881
W_TST_0847	236.93398267	12.27264184	236.93398267	31.12096307	-0.81889084	-0.53313639	-0.21256383	-0.71742975	-0.46708046	-0.51684658	18.84832123	355.25921312
