D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d
228.69634246	16.02760680	228.69634246	20.65170974	-0.72202108	-0.63439269	-0.27610049	-0.70294969	-0.61763590	-0.35268630	4.62410295
228.69634246	16.02760680	228.69634246	12.02862023	-0.72202108	-0.63439269	-0.27610049	-0.73472789	-0.64555733	-0.20840027	3.99898657
228.69634246	16.02760680	228.69634246	33.45621690	-0.72202108	-0.63439269	-0.27610049	-0.62675003	-0.55068425	-0.55129960	17.42861010
228.69634246	16.02760680	228.69634246	42.61060621	-0.72202108	-0.63439269	-0.27610049	-0.55287819	-0.48577789	-0.67701222	26.58299941
228.69634246	16.02760680	228.69634246	44.42271433	-0.72202108	-0.63439269	-0.27610049	-0.53651918	-0.47140431	-0.69994653	28.39510753
228.69634246	16.02760680	228.69634246	47.74547389	-0.72202108	-0.63439269	-0.27610049	-0.50514066	-0.44383405	-0.74016501	31.71786709
228.69634246	16.02760680	228.69634246	63.23876088	-0.72202108	-0.63439269	-0.27610049	-0.33825543	-0.29720292	-0.89289064	47.21115409
228.69634246	16.02760680	228.69634246	46.76514416	-0.72202108	-0.63439269	-0.27610049	-0.51457989	-0.45212769	-0.72855205	30.73753736
228.69634246	16.02760680	228.69634246	30.05451151	-0.72202108	-0.63439269	-0.27610049	-0.65021968	-0.57130550	-0.50082371	14.02690471
228.69634246	16.02760680	228.69634246	64.29916527	-0.72202108	-0.63439269	-0.27610049	-0.32578411	-0.28624518	-0.90107070	48.27155847
228.69634246	16.02760680	228.69634246	42.56333462	-0.72202108	-0.63439269	-0.27610049	-0.55329761	-0.48614641	-0.67640478	26.53572783
228.69634246	16.02760680	228.69634246	27.60602522	-0.72202108	-0.63439269	-0.27610049	-0.66569902	-0.58490618	-0.46338923	11.57841843
228.69634246	16.02760680	228.69634246	32.74781360	-0.72202108	-0.63439269	-0.27610049	-0.63182252	-0.55514111	-0.54094238	16.72020681
228.69634246	16.02760680	228.69634246	1.41775005	-0.72202108	-0.63439269	-0.27610049	-0.75099203	-0.65984757	-0.02474188	14.60985675
228.69634246	16.02760680	228.69634246	15.45676697	-0.72202108	-0.63439269	-0.27610049	-0.72405167	-0.63617683	-0.26651118	0.57083983
228.69634246	16.02760680	228.69634246	18.09512007	-0.72202108	-0.63439269	-0.27610049	-0.71406820	-0.62740501	-0.31059547	2.06751328
228.69634246	16.02760680	228.69634246	20.88538858	-0.72202108	-0.63439269	-0.27610049	-0.70186327	-0.61668134	-0.35649975	4.85778178
228.69634246	16.02760680	228.69634246	35.76251999	-0.72202108	-0.63439269	-0.27610049	-0.60957631	-0.53559482	-0.58442699	19.73491319
228.69634246	16.02760680	228.69634246	6.15620919	-0.72202108	-0.63439269	-0.27610049	-0.74688987	-0.65624326	-0.10723950	9.87139760
228.69634246	16.02760680	228.69634246	19.88219890	-0.72202108	-0.63439269	-0.27610049	-0.70644454	-0.62070660	-0.34008740	3.85459211
228.69634246	16.02760680	228.69634246	50.50728722	-0.72202108	-0.63439269	-0.27610049	-0.47776222	-0.41977841	-0.77170548	34.47968043
228.69634246	16.02760680	228.69634246	21.98387158	-0.72202108	-0.63439269	-0.27610049	-0.69660010	-0.61205693	-0.37434558	5.95626479
228.69634246	16.02760680	228.69634246	30.23320564	-0.72202108	-0.63439269	-0.27610049	-0.64904314	-0.57027174	-0.50352075	14.20559885
228.69634246	16.02760680	228.69634246	34.89691884	-0.72202108	-0.63439269	-0.27610049	-0.61613925	-0.54136125	-0.57210177	18.86931204
228.69634246	16.02760680	228.69634246	25.91837817	-0.72202108	-0.63439269	-0.27610049	-0.67566231	-0.59366027	-0.43709031	9.89077137
228.69634246	16.02760680	228.69634246	4.41717858	-0.72202108	-0.63439269	-0.27610049	-0.74899065	-0.65808908	-0.07701796	11.61042821
