ID s	D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d
W_TST_0326	247.06447008	0.00000000	244.62493349	0.00000000	-0.92094393	-0.38969512	0.00000000	-0.90352187	-0.42854199	0.00000000	2.43953659
W_TST_0325	247.06447008	0.00000000	247.72431711	0.00000000	-0.92094393	-0.38969512	0.00000000	-0.92537068	-0.37906345	0.00000000	0.65984703
W_TST_0324	247.06447008	0.00000000	239.43897006	0.00000000	-0.92094393	-0.38969512	0.00000000	-0.86108806	-0.50845586	0.00000000	7.62550002
W_TST_0323	247.06447008	0.00000000	241.19376267	0.00000000	-0.92094393	-0.38969512	0.00000000	-0.87625423	-0.48184907	0.00000000	5.87070741
W_TST_0322	247.06447008	0.00000000	241.85080886	0.00000000	-0.92094393	-0.38969512	0.00000000	-0.88172215	-0.47176906	0.00000000	5.21366121
W_TST_0321	247.06447008	0.00000000	251.81120625	0.00000000	-0.92094393	-0.38969512	0.00000000	-0.95003312	-0.31214911	0.00000000	4.74673617
W_TST_0320	247.06447008	0.00000000	256.81547901	0.00000000	-0.92094393	-0.38969512	0.00000000	-0.97364056	-0.22808784	0.00000000	9.75100893
W_TST_0319	247.06447008	0.00000000	253.71825669	0.00000000	-0.92094393	-0.38969512	0.00000000	-0.95989467	-0.28036086	0.00000000	6.65378661
W_TST_0318	247.06447008	0.00000000	254.73373600	0.00000000	-0.92094393	-0.38969512	0.00000000	-0.96471262	-0.26330507	0.00000000	7.66926593
W_TST_0317	247.06447008	0.00000000	256.92084138	0.00000000	-0.92094393	-0.38969512	0.00000000	-0.97405835	-0.22629701	0.00000000	9.85637130
W_TST_0316	247.06447008	0.00000000	260.03091404	0.00000000	-0.92094393	-0.38969512	0.00000000	-0.98490130	-0.17311680	0.00000000	12.96644396
W_TST_0315	247.06447008	0.00000000	249.37310147	0.00000000	-0.92094393	-0.38969512	0.00000000	-0.93589425	-0.35228106	0.00000000	2.30863139
W_TST_0314	247.06447008	0.00000000	246.82741449	0.00000000	-0.92094393	-0.38969512	0.00000000	-0.91932372	-0.39350208	0.00000000	0.23705559
W_TST_0313	247.06447008	0.00000000	238.50089504	0.00000000	-0.92094393	-0.38969512	0.00000000	-0.85264833	-0.52248525	0.00000000	8.56357504
W_TST_0312	247.06447008	0.00000000	239.47433137	0.00000000	-0.92094393	-0.38969512	0.00000000	-0.86140170	-0.50792432	0.00000000	7.59013870
W_TST_0311	247.06447008	0.00000000	241.77342642	0.00000000	-0.92094393	-0.38969512	0.00000000	-0.88108419	-0.47295946	0.00000000	5.29104366
